"","logFC","logCPM","F","PValue","FDR"
"Tmeff2",-1.61251845413189,10.5572018022491,54.4612063895747,2.46381309295544e-11,6.64408264066984e-09
"Atp5f1",-1.61822710943629,10.553836842879,56.0280036272956,2.50993295439478e-11,6.65749429542746e-09
"Penk",-1.97465130662761,10.971855838148,45.3126485581511,2.58146310593158e-11,6.73678597644724e-09
"Zfp612",-1.68399811101529,10.4769757922111,76.3071204060694,2.941800026617e-11,7.55528959216875e-09
"Dlk1",-1.47393615324834,10.4144376641056,100.254848038288,3.28469372138152e-11,8.30411631436766e-09
"Htr2c",-1.47542584975794,10.7349172698197,44.4474315551314,3.95303716167086e-11,9.84002173474378e-09
"Tm2d2",-1.66285343960901,10.4442637020629,97.919621811021,4.05609602459835e-11,9.94358086030323e-09
"Hnrnpm",-1.68597662412429,10.5070618178225,69.3176021232373,4.41081948970292e-11,1.0651799901999e-08
"2900055J20Rik",-1.50811798393403,10.8428572870582,44.0920715050419,4.70975375508611e-11,1.12064434937196e-08
"Cstf3",-1.6040207557659,10.553927515138,58.0257964399775,5.75157731189851e-11,1.34870320154374e-08
"Timm13",-1.67726342906457,10.4426434866688,98.4387012331987,5.90363326340527e-11,1.3645826600271e-08
"Cox4i1",-1.38721128575517,10.7068793144351,43.5802901793644,6.06189391071241e-11,1.38142878134263e-08
"Syngr3",-1.73481197100455,10.5090716430883,66.4451373382274,6.29740866429812e-11,1.41516766928255e-08
"Gprasp2",-1.34716382873943,10.8752178350956,43.353601933061,6.77925069883885e-11,1.50257912749606e-08
"Sv2b",-1.54345558330528,10.6854392308911,43.1362425503668,7.54691195938534e-11,1.65012210138993e-08
"Ddx5",-1.25353591719444,10.9679320615258,42.6173721583416,9.7506470080085e-11,2.10353958119437e-08
"Lrp1b",-1.35171468209489,11.1266619566452,42.4764140722606,1.04537631083008e-10,2.2255511459514e-08
"Tax1bp1",-1.59576632368376,10.531136384779,56.1647420058169,1.26062316716117e-10,2.64894582398282e-08
"Ptma",-1.73168508713029,10.4531793234389,88.8966750030033,1.66856899373487e-10,3.46121106649106e-08
"Prkg1",-1.42167277836819,10.5417009076927,54.0285937757783,3.31073492442062e-10,6.78072038950956e-08
"Bex1",-1.63084424048751,10.4369420047161,94.4300633650033,3.79565456826957e-10,7.65434583307121e-08
"Vdac2",-1.63624969970171,10.4808022279107,68.5831431272932,3.83190366179708e-10,7.65434583307121e-08
"Rprm",-1.3847369101922,10.4166569489099,90.2970613173365,3.94436515619022e-10,7.7829058813607e-08
"Mettl26",-1.62544184976185,10.4410772376783,91.050817357416,4.40402923234851e-10,8.58520397342156e-08
"Ndufs7",-1.56275154956367,10.5103139245241,57.6096678656096,4.72907002960974e-10,9.10908965227209e-08
"Kcnh7",-1.39099520699738,10.6236794718041,39.0286191562545,5.7632606853845e-10,1.09705362222966e-07
"Tmem59",-1.63831317983802,10.5068275787893,61.2379247731046,6.84161829528596e-10,1.28717888392706e-07
"Acat1",-1.57109683840616,10.443724220081,81.8848980854589,7.22719729898613e-10,1.34409255514478e-07
"Srek1",-1.27538087999495,10.7852236507405,38.5003722228899,7.49144922534034e-10,1.37740509620462e-07
"Ddrgk1",-1.59550336153054,10.4556773977869,75.1204666452315,1.04445961717618e-09,1.89880411302366e-07
"Mtf2",-1.48251671986172,10.5542618512529,48.6027183047214,1.06661563360326e-09,1.91753788352231e-07
"Cbarp",-1.36722975029283,10.6001094099793,41.3508143751362,1.43292608423209e-09,2.54777407064563e-07
"Dnm3",-1.32352792755141,10.7520304358856,36.986203108856,1.59041958862987e-09,2.79706401565557e-07
"C130073E24Rik",-1.46908147268867,10.6130341260893,36.9451029854585,1.62328992912717e-09,2.80374995264249e-07
"Klhl7",-1.50457013729881,10.5339478734367,50.5620556896699,1.62887821723358e-09,2.80374995264249e-07
"Prkacb",-1.3153093038328,10.6611293376652,36.8532631122119,1.699223488558e-09,2.89404589945984e-07
"Vkorc1",-1.10673852450837,10.3886491044908,121.161091745899,1.86617748912319e-09,3.14528664312637e-07
"Uba52",-1.27901598651727,10.6481579951236,36.4433552155347,2.09151198347239e-09,3.48872823634879e-07
"Ccdc30",-1.51004131110095,10.4657879788135,67.3215712829488,2.19606040090656e-09,3.62574053945593e-07
"Ndufb9",-1.56343280907333,10.4723533765907,66.7921370027456,2.32040316927637e-09,3.79233568473653e-07
"Fau",-1.26617925393307,10.7133971204463,36.1323041568934,2.43334313511487e-09,3.93714919261587e-07
"Camk2d",-1.34580653994071,10.6177581794033,35.8649596479475,2.78019634774984e-09,4.45381949570221e-07
"Col6a1",-1.50497212064096,10.4565705384487,57.7140405051402,2.96999823649861e-09,4.71123249672035e-07
"Ndufb5",-1.49123822862529,10.4532251566046,69.4281210711948,3.68849651748868e-09,5.79416249057931e-07
"Negr1",-1.29079159003585,10.6868354901967,35.2121450933696,3.85023473754724e-09,5.98460839098675e-07
"Luc7l3",-1.18772958965162,10.8235255036754,35.1947992978734,3.88370754668485e-09,5.98460839098675e-07
"Lmo7",-1.35205164389614,10.6064203226926,35.0560232209152,4.16223560681963e-09,6.33691196133136e-07
"Rtn3",-1.13738914140665,10.9505186607214,35.0423858926191,4.19066489408193e-09,6.33691196133136e-07
"Timm23",-1.42063158861604,10.4204457683015,96.6854469722187,4.39845221663293e-09,6.58953304306673e-07
"Ndst3",-1.44626785165781,10.4872120452484,46.9733531785806,4.57693924786204e-09,6.79402541563375e-07
"Ntng1",-1.40817141403028,10.5400462729888,36.7826687107021,4.67010674761722e-09,6.86930247058606e-07
"Lingo2",-1.33036529279818,10.6012399485658,35.9847153153612,5.16853635417522e-09,7.5339565955455e-07
"Mtif2",-1.63684220454288,10.483691046034,63.7935227599067,5.64422948706158e-09,8.15389581255861e-07
"Cadm1",-1.34049090357344,10.5710595349083,39.1093359729667,5.80476827143483e-09,8.31160625060315e-07
"Arf4",-1.47202257512339,10.4299373563682,85.882292815941,6.39067031261978e-09,9.07026716299895e-07
"Lhfpl3",-1.46751252679443,10.4655379537595,56.3976812289375,6.65002682194918e-09,9.35629860688154e-07
"Ngrn",-1.47620476685184,10.4317718894526,82.978638736091,6.720603164899e-09,9.37408269035051e-07
"Psmb5",-1.43020720594269,10.4723593329765,60.4576395235416,6.82555627534397e-09,9.37947231357276e-07
"R3hdm1",-1.23369490593085,11.1323035324922,34.0614875102766,6.84040626082562e-09,9.37947231357276e-07
"Srpr",-1.48126649045452,10.4621028337558,62.3971314827268,7.45557564396745e-09,1.0137076799949e-06
"Add2",-1.23592118349369,10.781662857712,33.7792761607693,7.8770835319479e-09,1.06209342955764e-06
"Gnptg",-1.48273178845299,10.4562951707792,69.3250545012055,8.14224693967998e-09,1.08877318581836e-06
"C230004F18Rik",-1.0303515501138,11.3461556912394,33.4942589916669,9.08418208209395e-09,1.20477103351049e-06
"Aurkaip1",-1.41333681924527,10.4257561686237,85.3208433461843,9.64768365734653e-09,1.26910180142981e-06
"Blcap",-1.50571401250571,10.4753577222421,58.3880960956971,1.02768760318566e-08,1.34096656609225e-06
"Dpyd",-1.24257393339534,10.4557126484492,61.8712558514174,1.10174331834368e-08,1.42609655126405e-06
"Cox7c",-1.19443439310635,10.6641372679932,32.7142766794997,1.3423983919524e-08,1.72380999855474e-06
"Cyp51",-1.42921533057068,10.5103110337382,47.1678581351372,1.50190324085631e-08,1.91344838087048e-06
"Pam16",-1.52206244865293,10.459401372889,65.0917219062603,1.54326804263176e-08,1.95078726013922e-06
"Mecr",-1.55062603735291,10.4387521704419,75.8674694782564,1.62001875986641e-08,2.03193050656113e-06
