,SYMBOL,Astro_F_E18_WB_2,Astro_M_E18_WB_2,L2_3_IT_F_E18_WB_2,L2_3_IT_M_E18_WB_2,L4_F_E18_WB_2,L4_M_E18_WB_2,L5_F_E18_WB_2,L5_M_E18_WB_2,L6_F_E18_WB_2,L6_M_E18_WB_2,Lamp5_F_E18_WB_2,Lamp5_M_E18_WB_2,Oligo_M_E18_WB_2,Pvalb_M_E18_WB_2,Sst_F_E18_WB_2,Sst_M_E18_WB_2,Vip_M_E18_WB_2
0,Ptgds,0.0342018102265279,1.0,2.60276329489365e-05,0.0,8.80523736856986e-06,0.0533011448227424,9.06474895145948e-12,0.0,0.0,0.0,1.0,6.91136037289652e-12,0.0013559018355007,0.0,1.0,0.0,0.0002250257364286
1,Fn1,0.0342018102265279,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,Pla2g7,1.0,4.56314717811601e-06,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,Apoe,1.0,0.0,1.0,0.0321525578298959,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.13201240661276e-05,1.0,1.0,1.0,0.017096202043351,1.0
4,Sparcl1,1.0,7.742647079034271e-10,1.0,1.0,1.0,1.0,1.0,5.00942322385305e-08,1.0,0.0051495433383561,1.0,0.014519771866335,1.0,1.0,1.0,1.0,1.0
5,Ednrb,1.0,2.21788194001056e-06,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,Luzp2,1.0,2.21788194001056e-06,1.0,0.0015866847961221,1.0,0.0429458442792379,0.0589818553880669,2.0240392695214398e-11,1.0,0.0003160578755294,1.0,0.0117497599636167,1.0,1.0,1.0,1.0,1.0
7,Hbb-bt,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,Reln,1.0,1.0,0.0040168295236831,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0051479371906184,1.0
9,Sst,1.0,1.0,1.99365681963215e-07,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,Tfap2b,1.0,1.0,1.0,3.05670239120204e-08,1.0,0.0001285196417737,1.0,0.0,1.0,0.0109684199267809,1.0,0.0008138177719656,1.0,0.0018912173766194,1.0,3.89814522328003e-08,1.0
11,Pf4,1.0,1.0,1.0,0.0172575413393484,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,Hba-a2,1.0,1.0,1.0,5.85827682660541e-13,1.0,0.0167516522609351,1.0,0.0008138974650434,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13,Rbms1,1.0,1.0,1.0,0.0255330869487692,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14,Cacnb2,1.0,1.0,1.0,0.0133130273200975,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15,Rap2b,1.0,1.0,1.0,1.0,0.0037363944679901,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16,AC124561.1,1.0,1.0,1.0,1.0,0.0260529280545031,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17,Car8,1.0,1.0,1.0,0.0813100973643434,1.0,0.0446650062862195,1.0,1.36628179358101e-06,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0606478500882003,1.0
18,Trhde,1.0,1.0,1.0,1.0,1.0,0.0449807512318623,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19,Bckdhb,1.0,1.0,1.0,1.0,1.0,0.0485317462309375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,Cep112,1.0,1.0,1.0,1.0,1.0,0.0043781301502692,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
21,Dlx1,1.0,1.0,1.0,1.0,1.0,1.0,8.44677749385347e-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
22,Gm42047,1.0,1.0,1.0,1.0,0.0568362290487308,1.0,9.06474895145948e-12,0.0005237134566029,0.0213440777610417,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
23,Ccnd2,1.0,1.0,1.0,1.0,1.0,1.0,0.0093243094716341,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
24,Gad2,1.0,1.0,1.0,1.0,1.0,1.0,1.06389558083286e-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
25,Pcp2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.40561512780055e-06,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
26,Irx2,1.0,1.0,1.0,1.0,1.0,0.0787436285869949,1.0,8.40561512780055e-06,1.0,0.0693235044561993,1.0,1.0,1.0,1.0,1.0,1.0,1.0
27,Sox14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0436235468656584,1.0,1.0,1.0,0.0520784435146523,1.0,1.0,1.0,1.0,1.0
28,Nrxn3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0354823595013764,1.0,1.0,0.0117497599636167,1.0,1.0,1.0,1.0,1.0
29,Rorb,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0191302365271043,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
30,Avp,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.37069797147945e-07,1.0,2.33466242239855e-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0
31,Grm7,1.0,1.0,1.0,1.0,1.0,0.0088740549918642,1.0,1.0,1.0,0.0051464985809195,1.0,1.0,1.0,1.0,1.0,1.0,1.0
32,Nwd2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0055008383672108,1.0,1.0,1.0,1.0,1.0,1.0,1.0
33,Pde1c,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0912071797722026,1.0,1.0,0.0291575573819529,1.0,1.0,1.0,1.0,1.0,1.0
34,Atxn2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0117497599636167,1.0,1.0,1.0,1.0,1.0
35,Grid2,1.0,1.0,1.0,1.0,1.0,0.0258672319255626,1.0,1.0,1.0,1.0,1.0,0.0117497599636167,1.0,1.0,1.0,1.0,0.0425818845047596
36,Slc16a7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0515003509363551,1.0,1.0,1.0,0.0383739962568022,1.0,1.0,1.0,1.0,1.0
37,Dcc,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0108838319514925,1.0,1.0,1.0,1.0,1.0
38,Gpx1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.30577850940983e-09,1.0,1.0,1.0,1.0,1.0,2.48028645338794e-05,1.0,1.0,1.0
39,Npy,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0008504403347934,1.0,1.0,1.0,1.0,1.0,1.0,0.0007475631479336,1.0,1.0
40,Ptprk,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.001110833435187,1.0,1.0,1.0,0.0416918585809428,1.0,1.0,1.0,0.0013753273867737,1.0
41,Vim,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.77204575285694e-06,1.0,0.0473046046070902,1.0,1.0,1.0,1.0,1.0,0.0051479371906184,1.0
42,Grin2a,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02696849233034
43,Chsy3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0088218889309609
44,Cntn4,1.0,1.0,1.0,1.0,1.0,0.0904703535031472,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0425818845047596
45,Ankrd55,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.037196400369458
46,Pfkfb4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0476368434935314
