,SYMBOL,Astro_M_E18_WB_2,Astro_M_P120_CORT_2,L2_3_IT_M_E18_WB_2,L2_3_IT_M_P30_CORT_2,L2_3_IT_M_P60_CORT_2,L2_3_IT_M_P120_CORT_2,L4_M_E18_WB_2,L4_M_P30_CORT_2,L4_M_P60_CORT_2,L4_M_P120_CORT_2,L5_M_E18_WB_2,L5_M_P30_CORT_2,L5_M_P60_CORT_2,L5_M_P120_CORT_2,L6_M_E18_WB_2,L6_M_P30_CORT_2,L6_M_P60_CORT_2,L6_M_P120_CORT_2,Lamp5_M_E18_WB_2,Lamp5_M_P30_CORT_2,Lamp5_M_P60_CORT_2,Lamp5_M_P120_CORT_2,Oligo_M_E18_WB_2,Oligo_M_P30_CORT_2,Oligo_M_P60_CORT_2,Oligo_M_P120_CORT_2,Pvalb_M_E18_WB_2,Pvalb_M_P30_CORT_2,Pvalb_M_P60_CORT_2,Pvalb_M_P120_CORT_2,Sncg_M_P120_CORT_2,Sst_M_E18_WB_2,Sst_M_P30_CORT_2,Sst_M_P60_CORT_2,Sst_M_P120_CORT_2,Vip_M_E18_WB_2,Vip_M_P30_CORT_2,Vip_M_P60_CORT_2,Vip_M_P120_CORT_2
10,Pf4,1.0,1.0,0.0172575413393484,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11,Hba-a2,1.0,1.0,5.85827682660541e-13,1.0,1.0,1.0,0.0167516522609351,1.0,1.0,1.0,0.0008138974650434,1.0,1.0,1.0,1.0,1.0,1.0,0.002124026585075,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,Rbms1,1.0,1.0,0.0255330869487692,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0014289151394291,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13,Cacnb2,1.0,1.0,0.0133130273200975,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0520698211957468,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14,Taf9,1.0,1.0,1.0,1.0,1.0,1.5190517674903398e-11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.24808297392602e-08,1.0,1.0,1.0,3.42171921082365e-10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15,Fmc1,1.0,1.0,1.0,1.0,1.0,1.75343717446205e-10,1.0,1.0,1.0,0.0421607960598956,1.0,1.0,1.0,9.421804053433132e-09,1.0,1.0,1.0,2.9531950449722103e-09,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.53507662993432e-05,1.0,1.0,1.0,1.0,0.0019257528723256,1.0,1.0,1.0,0.0050567641965139
16,Romo1,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0002802994281881,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.05329078792238e-12,1.0,1.0,1.0,5.0230309118914e-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.05980540763174e-06,1.0,1.0,1.0,1.0,1.08319549758334e-09,1.0,1.0,1.0,5.80221541337896e-05
17,2310039H08Rik,1.0,1.0,1.0,1.0,1.0,2.2933307868577902e-09,1.0,1.0,1.0,0.0337509119950807,1.0,1.0,1.0,7.58171735438902e-10,1.0,1.0,1.0,1.12203527889641e-09,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0005883801298557,1.0,1.0,1.0,1.0
18,Prokr2,1.0,1.0,1.0,1.0,1.0,0.0014178949074794,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19,Cyr61,1.0,1.0,1.0,0.0011415660225437,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.61345560407977e-06,0.0040741723429382,1.0,1.0,3.9282821440167496e-11,4.29516886657488e-06,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,Fos,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,4.35160571650902e-08,1.0,1.0,0.0,0.0,0.0075519193484028,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.037618808029625,1.0,1.0,1.0,1.52341479764395e-07,1.0,1.0
21,Dusp1,1.0,1.0,1.0,0.0,0.0,1.0,1.0,5.68053764027354e-08,3.03621849884195e-11,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0882740345654501,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0413760519793187,1.0,1.0,1.0,1.0,1.0
22,Btg2,1.0,1.0,1.0,0.0,7.87567402328365e-08,1.0,1.0,0.0,0.0938119536468623,1.0,1.0,0.0,1.09380919655067e-08,1.0,1.0,0.0,1.17940900220706e-08,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
