,SYMBOL,Astro_M_E18_WB_2,Astro_M_P120_CORT_2,L2_3_IT_M_E18_WB_2,L2_3_IT_M_P30_CORT_2,L2_3_IT_M_P60_CORT_2,L2_3_IT_M_P120_CORT_2,L4_M_E18_WB_2,L4_M_P30_CORT_2,L4_M_P60_CORT_2,L4_M_P120_CORT_2,L5_M_E18_WB_2,L5_M_P30_CORT_2,L5_M_P60_CORT_2,L5_M_P120_CORT_2,L6_M_E18_WB_2,L6_M_P30_CORT_2,L6_M_P60_CORT_2,L6_M_P120_CORT_2,Lamp5_M_E18_WB_2,Lamp5_M_P30_CORT_2,Lamp5_M_P60_CORT_2,Lamp5_M_P120_CORT_2,Oligo_M_E18_WB_2,Oligo_M_P30_CORT_2,Oligo_M_P60_CORT_2,Oligo_M_P120_CORT_2,Pvalb_M_E18_WB_2,Pvalb_M_P30_CORT_2,Pvalb_M_P60_CORT_2,Pvalb_M_P120_CORT_2,Sncg_M_P120_CORT_2,Sst_M_E18_WB_2,Sst_M_P30_CORT_2,Sst_M_P60_CORT_2,Sst_M_P120_CORT_2,Vip_M_E18_WB_2,Vip_M_P30_CORT_2,Vip_M_P60_CORT_2,Vip_M_P120_CORT_2
61,Atxn2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0117497599636167,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0075812625226651
62,Grid2,1.0,1.0,1.0,1.0,0.0229910185121362,1.0,0.0258672319255626,1.0,1.0,1.0,1.0,1.0,1.0,0.0068667532579539,1.0,1.0,1.25533364325747e-07,0.0113666791287279,0.0117497599636167,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0425818845047596,1.0,1.0,1.0
63,Slc16a7,1.0,1.0,1.0,1.0,1.0,0.0130236802688777,1.0,1.0,1.0,1.0,0.0515003509363551,1.0,1.0,0.0499123936538979,1.0,1.0,1.0,1.0,0.0383739962568022,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0402609626922208
64,Dcc,1.0,1.0,1.0,1.0,1.0,0.0004135875541835,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0287550815506913,1.0,1.0,0.0010678938479529,1.0,0.0108838319514925,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
65,Coa6,1.0,1.0,1.0,1.0,1.0,3.27337081165156e-07,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.61698898746889e-08,1.0,1.0,1.0,2.7436017529714597e-12,1.0,1.0,1.0,0.0009716026747797,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0006119213259139,1.0,1.0,1.0,1.0,0.0001353080281031,1.0,1.0,1.0,0.0049564174208974
66,E230001N04Rik,1.0,1.0,1.0,1.0,1.0,0.0002878433464816,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0001344548868364,1.0,1.0,1.0,0.0193262410590373,1.0,1.0,1.0,0.0096564843319922,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
67,Mrm3,1.0,1.0,1.0,1.0,1.0,4.52766950217046e-06,1.0,1.0,1.0,0.0606661498571804,1.0,1.0,1.0,3.01061013389455e-13,1.0,1.0,1.0,1.9103007014313402e-09,1.0,1.0,1.0,1.7571799605598e-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.45626396667924e-05,1.0,1.0,1.0,1.0,1.18348528254083e-05,1.0,1.0,1.0,1.47506555329135e-05
68,H3f3a,1.0,1.0,1.0,1.0,1.0,1.6406747755253902e-14,1.0,1.0,1.0,0.0049341880955257,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,5.15589953470429e-07,1.0,1.0,1.0,0.0370610484587335,1.0,1.0,1.0,4.32947905153865e-05,1.0,1.0,1.0,1.0,3.44904142686889e-06,1.0,1.0,1.0,0.0023902690596563
69,Ywhaq,1.0,1.0,1.0,1.0,1.0,4.4391590674377997e-13,1.0,1.0,1.0,1.83643342642389e-05,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.13940828005659e-06,1.0,1.0,1.0,0.0055083511631683,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,6.23790570560184e-10,1.0,1.0,1.0,2.84214216513846e-06
70,Rabac1,1.0,1.0,1.0,1.0,1.0,2.75849361851756e-05,1.0,1.0,1.0,0.000938739431282,1.0,1.0,1.0,1.22942905007164e-06,1.0,1.0,1.0,3.14057838805788e-05,1.0,1.0,1.0,0.0008745923690478,1.0,1.0,1.0,0.0459586848764491,1.0,1.0,1.0,9.62353729807322e-05,1.0,1.0,1.0,1.0,2.48532811901684e-10,1.0,1.0,1.0,0.0025024837494747
71,Grin2b,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0386547277005433,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
72,Gpx1,1.0,1.0,1.0,1.0,1.0,4.3356848166343e-13,1.0,1.0,1.0,0.0096086298060341,8.30577850940983e-09,1.0,1.0,1.11695876719315e-11,1.0,1.0,1.0,3.01314528883267e-13,1.0,1.0,1.0,1.18040097304162e-06,1.0,1.0,1.0,1.0,2.48028645338794e-05,1.0,1.0,2.14864769287439e-08,1.0,1.0,1.0,1.0,2.93441177732329e-08,1.0,1.0,1.0,0.0713412412214025
73,C1qtnf4,1.0,1.0,1.0,1.0,1.0,2.35803591129784e-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.78364050191667e-07,1.0,1.0,1.0,2.14060646220023e-07,1.0,1.0,1.0,0.0122315448367737,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.53507662993432e-05,1.0,1.0,1.0,1.0,0.0434335077064396,1.0,1.0,1.0,0.0049564174208974
74,Dlk1,1.0,1.0,1.0,1.0,1.0,0.0001306262305251,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.75536755973048e-10,1.0,1.0,1.0,1.19967830721278e-09,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0002715695296347,1.0,1.0,1.0,1.0,0.0439677602172165,1.0,1.0,1.0,0.0016849626120677
75,Gm9925,1.0,1.0,1.0,1.0,1.0,3.58980065004965e-08,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.61660063936788e-05,1.0,1.0,1.0,2.77577384427685e-06,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0058816378819006,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
76,Cldn11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0001121144223724,1.0,1.0,1.0,2.0345391866964803e-09,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0055083511631683,1.0,0.0491213934564564,1.0,8.3884735196637e-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
77,Hint1,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.000955728986998,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0132731227448168,1.0,1.0,1.0,0.0,1.0,1.0,1.0,5.613091465702291e-09
78,Khdrbs2,1.0,1.0,1.0,1.0,1.0,0.0062971985273172,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0003706422472894,1.0,1.0,1.0,6.508393823878579e-11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0069302829838958,0.0125631544854032,1.0,1.0,1.0,0.0213415540651276,1.0,1.0,1.0,1.0
79,Chd3os,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.4971872471092504e-09,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0756673329836999e-13,0.0058395666993149,1.0,1.0,1.0,0.0,1.0,1.0,1.0,3.42770256622771e-13
80,Ptprk,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.001110833435187,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0416918585809428,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0013753273867737,1.0,1.0,1.0,1.0,1.0,1.0,1.0
81,Vim,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.77204575285694e-06,1.0,1.0,1.0,0.0473046046070902,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0051479371906184,1.0,1.0,1.0,1.0,1.0,1.0,1.0
82,Hist1h4i,1.0,1.0,1.0,1.0,1.0,0.0009341888364864,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.13459726985618e-08,1.0,1.0,1.0,1.25858002469168e-07,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0068702260623214,1.0,1.0,1.0,1.0
83,Gsto1,1.0,1.0,1.0,1.0,1.0,0.0001905734620842,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0057348047052099,1.0,1.0,1.0,9.99773916275094e-05,1.0,1.0,1.0,0.0001155514578094,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.013664809926089,1.0,1.0,1.0,1.0,1.64413320354784e-06,1.0,1.0,1.0,1.0
84,Pex11a,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0285935979864691,1.0,1.0,1.0,0.0031132796557467,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0068702260623214,1.0,1.0,1.0,0.0491265305393311
85,Gpr150,1.0,1.0,1.0,1.0,1.0,8.56751375865181e-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.001612282941299,1.0,1.0,1.0,1.84995440995748e-07,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0332648816284249,1.0,1.0,1.0,1.0
86,Junb,1.0,1.0,1.0,1.0,0.0,1.28491533408047e-08,1.0,1.0,0.022179282918833,1.0,1.0,1.0,0.0,5.700742030955581e-09,1.0,1.0,0.0,2.74658685564736e-08,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0218976601152713,1.0,1.0,1.0,6.11473350031755e-05,1.0,1.0
87,Glis3,1.0,1.0,1.0,1.0,0.0866837157288566,0.0001936040530031,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0226842791231138,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0045643324429579,1.0,1.0,1.0,1.0,1.0
88,Cebpd,1.0,1.0,1.0,1.0,0.0104309896865406,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0004729305753742,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0314005825466001,1.0,1.0,1.0,1.0,1.0
89,Grin2a,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02696849233034,1.0,1.0,1.0
90,Chsy3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0088218889309609,1.0,1.0,1.0
91,Cntn4,1.0,1.0,1.0,1.0,1.0,1.0,0.0904703535031472,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0425818845047596,1.0,1.0,1.0
92,Ankrd55,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.037196400369458,1.0,1.0,1.0
93,Pfkfb4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0476368434935314,1.0,1.0,1.0
94,Mrpl17,1.0,1.0,1.0,1.0,1.0,1.70022094990738e-08,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.01532698266516e-08,1.0,1.0,1.0,1.2126703150422099e-12,1.0,1.0,1.0,0.0438715666950984,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0008542037153117,1.0,1.0,1.0,1.0,4.5529923119757e-06,1.0,1.0,1.0,7.6254457301744e-07
95,Sst,1.0,1.0,1.0,1.0,0.0765780528939722,5.89333451052818e-07,1.0,1.0,1.0,0.0610287515958638,1.0,1.0,1.0,2.76662462660077e-05,1.0,6.12361945081343e-07,1.0,9.82701291433607e-08,1.0,1.0,1.0,0.0242985315179073,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0369885612978429,1.0,1.0
96,Coro6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0003801503465074,1.0,1.0
97,Cxcl14,1.0,1.0,1.0,1.0,1.0,0.0017355176652885,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0033017612838059,1.0
