,gene,celltype,logfc,pv
0,Ttr,Astro_M_E18_WB,-1.19270269470521,2.6816603664637196e-09
1,Ttr,L2_3_IT_M_E18_WB,-1.08691900408061,3.5240817591923597e-20
2,Ttr,L4_M_E18_WB,-1.0484031478301998,8.4537801477072e-09
3,Ttr,L5_M_E18_WB,-0.893852681107962,1.19890051302823e-46
4,Ttr,L6_M_E18_WB,-1.00489568745622,4.2037287668635496e-27
5,Ttr,Lamp5_M_E18_WB,-1.04804009586142,4.4632182842541804e-15
6,Ttr,Non_neuronal_M_E18_WB,-0.968645201864019,0.0169920454169156
7,Ttr,Oligo_M_E18_WB,-1.2380826943255199,0.0302671376188165
8,Ttr,Pvalb_M_E18_WB,-0.9366621701559259,5.1329538542232204e-11
9,Ttr,Sst_M_E18_WB,-1.07629688178025,9.77034383037888e-25
10,Ttr,Vip_M_E18_WB,-0.899552944856535,5.142971388835679e-10
11,Ptn,Astro_M_E18_WB,0.9926073178113609,0.000116531995542074
12,Ptn,L2_3_IT_M_E18_WB,0.368254482647544,0.0281214511819543
13,Ptn,L4_M_E18_WB,0.263887521487349,0.40686553097584904
14,Ptn,L5_M_E18_WB,0.34203414155653306,5.87524791657789e-06
15,Ptn,L6_M_E18_WB,0.26354747637052695,0.117106663493
16,Ptn,Lamp5_M_E18_WB,0.41690787139287705,0.029409559866196002
17,Ptn,Non_neuronal_M_E18_WB,0.314006315509415,0.741537967881013
18,Ptn,Oligo_M_E18_WB,0.20610034162270396,0.8799698447510029
19,Ptn,Pvalb_M_E18_WB,0.621590601026505,0.0010241007376115801
20,Ptn,Sst_M_E18_WB,0.387646466994552,0.017654559084718
21,Ptn,Vip_M_E18_WB,0.23120935219560002,0.463275925361094
22,Ptprz1,Astro_M_E18_WB,0.8515156121101,0.0162697549303142
23,Ptprz1,L2_3_IT_M_E18_WB,0.17687437416460502,0.355099798913998
24,Ptprz1,L4_M_E18_WB,0.17274170318746998,0.6075387191334201
25,Ptprz1,L5_M_E18_WB,0.0348366850486013,0.8277229927194292
26,Ptprz1,L6_M_E18_WB,0.138253457868203,0.556129228258602
27,Ptprz1,Lamp5_M_E18_WB,0.274118596791986,0.171661461327761
28,Ptprz1,Non_neuronal_M_E18_WB,-0.11743068480862699,0.900596405622827
29,Ptprz1,Oligo_M_E18_WB,0.277063206515712,0.870034259357874
30,Ptprz1,Pvalb_M_E18_WB,0.0338474565947549,0.944854436367673
31,Ptprz1,Sst_M_E18_WB,-0.0352683269634303,0.9138834880924749
32,Ptprz1,Vip_M_E18_WB,-0.171511723900056,0.569695961382021
33,Luzp2,Astro_M_E18_WB,0.8241806397152,9.64049177788363e-07
34,Luzp2,L2_3_IT_M_E18_WB,0.338672624164192,3.1334446675156103e-07
35,Luzp2,L4_M_E18_WB,0.296363079339944,0.0137286881258173
36,Luzp2,L5_M_E18_WB,0.2563902725293,2.83418801650659e-17
37,Luzp2,L6_M_E18_WB,0.330038286104096,6.270309642478679e-12
38,Luzp2,Lamp5_M_E18_WB,0.32809925278364005,0.000136545711096623
39,Luzp2,Non_neuronal_M_E18_WB,0.598847582960316,0.18769529845695498
40,Luzp2,Oligo_M_E18_WB,0.363139421926367,0.767149934169894
41,Luzp2,Pvalb_M_E18_WB,0.20585388844598604,0.0386850602544274
42,Luzp2,Sst_M_E18_WB,0.19547942338832502,0.00977254557590841
43,Luzp2,Vip_M_E18_WB,0.238343183073479,0.0129022236043945
44,Rps27a,Astro_M_E18_WB,-0.8149332320047701,0.00291789693381798
45,Rps27a,L2_3_IT_M_E18_WB,-0.592558008760685,8.845963361464499e-05
46,Rps27a,L4_M_E18_WB,-0.534407619277229,0.0299327802731052
47,Rps27a,L5_M_E18_WB,-0.42757748946362606,1.4297996181500602e-08
48,Rps27a,L6_M_E18_WB,-0.597352508282703,4.2046252078175003e-07
49,Rps27a,Lamp5_M_E18_WB,-0.37928977392896995,0.0795423059691849
50,Rps27a,Non_neuronal_M_E18_WB,-0.39398957132193296,0.6954054575530509
51,Rps27a,Oligo_M_E18_WB,0.150626947934439,0.91198215948579
52,Rps27a,Pvalb_M_E18_WB,-0.32066424829892104,0.36899563434592797
53,Rps27a,Sst_M_E18_WB,-0.32712054292473497,0.112514963759268
54,Rps27a,Vip_M_E18_WB,-0.45224082458243103,0.0444246571786026
55,Aqp4,Astro_M_E18_WB,0.7741887172271421,1.5870261179911199e-07
56,Aqp4,L2_3_IT_M_E18_WB,0.0166673709601863,0.0512562160010524
57,Aqp4,L4_M_E18_WB,0.009975158138796441,0.7167912928175829
58,Aqp4,L5_M_E18_WB,0.00216028503175556,0.307985195283258
59,Aqp4,L6_M_E18_WB,0.0103630567387471,0.44219972462054796
60,Aqp4,Lamp5_M_E18_WB,0.0197001300392336,0.249385291504261
61,Aqp4,Non_neuronal_M_E18_WB,0.0,1.0
62,Aqp4,Oligo_M_E18_WB,0.0205514217735852,0.905331085199823
63,Aqp4,Pvalb_M_E18_WB,-0.00208135994617584,0.972447247084682
64,Aqp4,Sst_M_E18_WB,0.0233387595298959,0.0340301883129438
65,Aqp4,Vip_M_E18_WB,0.0212771685692256,0.362931482524465
66,Igfbpl1,Astro_M_E18_WB,-0.7703041744044571,0.00283219740870082
67,Igfbpl1,L2_3_IT_M_E18_WB,-0.4901162163265301,0.000605251930696649
68,Igfbpl1,L4_M_E18_WB,-0.644929410593002,0.00134123048273854
69,Igfbpl1,L5_M_E18_WB,-0.684879684847893,8.10229818396713e-29
70,Igfbpl1,L6_M_E18_WB,-0.48353660793734105,1.5256378433771801e-05
