,SYMBOL,Astro_F_P150_CORT_2,L2_3_IT_F_P30_CORT_2,L2_3_IT_F_P60_CORT_2,L2_3_IT_F_P150_CORT_2,L4_F_P30_CORT_2,L4_F_P60_CORT_2,L4_F_P150_CORT_2,L5_F_P30_CORT_2,L5_F_P60_CORT_2,L5_F_P150_CORT_2,L6_F_P30_CORT_2,L6_F_P60_CORT_2,L6_F_P150_CORT_2,Lamp5_F_P30_CORT_2,Lamp5_F_P60_CORT_2,Oligo_F_P30_CORT_2,Oligo_F_P60_CORT_2,Pvalb_F_P30_CORT_2,Pvalb_F_P150_CORT_2,Sst_F_P30_CORT_2,Sst_F_P60_CORT_2,Sst_F_P150_CORT_2,Vip_F_P30_CORT_2,Vip_F_P60_CORT_2,Vip_F_P150_CORT_2
20,Prr16,0.7763676976432261,-0.2282080728464442,0.0,0.0,0.0,-0.4806059970441236,0.0,-0.2947943653590006,0.0,-0.1980663305185562,0.0,0.318921411033211,-0.2317180453840022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Sncaip,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6532753655154566,0.0,0.0,0.0,0.0,0.6842889304575926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,4921539H07Rik,0.0,-0.3697760961269193,0.0,0.0,-0.2427096759684041,0.0,0.0,-0.4235663500326169,-0.0958101525489098,0.5930906265197644,-0.5222708769328753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Col11a1,0.0,-0.4634723905186036,0.0,0.0,-0.5529872849737625,0.0,0.0,-0.7739376880549511,0.1775171489551288,0.4695876254170584,-0.4923835858017839,0.0,-0.0036571526673606,0.0,0.0,0.0,0.0,0.0,0.0,-0.3040307135622933,0.0,0.0,0.0,0.0,0.0
24,Ccbe1,0.0,0.0,-0.2049392564840514,0.0,0.0,0.0,0.0,-0.6944891015975886,0.6716717429735732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Adam33,0.0,-0.3524189975519468,0.0,0.0,0.0,0.0,0.0,-0.6188387244450976,0.0,0.0,0.0,0.6301131824527094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Gm32647,0.0,0.0,0.5278890151129353,0.0,0.0,0.0,0.0,0.0,1.0962435104721993,-0.2991337217472601,0.0,0.2938074264401854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7041582144351676
27,AW551984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8206107559856393,-0.3633293766370549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4894394789991964,0.0,0.0,0.0,0.0
28,Baiap3,0.0,0.0,0.0,-0.4444150470707814,0.0,0.0,0.0,0.0,0.7271890708234042,-0.4080158568352041,0.0,0.4717654745988157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4020385803958419,0.0,0.8674262593272826,-0.4133245329633169
29,Penk,0.0,-0.4099095908353212,0.0,-0.2084332829016909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3996412630018287,0.0,0.0,0.0,0.0,0.0,-0.8412029961307331,-0.8396037294708366,0.0,-0.3267849487424778,0.0,0.0,0.0
30,Vwc2l,1.2795023847278069,0.0,0.4895555426314668,0.0,0.0,0.0,0.0,-0.1963195296244844,0.0,0.0,0.0,0.3944494904674375,-0.3630519549735505,0.0,0.6372923677813684,0.0,0.0,0.0,0.0,0.0,0.0,-0.5556499169000916,0.0,0.0,0.0
31,Syt2,0.9647926917726332,0.0,0.0,0.0,0.0,0.0,0.0,-0.221475015912024,-0.5106477841770825,0.0,-0.5935247545784001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.809824331704346,0.0,0.0,0.0
32,Hbb-bs,0.0,-0.4227871078142401,0.0,-0.2750531439507104,-0.532823821161728,0.0,-0.2941564743805806,-0.4576701732462257,0.0,-0.2279303508312123,-0.547685329392086,0.0,-0.2398136725027326,-0.3269416444364711,0.7744655608066807,-0.7086060933747564,0.0,-0.423839128133552,-0.3431313475259344,-0.511099310833107,0.0,-0.4202010500168798,-0.4493041024753828,0.0,-0.413491901896689
33,Cdh4,0.0,-0.4287539560862576,0.0,-0.1834968298376364,0.0,0.0,0.0,-0.4862131591705067,0.0,-0.2153253359600617,-0.5423722321310175,0.0,-0.3334842435141268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2947371444440921,0.0,0.0,0.0
34,Dcn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5374334874604402,-0.247237021219653,0.0,0.9015788545634368,0.0,0.0,1.4997645038650484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Casp3,0.0,-0.2136490451118697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7457118928068658,0.0,0.0,0.0,0.0,0.0,-0.3428816240601244,0.0,0.0,0.0,0.0,0.0,0.0,0.0
