"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Sh3glb2",0.0665767320816234,0.0714246329457026,2.11575514033125,0.0344351425095946,0.248440329507839,-4.66343966671268
"H13",0.107721865081448,0.204755824053312,2.11526406289519,0.0344769815373427,0.248631190818829,-4.66446671038033
"Rplp2",-0.243460965982202,1.70058293218316,-2.11471558503938,0.0345237623463606,0.248857503692923,-4.6656135206696
"Pbx3",0.0741568335692002,0.0855799755150482,2.1143873240126,0.0345517863487257,0.248932872316937,-4.66629973851957
"Nubp1",0.0604747861554663,0.0569889721158873,2.11423233388059,0.0345650247805957,0.248932872316937,-4.66662370287764
"Nagk",0.10083414788533,0.184113472999964,2.11325880214819,0.034648277842355,0.24910341724373,-4.66865806224269
"Stxbp1",0.144639688631675,0.353616726177409,2.11322508493881,0.0346511642886457,0.24910341724373,-4.66872850331506
"1700003F12Rik",0.00316929564337406,0.000335677510396814,2.11269462784041,0.0346966024513109,0.24910341724373,-4.66983657223124
"Olfr267",0.00316929564337406,0.000335677510396814,2.11269462784041,0.0346966024513109,0.24910341724373,-4.66983657223124
"Clec1a",0.00316929564337406,0.000335677510396814,2.11269462784041,0.0346966024513109,0.24910341724373,-4.66983657223124
"4732496C06Rik",0.00316929564337406,0.000335677510396814,2.11269462784041,0.0346966024513109,0.24910341724373,-4.66983657223124
"Cdcp1",0.00316929564337406,0.000335677510396814,2.11269462784041,0.0346966024513109,0.24910341724373,-4.66983657223124
"Map7d1",0.0836470419490057,0.112447113768412,2.11240207030189,0.0347216842680911,0.24915797299108,-4.67044757534906
"Spag4",0.022896740700516,0.00788004002626533,2.1119852238957,0.0347574484955276,0.24915797299108,-4.67131800856341
"Chd4",-0.119467058547447,0.232705475240516,-2.11189902222302,0.0347648482780674,0.24915797299108,-4.67149798825243
"Atrn",0.0738561128407633,0.09962357953759,2.1118871182933,0.0347658702490493,0.24915797299108,-4.67152284178382
"Sorbs2",0.122509538337084,0.265012539956075,2.11155026183517,0.0347948005447038,0.249254774646701,-4.67222608710308
"Fam118b",-0.07387580126629,0.0877416665926973,-2.11134411536485,0.0348125151969147,0.24927118214326,-4.67265639783407
"Mettl2",0.0583821103006495,0.0621837831991917,2.11105165086763,0.0348376605801082,0.249291347495662,-4.67326681716182
"Ankle2",-0.0712252152478676,0.0862787277948694,-2.11090192666658,0.0348505395051117,0.249291347495662,-4.67357928243513
"Fads3",0.0436888292560724,0.0350282949927097,2.11072065143434,0.0348661378189801,0.249291347495662,-4.67395756320192
"Zbtb12",0.0935758716558023,0.138667047168448,2.11059406999674,0.0348770333944491,0.249291347495662,-4.67422169106813
"Polb",0.108507916017299,0.203934084450366,2.10920576500833,0.0349967236133469,0.250036273348939,-4.67711752462654
"Pcdhb14",0.0277421279217673,0.0135783669729863,2.10847394446913,0.0350599572925629,0.250377361822849,-4.67864324731629
"Hes7",0.0166975897612144,0.00545298531138306,2.10744107781466,0.0351493691867429,0.250905015647947,-4.68079570181256
"Rtbdn",0.00851107958878712,0.00157347942308539,2.10724124657945,0.0351666903864942,0.250917829287476,-4.68121202098725
"Usp15",0.115387997737946,0.235788268112926,2.10698712970361,0.0351887275463459,0.250951175162252,-4.68174137948282
"Slc39a1",0.0320022305291612,0.0164260177371985,2.10682930330328,0.0352024202767667,0.250951175162252,-4.68207012034097
"Sec22a",0.0692592369370467,0.0928126986435225,2.10636500287133,0.0352427285170168,0.251127749366626,-4.68303708178708
"Dst",0.0989853254103072,0.17037918074607,2.10591192706238,0.0352821002761105,0.251297497823809,-4.68398046167059
"Arpc4",0.146292495754091,0.354596309250824,2.10528883628807,0.0353363074685603,0.251572715858768,-4.68527751062663
"Gm30340",0.00849058499507133,0.00181597089447925,2.10493697451757,0.035366949880826,0.251679998689577,-4.68600979004474
"Srcin1",0.0529770410194664,0.0502661437691685,2.10440446824188,0.0354133671340205,0.251848402631108,-4.68711778675319
