"","cell_type","numDEGs","Age"
"M_MUT_and_WT_M_P30_CORT.2","L2_3_IT",3,30
"M_MUT_and_WT_M_P60_CORT.2","L2_3_IT",56,60
"M_MUT_and_WT_M_P120_CORT.3","L2_3_IT",23,120
"M_MUT_and_WT_M_P30_CORT.3","L4",4,30
"M_MUT_and_WT_M_P60_CORT.3","L4",4,60
"M_MUT_and_WT_M_P120_CORT.4","L4",1,120
"M_MUT_and_WT_M_P30_CORT.4","L5",0,30
"M_MUT_and_WT_M_P60_CORT.4","L5",0,60
"M_MUT_and_WT_M_P120_CORT.5","L5",5,120
"M_MUT_and_WT_M_P30_CORT.5","L6",0,30
"M_MUT_and_WT_M_P60_CORT.5","L6",1,60
"M_MUT_and_WT_M_P120_CORT.6","L6",1,120
"M_MUT_and_WT_M_P30_CORT.8","Pvalb",0,30
"M_MUT_and_WT_M_P60_CORT.9","Pvalb",0,60
"M_MUT_and_WT_M_P120_CORT.10","Pvalb",9,120
"M_MUT_and_WT_M_P30_CORT.11","Vip",1,30
"M_MUT_and_WT_M_P60_CORT.12","Vip",0,60
"M_MUT_and_WT_M_P120_CORT.13","Vip",41,120
"M_MUT_and_WT_M_P30_CORT.10","Sst",0,30
"M_MUT_and_WT_M_P60_CORT.11","Sst",1,60
"M_MUT_and_WT_M_P120_CORT.12","Sst",31,120
"M_MUT_and_WT_M_P30_CORT.9","Sncg",0,30
"M_MUT_and_WT_M_P60_CORT.10","Sncg",6,60
"M_MUT_and_WT_M_P120_CORT.11","Sncg",41,120
"M_MUT_and_WT_M_P30_CORT.6","Lamp5",1,30
"M_MUT_and_WT_M_P60_CORT.6","Lamp5",0,60
"M_MUT_and_WT_M_P120_CORT.7","Lamp5",49,120
"M_MUT_and_WT_M_P60_CORT.8","Peri",0,60
"M_MUT_and_WT_M_P120_CORT.9","Peri",18,120
"M_MUT_and_WT_M_P120_CORT.2","Endo",0,120
"M_MUT_and_WT_M_P30_CORT.7","Oligo",0,30
"M_MUT_and_WT_M_P60_CORT.7","Oligo",0,60
"M_MUT_and_WT_M_P120_CORT.8","Oligo",0,120
"M_MUT_and_WT_M_P60_CORT.1","Astro",7,60
"M_MUT_and_WT_M_P120_CORT.1","Astro",12,120
