Cluster,DESeq2 (tot),Limma (tot),EdgeR (tot),DESeq2 Only,Limma Only,EdgeR Only,DESeq2 & Limma,DESeq2 & EdgeR,Limma & EdgeR,All Methods
L2_3_IT,348,2492,2838,22,202,516,3,35,1999,288
L6,299,2591,3362,20,146,888,3,32,2198,244
Sst,93,1077,1292,1,110,319,0,6,881,86
L5,337,2704,3154,16,193,613,2,32,2222,287
L4,43,547,825,0,49,326,0,1,456,42
Pvalb,46,648,992,1,70,414,0,0,533,45
Sncg,5,22,64,1,0,42,0,0,18,4
Non-neuronal,14,103,296,0,6,194,0,5,88,9
Oligo,5,5,11,5,2,8,0,0,3,0
Vip,66,720,1339,3,28,641,0,6,635,57
Lamp5,77,742,1148,2,47,446,0,7,627,68
Astro,5,21,68,1,1,48,0,0,16,4
Peri,0,0,0,0,0,0,0,0,0,0
Endo,0,0,0,0,0,0,0,0,0,0
