Cluster,DESeq2 (tot),Limma (tot),EdgeR (tot),DESeq2 Only,Limma Only,EdgeR Only,DESeq2 & Limma,DESeq2 & EdgeR,Limma & EdgeR,All Methods
L2_3_IT,4,593,562,0,193,162,0,0,396,4
L6,4,291,280,0,128,116,0,1,160,3
Sst,3,163,191,0,68,96,0,0,92,3
L5,19,642,705,1,133,195,0,1,492,17
L4,16,406,704,0,72,367,0,3,321,13
Pvalb,3,66,100,0,28,61,0,1,36,2
Sncg,0,0,0,0,0,0,0,0,0,0
Non-neuronal,4,14,114,0,3,101,0,2,9,2
Oligo,0,1,6,0,0,5,0,0,1,0
Vip,4,222,658,0,29,465,0,0,189,4
Lamp5,13,516,824,0,101,405,0,4,406,9
Astro,9,35,127,0,3,94,0,1,24,8
Peri,0,0,25,0,0,25,0,0,0,0
Endo,0,0,0,0,0,0,0,0,0,0
