,logFC,AveExpr,t,P.Value,adj.P.Val,B,Time_point,DEG_Test,SYMBOL
Actr1a,-0.93433845,7.584872062,-5.498457395,4.76203993308355e-07,0.00070783,6.077666064,P30,MUT cells from HET vs WT cells from WT,Actr1a
Timmdc1,-0.931124675,7.833655599,-3.874241384,0.000222546,0.006337012,0.493087182,P30,MUT cells from HET vs WT cells from WT,Timmdc1
Ddb1,-0.92990056,7.786138782,-3.736250633,0.000355722,0.008338654,0.083105691,P30,MUT cells from HET vs WT cells from WT,Ddb1
Psme4,-0.925241071,7.896069099,-3.183017494,0.002100166,0.025053662,-1.440287317,P30,MUT cells from HET vs WT cells from WT,Psme4
Rpl36a,-0.920731567,7.781506721,-4.627698523,1.46335627558745e-05,0.002175133,2.916709028,P30,MUT cells from HET vs WT cells from WT,Rpl36a
R3hdm4,-0.916199539,7.889631024,-4.147939993,8.533361087669e-05,0.004664541,1.324344744,P30,MUT cells from HET vs WT cells from WT,R3hdm4
Ccdc136,-0.903624545,8.069466711,-2.985587568,0.003788751,0.036099999,-1.921498706,P30,MUT cells from HET vs WT cells from WT,Ccdc136
Ubqln4,-0.902687937,7.726732567,-3.312243445,0.001409155,0.019575398,-1.11764088,P30,MUT cells from HET vs WT cells from WT,Ubqln4
Ralgps1,-0.895665207,7.928113685,-3.749930075,0.000339712,0.008122895,0.116573256,P30,MUT cells from HET vs WT cells from WT,Ralgps1
Csnk2a1,-0.894125236,8.050429227,-3.275435366,0.00158037,0.02089913,-1.196863941,P30,MUT cells from HET vs WT cells from WT,Csnk2a1
Crk,-0.89315327,7.778163814,-4.142552242,8.69894236297983e-05,0.004664541,1.326072091,P30,MUT cells from HET vs WT cells from WT,Crk
Mboat7,-0.891692317,7.783174952,-3.787791074,0.000298905,0.007473667,0.235421784,P30,MUT cells from HET vs WT cells from WT,Mboat7
Rhobtb3,-0.891685953,7.929817474,-3.391886661,0.00109654,0.016734049,-0.887780361,P30,MUT cells from HET vs WT cells from WT,Rhobtb3
Tnk2,-0.891197814,7.723440508,-3.452211208,0.000904595,0.014660372,-0.737020409,P30,MUT cells from HET vs WT cells from WT,Tnk2
Rnpep,-0.890567011,7.739716119,-5.209843283,1.52411962535825e-06,0.001074941,4.969992247,P30,MUT cells from HET vs WT cells from WT,Rnpep
Ap4e1,-0.889573083,7.675520297,-3.77899483,0.000307946,0.007562897,0.201381998,P30,MUT cells from HET vs WT cells from WT,Ap4e1
Scaf1,0.886171735,7.913847259,4.521256378,2.18244781096166e-05,0.002522961,2.462089324,P30,MUT cells from HET vs WT cells from WT,Scaf1
Pak6,-0.878873052,7.827347869,-3.060736493,0.003035263,0.031505689,-1.755391858,P30,MUT cells from HET vs WT cells from WT,Pak6
Stx3,-0.875626316,7.539518423,-4.810712716,7.28303108340799e-06,0.001659015,3.582015108,P30,MUT cells from HET vs WT cells from WT,Stx3
Prkcg,-0.874896581,7.727266423,-4.99738007,3.52868136256928e-06,0.001179885,4.21503833,P30,MUT cells from HET vs WT cells from WT,Prkcg
Vps50,-0.871612444,7.621730102,-4.59473347,1.65701336006111e-05,0.002239077,2.827785089,P30,MUT cells from HET vs WT cells from WT,Vps50
Ascc2,-0.871289507,7.530649333,-4.749021219,9.22761566051516e-06,0.001659015,3.36582105,P30,MUT cells from HET vs WT cells from WT,Ascc2
Rhbdd2,-0.85833752,7.870890093,-3.199916415,0.00199452,0.024302767,-1.399603252,P30,MUT cells from HET vs WT cells from WT,Rhbdd2
Hikeshi,-0.858019026,7.785088117,-3.35769253,0.001221774,0.018016313,-0.989261838,P30,MUT cells from HET vs WT cells from WT,Hikeshi
Fdx1l,-0.857032652,7.609024255,-4.158211204,8.22606804427966e-05,0.004664541,1.378541129,P30,MUT cells from HET vs WT cells from WT,Fdx1l
Rabggtb,-0.853924317,7.951971657,-3.749756086,0.000339911,0.008122895,0.116586085,P30,MUT cells from HET vs WT cells from WT,Rabggtb
Chmp3,-0.853077128,7.552371365,-4.433731731,3.02104407758259e-05,0.002823779,2.282867559,P30,MUT cells from HET vs WT cells from WT,Chmp3
Amfr,-0.850992032,7.772370053,-4.075443421,0.000110389,0.004886899,1.113568459,P30,MUT cells from HET vs WT cells from WT,Amfr
Arhgdig,-0.849021764,7.66771879,-4.006098593,0.00014088,0.004951008,0.897759668,P30,MUT cells from HET vs WT cells from WT,Arhgdig
1810043G02Rik,-0.848071035,7.701154987,-4.20445358,6.96977353709038e-05,0.004177367,1.528414326,P30,MUT cells from HET vs WT cells from WT,1810043G02Rik
Cntfr,-0.845732869,7.78044147,-4.029235952,0.000129903,0.004916843,0.970102601,P30,MUT cells from HET vs WT cells from WT,Cntfr
Rbm18,-0.845728477,7.732171752,-3.92430483,0.000187271,0.005656353,0.647091166,P30,MUT cells from HET vs WT cells from WT,Rbm18
Zfp788,-0.843630683,7.606903317,-3.752684173,0.000336573,0.008095175,0.114355286,P30,MUT cells from HET vs WT cells from WT,Zfp788
Acvr1b,-0.843105228,7.71220856,-3.695981345,0.000407134,0.009059335,-0.040652306,P30,MUT cells from HET vs WT cells from WT,Acvr1b
Atp6v0e,-0.842962076,7.771941318,-3.999463806,0.000144188,0.005031027,0.878517137,P30,MUT cells from HET vs WT cells from WT,Atp6v0e
Cbfa2t3,-0.842277852,7.518483459,-4.329164792,4.43604525885722e-05,0.003153338,1.930550591,P30,MUT cells from HET vs WT cells from WT,Cbfa2t3
Polr3f,-0.84209541,7.830415278,-3.812125075,0.000275195,0.00719423,0.307747318,P30,MUT cells from HET vs WT cells from WT,Polr3f
Cab39,-0.840548447,7.713965648,-3.818384782,0.000269393,0.007181765,0.324857207,P30,MUT cells from HET vs WT cells from WT,Cab39
Cacna1e,-0.840233777,7.877018467,-3.57479431,0.000607969,0.011551795,-0.382981964,P30,MUT cells from HET vs WT cells from WT,Cacna1e
Cebpg,-0.839191702,7.815208069,-3.132556494,0.002447588,0.027520323,-1.578250121,P30,MUT cells from HET vs WT cells from WT,Cebpg
