,logFC,AveExpr,t,P.Value,adj.P.Val,B,Time_point,DEG_Test,SYMBOL
Grk6,-0.155042941,7.594938777,-0.789044266,0.432499102,0.624100799,-5.63737351,P30,MUT cells from HET vs WT cells from WT,Grk6
Mdn1,-0.154827183,8.021309852,-0.71244071,0.478336448,0.663949713,-5.514221313,P30,MUT cells from HET vs WT cells from WT,Mdn1
Taok3,-0.15480195,8.097100504,-0.677521061,0.500097841,0.679226454,-5.511386995,P30,MUT cells from HET vs WT cells from WT,Taok3
Srpr,0.15473851,8.125933202,0.723666695,0.471454265,0.658123234,-5.487128081,P30,MUT cells from HET vs WT cells from WT,Srpr
Mecr,-0.154672154,7.984186369,-0.738208892,0.462622399,0.649651191,-5.510015612,P30,MUT cells from HET vs WT cells from WT,Mecr
Mettl16,-0.154623588,7.970960701,-0.729090947,0.468148932,0.654738965,-5.520916612,P30,MUT cells from HET vs WT cells from WT,Mettl16
Exoc7,-0.15461545,7.867020363,-0.60004136,0.550233343,0.718663712,-5.622672826,P30,MUT cells from HET vs WT cells from WT,Exoc7
Cdc42bpa,0.154500351,8.488355836,0.584306728,0.560715049,0.727012255,-5.512511788,P30,MUT cells from HET vs WT cells from WT,Cdc42bpa
Fcho1,-0.154452113,7.701918334,-0.889259077,0.376622357,0.576442382,-5.510456763,P30,MUT cells from HET vs WT cells from WT,Fcho1
Zfp106,-0.154403147,8.185416297,-0.607996013,0.544971999,0.714390194,-5.528257578,P30,MUT cells from HET vs WT cells from WT,Zfp106
Tmco3,-0.154398427,7.508908574,-1.040748667,0.301235826,0.507085994,-5.494059491,P30,MUT cells from HET vs WT cells from WT,Tmco3
Lamtor4,0.154348789,8.516625343,0.611847604,0.542433673,0.71326381,-5.493480364,P30,MUT cells from HET vs WT cells from WT,Lamtor4
Ddx17,0.154184594,9.171073622,0.663160705,0.509200043,0.686072285,-5.494986272,P30,MUT cells from HET vs WT cells from WT,Ddx17
Fth1,-0.154177178,8.60771275,-0.535002517,0.594183524,0.750250077,-5.517358707,P30,MUT cells from HET vs WT cells from WT,Fth1
Nav2,-0.154125921,9.132826389,-0.700003156,0.486026316,0.6702419,-5.464227293,P30,MUT cells from HET vs WT cells from WT,Nav2
Klhl7,0.154026987,8.140656713,0.665867835,0.507477408,0.685418748,-5.520166148,P30,MUT cells from HET vs WT cells from WT,Klhl7
Osgep,-0.153903974,7.504725507,-1.015947506,0.312823118,0.51902594,-5.523101405,P30,MUT cells from HET vs WT cells from WT,Osgep
Higd1a,-0.153834456,8.026486408,-0.678766043,0.499312885,0.67875909,-5.53657378,P30,MUT cells from HET vs WT cells from WT,Higd1a
Pdcd5,0.153776768,7.817476821,0.757163433,0.451253306,0.640484983,-5.526499212,P30,MUT cells from HET vs WT cells from WT,Pdcd5
Akap11,-0.153705978,8.588757522,-0.553263875,0.581679082,0.740753759,-5.50902641,P30,MUT cells from HET vs WT cells from WT,Akap11
4732463B04Rik,-0.153699967,7.540226251,-0.840905766,0.402993928,0.598935965,-5.663282878,P30,MUT cells from HET vs WT cells from WT,4732463B04Rik
Slc44a5,-0.153680082,7.723357604,-0.59253069,0.555224329,0.722287276,-5.742870112,P30,MUT cells from HET vs WT cells from WT,Slc44a5
Ubtf,-0.153459497,7.558876732,-0.883197187,0.379867709,0.578994425,-5.601752594,P30,MUT cells from HET vs WT cells from WT,Ubtf
Ppil4,-0.153406884,7.762997457,-0.850878955,0.397464154,0.594363401,-5.510609658,P30,MUT cells from HET vs WT cells from WT,Ppil4
Atg3,-0.153379077,7.698528052,-0.883439851,0.379737459,0.578914624,-5.516599003,P30,MUT cells from HET vs WT cells from WT,Atg3
Ilf3,0.153282891,7.868165252,0.72272186,0.47203135,0.658805069,-5.538741354,P30,MUT cells from HET vs WT cells from WT,Ilf3
Csgalnact1,-0.153243716,7.438552165,-1.097913233,0.275649853,0.482257464,-5.508028864,P30,MUT cells from HET vs WT cells from WT,Csgalnact1
Vps13c,0.153239312,8.468574364,0.620328099,0.536866007,0.708323836,-5.492129478,P30,MUT cells from HET vs WT cells from WT,Vps13c
Adprhl2,-0.153196715,7.670495468,-0.653553665,0.515338431,0.690643944,-5.67753106,P30,MUT cells from HET vs WT cells from WT,Adprhl2
Smarca5,-0.153118677,7.892061792,-0.678872827,0.499245589,0.67875909,-5.575708837,P30,MUT cells from HET vs WT cells from WT,Smarca5
Ntrk2,0.153009602,9.29794847,0.709443183,0.480183531,0.664833362,-5.48072183,P30,MUT cells from HET vs WT cells from WT,Ntrk2
Fkbp1a,-0.152977565,8.234819518,-0.567978423,0.571695441,0.733950685,-5.539580862,P30,MUT cells from HET vs WT cells from WT,Fkbp1a
Sod2,-0.152865433,8.129631979,-0.608331545,0.544750633,0.714390194,-5.544446879,P30,MUT cells from HET vs WT cells from WT,Sod2
Atp5g3,0.152836306,8.677688211,0.633883263,0.528027932,0.700268307,-5.47712403,P30,MUT cells from HET vs WT cells from WT,Atp5g3
Rab3b,0.152800711,8.018247201,0.663708563,0.508851171,0.685975314,-5.543621956,P30,MUT cells from HET vs WT cells from WT,Rab3b
Mtx1,-0.152741636,7.678492861,-0.760174046,0.449462461,0.639314125,-5.673949661,P30,MUT cells from HET vs WT cells from WT,Mtx1
Arhgap10,-0.152725327,7.35209823,-1.118279852,0.266910084,0.472814001,-5.589927627,P30,MUT cells from HET vs WT cells from WT,Arhgap10
Serinc3,-0.152724464,7.738834087,-0.673649961,0.502542813,0.681302114,-5.623356373,P30,MUT cells from HET vs WT cells from WT,Serinc3
Ppox,-0.152695306,7.55947455,-0.865604703,0.38938503,0.58855187,-5.641987599,P30,MUT cells from HET vs WT cells from WT,Ppox
Atp6v1a,-0.152615742,8.203578798,-0.583389894,0.56132883,0.727206472,-5.542372361,P30,MUT cells from HET vs WT cells from WT,Atp6v1a
Pdap1,-0.152614851,7.574125533,-0.675806485,0.501179966,0.680269855,-5.719333548,P30,MUT cells from HET vs WT cells from WT,Pdap1
Scarb1,-0.152614806,7.360429552,-1.121462439,0.265562114,0.471129083,-5.573948291,P30,MUT cells from HET vs WT cells from WT,Scarb1
Pggt1b,-0.152601874,7.611296625,-0.909474504,0.365926191,0.566811891,-5.547631718,P30,MUT cells from HET vs WT cells from WT,Pggt1b
Gpr162,-0.152584821,8.486336111,-0.55059205,0.583500759,0.742389876,-5.514055908,P30,MUT cells from HET vs WT cells from WT,Gpr162
Dtna,0.15256303,8.295329728,0.634209666,0.527816051,0.700112241,-5.509280511,P30,MUT cells from HET vs WT cells from WT,Dtna
Polr2c,-0.152535229,8.016377184,-0.693689343,0.489955948,0.672705081,-5.527742779,P30,MUT cells from HET vs WT cells from WT,Polr2c
Adam9,-0.152443972,7.44014243,-1.052020387,0.296067124,0.501451884,-5.556556048,P30,MUT cells from HET vs WT cells from WT,Adam9
Snn,-0.152438027,7.458601937,-0.851830344,0.396939091,0.594049803,-5.74715167,P30,MUT cells from HET vs WT cells from WT,Snn
Ogfrl1,-0.152420983,7.829282272,-0.658612271,0.512101376,0.688234615,-5.608836682,P30,MUT cells from HET vs WT cells from WT,Ogfrl1
Rsrc2,0.152395879,8.449391673,0.609004104,0.544307053,0.714390194,-5.503484544,P30,MUT cells from HET vs WT cells from WT,Rsrc2
Xylt1,-0.15225098,7.445438359,-1.054280677,0.295037984,0.500131195,-5.546018172,P30,MUT cells from HET vs WT cells from WT,Xylt1
Nup155,-0.151902847,7.685438988,-0.815052657,0.417545804,0.611588572,-5.590797647,P30,MUT cells from HET vs WT cells from WT,Nup155
Otud6b,-0.151855347,7.577699513,-0.914351354,0.363375019,0.564389371,-5.578444517,P30,MUT cells from HET vs WT cells from WT,Otud6b
Brd8,-0.151828543,8.03412474,-0.678501306,0.499479745,0.67875909,-5.531819562,P30,MUT cells from HET vs WT cells from WT,Brd8
Cntn4,-0.151804376,8.577992905,-0.539254737,0.591260646,0.748093844,-5.512974575,P30,MUT cells from HET vs WT cells from WT,Cntn4
4632415L05Rik,-0.15176051,7.508780482,-0.970973557,0.334589326,0.536961319,-5.568833204,P30,MUT cells from HET vs WT cells from WT,4632415L05Rik
Prmt5,-0.151479068,7.408465851,-1.081025677,0.283046115,0.488754351,-5.571657106,P30,MUT cells from HET vs WT cells from WT,Prmt5
Cep162,-0.151425482,7.516239504,-0.903621393,0.36900307,0.569544241,-5.616557668,P30,MUT cells from HET vs WT cells from WT,Cep162
Eps15,-0.151271483,8.127185357,-0.537793694,0.592264174,0.748844393,-5.588575933,P30,MUT cells from HET vs WT cells from WT,Eps15
Trmt11,-0.151269303,7.499274751,-0.982007456,0.32915917,0.532721623,-5.567638019,P30,MUT cells from HET vs WT cells from WT,Trmt11
Rbm25,-0.151152001,9.413255074,-0.857646599,0.393738437,0.591617289,-5.385566241,P30,MUT cells from HET vs WT cells from WT,Rbm25
Ash2l,0.15114596,7.793719243,0.74576077,0.458073308,0.646026395,-5.541039071,P30,MUT cells from HET vs WT cells from WT,Ash2l
Macrod2,-0.151109681,8.331859375,-0.622301628,0.535574548,0.707225413,-5.485111972,P30,MUT cells from HET vs WT cells from WT,Macrod2
Frmd3,-0.151004195,7.525517193,-0.958640408,0.340728161,0.54247894,-5.572896865,P30,MUT cells from HET vs WT cells from WT,Frmd3
B3galt2,-0.150854294,7.786453489,-0.54828918,0.585073051,0.743795162,-5.67992156,P30,MUT cells from HET vs WT cells from WT,B3galt2
Clcn2,-0.150762572,7.686881598,-0.826040974,0.411322632,0.606777981,-5.559360561,P30,MUT cells from HET vs WT cells from WT,Clcn2
Pld3,0.150704849,7.879692913,0.696337831,0.488305446,0.671058815,-5.555134981,P30,MUT cells from HET vs WT cells from WT,Pld3
Dbp,-0.150673545,7.598693331,-0.884602156,0.379113975,0.578834392,-5.589487765,P30,MUT cells from HET vs WT cells from WT,Dbp
Mtmr4,-0.150638558,7.559362994,-0.910973489,0.365140834,0.566185411,-5.58002609,P30,MUT cells from HET vs WT cells from WT,Mtmr4
Mark4,-0.15056752,7.717543021,-0.767343009,0.445214631,0.635337007,-5.602773354,P30,MUT cells from HET vs WT cells from WT,Mark4
Xpo7,-0.150536938,7.795665136,-0.606421296,0.546011519,0.714680804,-5.642698018,P30,MUT cells from HET vs WT cells from WT,Xpo7
Ift22,-0.150532969,7.354881289,-1.117796335,0.267115295,0.472814001,-5.586960854,P30,MUT cells from HET vs WT cells from WT,Ift22
Prkce,0.150521437,8.49834173,0.633626485,0.528194649,0.700295499,-5.480277439,P30,MUT cells from HET vs WT cells from WT,Prkce
Aatf,-0.150488926,7.580970169,-0.928255729,0.35616385,0.558323082,-5.558963316,P30,MUT cells from HET vs WT cells from WT,Aatf
Cul2,-0.1504451,7.808878346,-0.639353414,0.524482874,0.697453654,-5.642088961,P30,MUT cells from HET vs WT cells from WT,Cul2
Erlin2,-0.15035736,7.461466741,-1.057718602,0.29347734,0.498656514,-5.517955326,P30,MUT cells from HET vs WT cells from WT,Erlin2
Prkar1a,-0.150268118,8.288269227,-0.550758785,0.583386998,0.742389876,-5.542252188,P30,MUT cells from HET vs WT cells from WT,Prkar1a
Pfkfb4,-0.150255464,7.63851593,-0.88590088,0.378418074,0.578258894,-5.558594398,P30,MUT cells from HET vs WT cells from WT,Pfkfb4
Abcc5,-0.150253756,9.261620154,-0.659336298,0.51163895,0.688037879,-5.502613209,P30,MUT cells from HET vs WT cells from WT,Abcc5
Clptm1l,-0.150247208,7.621031104,-0.887865117,0.377367092,0.577195355,-5.558604603,P30,MUT cells from HET vs WT cells from WT,Clptm1l
Ap3s2,-0.150245855,7.570324258,-0.867201273,0.38851525,0.587595714,-5.630860349,P30,MUT cells from HET vs WT cells from WT,Ap3s2
Mpp2,-0.15005569,7.466100843,-1.035482004,0.30367176,0.50922575,-5.533078772,P30,MUT cells from HET vs WT cells from WT,Mpp2
Fbxw2,-0.150027084,8.067836665,-0.657214239,0.512994909,0.688834999,-5.534744975,P30,MUT cells from HET vs WT cells from WT,Fbxw2
Ptprj,-0.150013657,7.535603914,-0.850098452,0.397895225,0.594522983,-5.658895354,P30,MUT cells from HET vs WT cells from WT,Ptprj
Ptprs,-0.149979727,9.275304525,-0.692273105,0.490839782,0.673282454,-5.4842903,P30,MUT cells from HET vs WT cells from WT,Ptprs
Sft2d1,-0.149967548,7.704875937,-0.809183658,0.420892731,0.614915426,-5.564570086,P30,MUT cells from HET vs WT cells from WT,Sft2d1
Vgll4,-0.149719123,7.403886883,-0.941188929,0.349539511,0.551709368,-5.724953078,P30,MUT cells from HET vs WT cells from WT,Vgll4
Actg1,0.14970482,8.516580416,0.595361885,0.553340299,0.720909062,-5.501755013,P30,MUT cells from HET vs WT cells from WT,Actg1
Crtc3,0.149609238,7.986882933,0.717955832,0.474948381,0.661509815,-5.515899744,P30,MUT cells from HET vs WT cells from WT,Crtc3
Tnr,-0.149488223,8.213529904,-0.578526608,0.564590118,0.729364463,-5.537014312,P30,MUT cells from HET vs WT cells from WT,Tnr
Ssh3,-0.149483481,7.585598786,-0.826403897,0.411118054,0.60671751,-5.672734618,P30,MUT cells from HET vs WT cells from WT,Ssh3
Dnajc1,-0.1494573,8.071306635,-0.565405847,0.573434898,0.735041076,-5.584301965,P30,MUT cells from HET vs WT cells from WT,Dnajc1
Eid1,-0.149304178,7.76292756,-0.521267979,0.603670029,0.758106735,-5.697819111,P30,MUT cells from HET vs WT cells from WT,Eid1
Fam57a,-0.149296865,7.552829013,-0.926364687,0.357139154,0.559144342,-5.574447645,P30,MUT cells from HET vs WT cells from WT,Fam57a
Lmo3,-0.149219058,7.442270243,-1.022272184,0.309840124,0.515960521,-5.584126494,P30,MUT cells from HET vs WT cells from WT,Lmo3
Stmn2,-0.149180845,8.252350696,-0.562075401,0.575690583,0.736408333,-5.538929736,P30,MUT cells from HET vs WT cells from WT,Stmn2
Cox8a,0.149093301,8.745568183,0.595288812,0.553388885,0.720909062,-5.501547891,P30,MUT cells from HET vs WT cells from WT,Cox8a
Gmpr,-0.149087967,7.661238267,-0.860512054,0.392167466,0.590698135,-5.55098122,P30,MUT cells from HET vs WT cells from WT,Gmpr
Ndst4,-0.148907174,7.354693741,-1.109269189,0.270752505,0.477395163,-5.596293843,P30,MUT cells from HET vs WT cells from WT,Ndst4
Tomm20,0.148876388,8.0874351,0.685049534,0.495361369,0.675426562,-5.517729733,P30,MUT cells from HET vs WT cells from WT,Tomm20
Ppp1r12c,-0.148791492,7.551571783,-0.771638406,0.442680694,0.633068626,-5.71692887,P30,MUT cells from HET vs WT cells from WT,Ppp1r12c
Flywch1,-0.14865395,8.470782307,-0.583059975,0.561549777,0.727206472,-5.493049309,P30,MUT cells from HET vs WT cells from WT,Flywch1
Arl5a,-0.148410164,7.742608031,-0.703359232,0.483944635,0.668527236,-5.628750133,P30,MUT cells from HET vs WT cells from WT,Arl5a
Med28,-0.148392935,7.562197715,-0.860014471,0.392439985,0.590698135,-5.6205017,P30,MUT cells from HET vs WT cells from WT,Med28
Trip11,-0.148336512,8.08838505,-0.644964827,0.520859227,0.694852948,-5.535985008,P30,MUT cells from HET vs WT cells from WT,Trip11
Lrch2,-0.148307632,7.569557293,-0.820455492,0.414478897,0.609404299,-5.701006329,P30,MUT cells from HET vs WT cells from WT,Lrch2
Maea,-0.148296972,7.674492605,-0.797627296,0.427529744,0.620308347,-5.596528558,P30,MUT cells from HET vs WT cells from WT,Maea
Sbf2,-0.148156051,8.554003105,-0.527950067,0.599046008,0.75465847,-5.519226592,P30,MUT cells from HET vs WT cells from WT,Sbf2
Lamtor1,-0.148090365,7.571296278,-0.866512235,0.388890476,0.588030393,-5.627492021,P30,MUT cells from HET vs WT cells from WT,Lamtor1
Klhl33,0.148007022,7.575701339,0.741528801,0.460619398,0.648111202,-5.691157129,P30,MUT cells from HET vs WT cells from WT,Klhl33
Arl8a,0.147994391,7.804144684,0.716749935,0.475688042,0.662043732,-5.559218438,P30,MUT cells from HET vs WT cells from WT,Arl8a
Eef1g,-0.14799308,7.933362472,-0.652982728,0.515704459,0.690643944,-5.57592712,P30,MUT cells from HET vs WT cells from WT,Eef1g
Atp1a1,-0.147827134,7.964692568,-0.56660102,0.572626459,0.734436364,-5.610862332,P30,MUT cells from HET vs WT cells from WT,Atp1a1
Rspry1,0.147740025,7.85990823,0.710459725,0.479556692,0.664565604,-5.549727371,P30,MUT cells from HET vs WT cells from WT,Rspry1
Stt3a,-0.147613023,7.777907573,-0.686007761,0.494760266,0.675426562,-5.659853703,P30,MUT cells from HET vs WT cells from WT,Stt3a
Adck1,-0.14744581,7.602667873,-0.863034729,0.390787636,0.58986119,-5.596008003,P30,MUT cells from HET vs WT cells from WT,Adck1
Gpr75,-0.147421074,7.900533399,-0.55947687,0.577453511,0.737901391,-5.629441726,P30,MUT cells from HET vs WT cells from WT,Gpr75
Sgce,-0.147319097,7.611591495,-0.885282439,0.378749356,0.578476205,-5.572443038,P30,MUT cells from HET vs WT cells from WT,Sgce
Lrch3,-0.14730123,7.921157128,-0.561154521,0.576315042,0.73708026,-5.623967844,P30,MUT cells from HET vs WT cells from WT,Lrch3
Dcun1d5,-0.14715894,8.327917687,-0.569213606,0.570861177,0.733386391,-5.515586711,P30,MUT cells from HET vs WT cells from WT,Dcun1d5
Camk2n2,-0.147121637,7.670622681,-0.793538204,0.429892985,0.621830413,-5.617343433,P30,MUT cells from HET vs WT cells from WT,Camk2n2
Myh9,-0.147098599,7.749171937,-0.607664231,0.545190935,0.714390194,-5.658012064,P30,MUT cells from HET vs WT cells from WT,Myh9
Zfp799,-0.147075662,8.020599731,-0.645291511,0.520648672,0.6948215,-5.555831071,P30,MUT cells from HET vs WT cells from WT,Zfp799
March8,0.146983649,7.853419859,0.710267726,0.479675051,0.6646057,-5.550024744,P30,MUT cells from HET vs WT cells from WT,March8
Ints7,-0.146848425,7.714543627,-0.828536873,0.409916954,0.60566656,-5.561608639,P30,MUT cells from HET vs WT cells from WT,Ints7
Lrp11,-0.146846245,7.703484548,-0.85431918,0.395567543,0.592952397,-5.534340558,P30,MUT cells from HET vs WT cells from WT,Lrp11
Ppp2r2b,-0.146815314,8.434978516,-0.577292866,0.565418932,0.729800887,-5.497763285,P30,MUT cells from HET vs WT cells from WT,Ppp2r2b
Ubr4,-0.14675162,7.975724533,-0.651359496,0.516745863,0.69110226,-5.565884299,P30,MUT cells from HET vs WT cells from WT,Ubr4
Tdp2,-0.146728244,7.556068824,-0.929668369,0.355436399,0.557417877,-5.566516492,P30,MUT cells from HET vs WT cells from WT,Tdp2
Mars,0.146598122,7.932792292,0.701385671,0.485168183,0.669968401,-5.537880335,P30,MUT cells from HET vs WT cells from WT,Mars
Pura,0.146411782,8.21556318,0.639330172,0.524497911,0.697453654,-5.519481741,P30,MUT cells from HET vs WT cells from WT,Pura
Camk2g,-0.14639584,8.166615746,-0.521636484,0.603414597,0.757914025,-5.588159382,P30,MUT cells from HET vs WT cells from WT,Camk2g
Ccdc39,-0.146358024,7.562676408,-0.849247772,0.398365383,0.594866692,-5.657899266,P30,MUT cells from HET vs WT cells from WT,Ccdc39
St8sia5,-0.146112037,7.642094148,-0.690713011,0.491814403,0.673914885,-5.676317644,P30,MUT cells from HET vs WT cells from WT,St8sia5
Fkbp2,0.145855604,8.168234257,0.601659144,0.54916125,0.717792193,-5.554714976,P30,MUT cells from HET vs WT cells from WT,Fkbp2
Pex6,0.145849659,7.780773778,0.742983019,0.459743585,0.647123924,-5.548554727,P30,MUT cells from HET vs WT cells from WT,Pex6
Pcf11,0.145788751,8.089859978,0.698051869,0.487238912,0.670833567,-5.509136583,P30,MUT cells from HET vs WT cells from WT,Pcf11
Bex1,-0.145772673,7.705753496,-0.778178605,0.438838697,0.630353537,-5.594110156,P30,MUT cells from HET vs WT cells from WT,Bex1
Cc2d2a,-0.145631645,7.520955787,-0.817664036,0.416061762,0.610574833,-5.716582326,P30,MUT cells from HET vs WT cells from WT,Cc2d2a
Unc5d,-0.1455819,7.791661613,-0.694508394,0.489445199,0.672252213,-5.609912254,P30,MUT cells from HET vs WT cells from WT,Unc5d
Zfand3,-0.145358056,7.608869951,-0.794715909,0.429211553,0.621476829,-5.628822969,P30,MUT cells from HET vs WT cells from WT,Zfand3
Mast1,-0.145243709,8.214163919,-0.55614151,0.579720118,0.739597391,-5.547837774,P30,MUT cells from HET vs WT cells from WT,Mast1
Azi2,-0.145209261,8.078945147,-0.504861579,0.61509207,0.765722657,-5.614684717,P30,MUT cells from HET vs WT cells from WT,Azi2
Fto,0.145172527,8.035441358,0.645821434,0.52030722,0.694615279,-5.550670081,P30,MUT cells from HET vs WT cells from WT,Fto
Atad2b,-0.145162821,7.889869416,-0.607508734,0.54529356,0.714390194,-5.627304898,P30,MUT cells from HET vs WT cells from WT,Atad2b
Irf3,-0.145117286,7.883411769,-0.733215558,0.465644333,0.652586966,-5.545584783,P30,MUT cells from HET vs WT cells from WT,Irf3
Atl1,0.145087355,8.365662692,0.597691715,0.551792304,0.719712251,-5.518657531,P30,MUT cells from HET vs WT cells from WT,Atl1
Adam15,-0.145075501,8.109746495,-0.499641075,0.61874678,0.768855721,-5.609069225,P30,MUT cells from HET vs WT cells from WT,Adam15
Depdc5,-0.144778946,7.703700836,-0.587392734,0.558651541,0.7253491,-5.685654996,P30,MUT cells from HET vs WT cells from WT,Depdc5
Epg5,-0.144332997,7.634022209,-0.808706547,0.421165518,0.615072141,-5.633270597,P30,MUT cells from HET vs WT cells from WT,Epg5
Pibf1,-0.144327001,7.732382168,-0.761631776,0.448596818,0.638325015,-5.589245741,P30,MUT cells from HET vs WT cells from WT,Pibf1
Dync1li1,-0.144173046,7.844091678,-0.735324883,0.464366421,0.651578341,-5.558354107,P30,MUT cells from HET vs WT cells from WT,Dync1li1
Pim2,-0.144167027,7.785312504,-0.692144596,0.490920024,0.673282454,-5.668326662,P30,MUT cells from HET vs WT cells from WT,Pim2
Ubc,0.144023541,8.409314609,0.547973991,0.585288403,0.743795162,-5.547012444,P30,MUT cells from HET vs WT cells from WT,Ubc
Chordc1,-0.143913647,8.21586355,-0.606560341,0.54591969,0.714680804,-5.51945246,P30,MUT cells from HET vs WT cells from WT,Chordc1
Abca2,0.143725681,7.960647324,0.573404896,0.568034722,0.73131544,-5.606442794,P30,MUT cells from HET vs WT cells from WT,Abca2
Egfr,-0.143707209,7.607185259,-0.744560785,0.458794439,0.646400051,-5.710610137,P30,MUT cells from HET vs WT cells from WT,Egfr
Lonp2,0.143592169,7.898339652,0.574922651,0.567012889,0.730589422,-5.618109583,P30,MUT cells from HET vs WT cells from WT,Lonp2
Zfyve16,-0.143567937,8.223588255,-0.540945059,0.590100633,0.747456033,-5.554859334,P30,MUT cells from HET vs WT cells from WT,Zfyve16
Trim24,-0.143491224,7.630653268,-0.82643524,0.411100389,0.60671751,-5.617681363,P30,MUT cells from HET vs WT cells from WT,Trim24
Denr,0.14344105,7.799593702,0.700221242,0.485890894,0.6702419,-5.572064643,P30,MUT cells from HET vs WT cells from WT,Denr
Ntan1,-0.1434156,7.654894676,-0.801770977,0.425142842,0.618675126,-5.614013142,P30,MUT cells from HET vs WT cells from WT,Ntan1
Rnaseh2c,-0.14337449,7.672505312,-0.770066332,0.443607113,0.634016936,-5.623402644,P30,MUT cells from HET vs WT cells from WT,Rnaseh2c
Top2b,-0.143260534,8.437341833,-0.602576705,0.548553657,0.717376523,-5.484593992,P30,MUT cells from HET vs WT cells from WT,Top2b
Orc6,-0.143160866,7.44034812,-0.966752368,0.336682197,0.539037759,-5.63941397,P30,MUT cells from HET vs WT cells from WT,Orc6
Pnmal1,-0.143126385,7.777046087,-0.636127999,0.526571674,0.698979999,-5.677931572,P30,MUT cells from HET vs WT cells from WT,Pnmal1
Ube2d1,0.143108559,7.97447955,0.630983267,0.529912378,0.702140987,-5.571645489,P30,MUT cells from HET vs WT cells from WT,Ube2d1
Reep2,-0.142925769,7.7034734,-0.787219733,0.433559838,0.625066536,-5.599308548,P30,MUT cells from HET vs WT cells from WT,Reep2
Serbp1,-0.142799494,8.489813425,-0.52763159,0.599266022,0.754744125,-5.520835668,P30,MUT cells from HET vs WT cells from WT,Serbp1
Cep83,0.14273135,8.282636243,0.55357203,0.581469153,0.740736201,-5.563654348,P30,MUT cells from HET vs WT cells from WT,Cep83
Vps4b,0.142629404,7.726587479,0.753637554,0.453355877,0.641438832,-5.556541228,P30,MUT cells from HET vs WT cells from WT,Vps4b
Eif3d,-0.14258812,7.65453089,-0.753611851,0.453371225,0.641438832,-5.669583022,P30,MUT cells from HET vs WT cells from WT,Eif3d
Aco2,-0.142487605,8.316049467,-0.584459495,0.560612811,0.727006528,-5.51010676,P30,MUT cells from HET vs WT cells from WT,Aco2
Atp6v1f,-0.142462386,7.700839014,-0.801228131,0.425455087,0.618904327,-5.574274254,P30,MUT cells from HET vs WT cells from WT,Atp6v1f
Erlec1,-0.142383978,7.885265084,-0.498034189,0.619873654,0.769383056,-5.667578144,P30,MUT cells from HET vs WT cells from WT,Erlec1
Dicer1,0.14237491,7.909988618,0.676954395,0.500455343,0.679587814,-5.557692331,P30,MUT cells from HET vs WT cells from WT,Dicer1
Arhgef11,0.142373414,8.087610784,0.640692185,0.52361715,0.696781138,-5.543594205,P30,MUT cells from HET vs WT cells from WT,Arhgef11
Eif4g3,0.142351404,8.535505774,0.573619968,0.567889869,0.73131544,-5.512376642,P30,MUT cells from HET vs WT cells from WT,Eif4g3
Lrrtm4,0.142326147,8.07909902,0.612004515,0.54233039,0.71326381,-5.563088115,P30,MUT cells from HET vs WT cells from WT,Lrrtm4
Sigmar1,-0.142143738,7.910812068,-0.710474057,0.479547857,0.664565604,-5.552340437,P30,MUT cells from HET vs WT cells from WT,Sigmar1
Mettl17,0.14207744,8.113229933,0.655699028,0.513964269,0.689542431,-5.530724846,P30,MUT cells from HET vs WT cells from WT,Mettl17
Ugcg,-0.142034121,7.610901544,-0.8583996,0.393325232,0.591315148,-5.584276999,P30,MUT cells from HET vs WT cells from WT,Ugcg
Agtpbp1,-0.142018791,8.35009393,-0.587723525,0.558430575,0.72531563,-5.501262482,P30,MUT cells from HET vs WT cells from WT,Agtpbp1
Cct8,-0.142014142,7.697981483,-0.75484763,0.452633643,0.641245375,-5.608981905,P30,MUT cells from HET vs WT cells from WT,Cct8
Tob1,-0.141709198,7.806531756,-0.547257687,0.585777956,0.743934001,-5.668065546,P30,MUT cells from HET vs WT cells from WT,Tob1
Cog2,-0.141675996,7.543229184,-0.91533617,0.362861223,0.563827015,-5.588856666,P30,MUT cells from HET vs WT cells from WT,Cog2
Zfp235,0.141562893,7.709247121,0.553074011,0.581808444,0.740791563,-5.675684516,P30,MUT cells from HET vs WT cells from WT,Zfp235
Ahctf1,-0.141480595,8.012878282,-0.529648285,0.59787345,0.753628813,-5.617285881,P30,MUT cells from HET vs WT cells from WT,Ahctf1
Rpl7a,-0.141431678,7.71750329,-0.763506506,0.447484968,0.637353063,-5.624331496,P30,MUT cells from HET vs WT cells from WT,Rpl7a
Nav1,0.141153271,8.959748991,0.615453154,0.540062953,0.711531265,-5.503322839,P30,MUT cells from HET vs WT cells from WT,Nav1
Ugt8a,-0.141145032,7.381638047,-1.058785733,0.292994067,0.498291054,-5.60444549,P30,MUT cells from HET vs WT cells from WT,Ugt8a
Tbc1d17,-0.141123642,7.915733729,-0.580596812,0.563200716,0.728129267,-5.616516316,P30,MUT cells from HET vs WT cells from WT,Tbc1d17
Ophn1,-0.141118939,7.997877553,-0.612332085,0.542114809,0.713223095,-5.583061473,P30,MUT cells from HET vs WT cells from WT,Ophn1
Dynlt1b,-0.141102628,7.605589489,-0.728252175,0.468659191,0.655040757,-5.729511526,P30,MUT cells from HET vs WT cells from WT,Dynlt1b
