"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Timepoint","DEG_Test","SYMBOL"
"Ntan11",0.0944600867198346,7.71709987386399,0.816224463808005,0.415431096580312,0.624728446641014,-5.68561346503002,"P60","MUT cells from HET vs WT cells from WT","Ntan11"
"Syt161",0.0944218472560259,8.28764588873778,0.652731043885269,0.514747377986196,0.709007896591284,-5.58875842438774,"P60","MUT cells from HET vs WT cells from WT","Syt161"
"Zc2hc1a1",0.0943711794955497,7.62653109520342,0.750475564880533,0.453930488065986,0.657936168366809,-5.79751801386496,"P60","MUT cells from HET vs WT cells from WT","Zc2hc1a1"
"Ran1",0.094296384511618,7.54357724441592,0.934571031499965,0.351238793603836,0.56653268291715,-5.7242901878015,"P60","MUT cells from HET vs WT cells from WT","Ran1"
"BC0311811",0.0942845136794661,7.80541853417886,0.689682516128582,0.491265963333494,0.689126351238993,-5.72437678548194,"P60","MUT cells from HET vs WT cells from WT","BC0311811"
"Tm9sf11",0.0941479711406554,7.57692468879651,0.781679922353337,0.435411080662298,0.64254174027333,-5.820424183069,"P60","MUT cells from HET vs WT cells from WT","Tm9sf11"
"Top2b1",0.094039599639121,8.30101750450345,0.602699068015416,0.547453727325373,0.732522002141661,-5.61781016416155,"P60","MUT cells from HET vs WT cells from WT","Top2b1"
"Chchd11",0.093991088452503,7.51581557810357,0.909421290198448,0.36432187175332,0.579461489359467,-5.76708696989434,"P60","MUT cells from HET vs WT cells from WT","Chchd11"
"Dlst1",0.0938431424948618,8.25381400539463,0.631324399270223,0.528614819222005,0.718031714071188,-5.60947539650302,"P60","MUT cells from HET vs WT cells from WT","Dlst1"
"Ift1401",0.0937408554376891,7.69691634399672,0.802581366973955,0.423255986879445,0.63056210462823,-5.71082567348066,"P60","MUT cells from HET vs WT cells from WT","Ift1401"
"Tmem2581",0.0937135146217347,7.60508120910339,0.92544378180752,0.355951750688262,0.571594679470302,-5.67798450100134,"P60","MUT cells from HET vs WT cells from WT","Tmem2581"
"Unc501",0.0936867378172845,7.61644085427359,0.771223984096854,0.441567081643841,0.647045377983867,-5.78826734293377,"P60","MUT cells from HET vs WT cells from WT","Unc501"
"Med251",0.0936268971297807,7.80602699456129,0.735421004326984,0.463022962713826,0.666639353838172,-5.69378463119362,"P60","MUT cells from HET vs WT cells from WT","Med251"
"Glyr11",-0.0935647968716564,7.94903667811536,-0.701412804480612,0.483934876068702,0.682596084290834,-5.66020228645243,"P60","MUT cells from HET vs WT cells from WT","Glyr11"
"Cebpz1",0.0935306581109705,8.01077551179717,0.657313928222785,0.511803500511709,0.706377316137551,-5.65843753808506,"P60","MUT cells from HET vs WT cells from WT","Cebpz1"
"Herc21",0.0935043294933724,8.38371220339995,0.603044202541727,0.547224608285647,0.732365518205011,-5.60079503811176,"P60","MUT cells from HET vs WT cells from WT","Herc21"
"Zfp955b1",0.0934726978337928,7.58772903627508,0.876525899519762,0.381891334348495,0.59855589619198,-5.73562307940134,"P60","MUT cells from HET vs WT cells from WT","Zfp955b1"
"Ythdc11",-0.0934573468993456,8.26298785144876,-0.599214328071999,0.549769763434705,0.734200445775765,-5.63616597029251,"P60","MUT cells from HET vs WT cells from WT","Ythdc11"
"Mri11",0.093454142034668,8.02468847873901,0.634164755400208,0.526763832568028,0.717552445965158,-5.66980841419596,"P60","MUT cells from HET vs WT cells from WT","Mri11"
"Phtf11",-0.0934512036373771,8.17408015053794,-0.616060493986506,0.538618769537905,0.724825257973605,-5.6479900827622,"P60","MUT cells from HET vs WT cells from WT","Phtf11"
"Ndst31",0.0934404126072632,7.99091637581074,0.588780628425862,0.556733210212891,0.739289684911969,-5.71174574730634,"P60","MUT cells from HET vs WT cells from WT","Ndst31"
"Uso11",0.0933948297651472,7.78716722546206,0.747477049759028,0.455733358048158,0.659736744378847,-5.69523311278677,"P60","MUT cells from HET vs WT cells from WT","Uso11"
"Gm138301",0.0933933900213813,7.41995046382902,1.15941161897054,0.247796335982116,0.463938050202045,-5.59194042258222,"P60","MUT cells from HET vs WT cells from WT","Gm138301"
"Plekha61",0.0933913554001258,8.03736122324919,0.659376357314012,0.510481567352577,0.705816433259368,-5.64983616555819,"P60","MUT cells from HET vs WT cells from WT","Plekha61"
"Rgs171",0.0933855649561055,7.77886919071903,0.71843823503172,0.473401771952341,0.674028434012569,-5.71957987634811,"P60","MUT cells from HET vs WT cells from WT","Rgs171"
"Prkaca1",-0.0933823210827063,7.78473948688733,-0.573122637725233,0.567263992794921,0.747322507361848,-5.80316044348553,"P60","MUT cells from HET vs WT cells from WT","Prkaca1"
"Nle11",0.0933749607800882,7.53991677941371,1.0064514012178,0.315525064163884,0.534831732885879,-5.65385144492475,"P60","MUT cells from HET vs WT cells from WT","Nle11"
"Kif13b1",0.093371331597,7.91959162090195,0.508672795075605,0.611593218177782,0.778845544949637,-5.77856914308096,"P60","MUT cells from HET vs WT cells from WT","Kif13b1"
