"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Time_point","SYMBOL"
"Btaf1",-1.00712215264323,8.3828291036476,-4.44399529543986,2.39349388381176e-05,0.00601410543755993,2.33659133010611,"P30","Btaf1"
"Ccnc",-0.964368198768124,8.09275591300307,-4.09504026957289,8.87898195777749e-05,0.0110498930464541,1.25796743561985,"P30","Ccnc"
"Zkscan2",-0.963800343067681,8.14320660567668,-3.63808125217037,0.000446802660018555,0.0247131515730263,-0.140117507469873,"P30","Zkscan2"
"Nop58",-0.958016386949706,7.86691959673036,-4.00179617902519,0.000124661516834694,0.0130765220159779,0.983800641933082,"P30","Nop58"
"Rragb",-0.948827761829136,8.19182394768067,-3.36213326223667,0.00111636943810418,0.0347238122988075,-0.917204531918619,"P30","Rragb"
"Epha7",-0.948773455549444,8.08519952545163,-3.9483861411521,0.000151078925483318,0.0140173924629888,0.797199790879488,"P30","Epha7"
"Otud3",-0.947325539112022,7.63406050626066,-3.67502761078004,0.000393853036483952,0.0231697805671313,-0.0267295438641026,"P30","Otud3"
"Rpl21",-0.920154402816433,7.96404403269131,-4.30104179191438,4.12650125199343e-05,0.00794767763667627,1.94471762223117,"P30","Rpl21"
"Tubgcp3",-0.907663595560994,7.87377735303153,-3.89341729317437,0.000183816412531672,0.0155663110806575,0.643417506621465,"P30","Tubgcp3"
"Sfxn1",-0.901480903137642,7.95698609338297,-3.59490644075117,0.000517225944905688,0.0264384975654531,-0.256504390686024,"P30","Sfxn1"
"Rpl36a",-0.893064941412704,7.82379242644093,-4.70103571169995,8.76429186363694e-06,0.00494106018904344,3.3512078377922,"P30","Rpl36a"
"Strada",-0.892709081076132,7.78242192489114,-4.72314887190407,8.0268703472214e-06,0.00494106018904344,3.43134282024313,"P30","Strada"
"Pdcd7",-0.871516874917829,7.8591990650701,-3.59521649157249,0.000516684665978342,0.0264384975654531,-0.254794723117955,"P30","Pdcd7"
"Numb",-0.868911172684377,7.96783255888968,-3.89407424730521,0.000183387889892297,0.0155663110806575,0.640306192141443,"P30","Numb"
"Mef2c",-0.868346993646522,9.70142540460772,-4.49867118493257,1.93813126502254e-05,0.00556616390612436,2.53617107114447,"P30","Mef2c"
"Prkar2b",-0.859407239015884,7.81149587296271,-4.23890919277797,5.21167288237924e-05,0.0088444457756195,1.7615477190802,"P30","Prkar2b"
"Glul",-0.858746402836741,7.84682283474407,-3.56641753910361,0.000569317497654648,0.0273250147465882,-0.339117662216164,"P30","Glul"
"Park2",-0.852006608442714,8.01811567858106,-3.28425427458562,0.00143315189281611,0.0379480325661627,-1.12605517357544,"P30","Park2"
"Mfsd11",-0.851007164734478,8.09902221128342,-3.30428746017311,0.00134445879599944,0.0374592307079397,-1.0713377659123,"P30","Mfsd11"
"Cyb5b",-0.850080297580334,7.73248449677947,-4.6709697943593,9.87318403797399e-06,0.00494106018904344,3.25440172573075,"P30","Cyb5b"
"Ufd1",-0.844952435970992,7.8441557117414,-3.7808959204301,0.000273155057491103,0.0194252268027244,0.299298052882397,"P30","Ufd1"
"Sh3glb1",-0.844378351865672,8.15276772417117,-2.93043857793967,0.00424063784630612,0.0647542797512634,-2.02723529781847,"P30","Sh3glb1"
"Ap1m1",-0.843911235966837,7.76812959598853,-3.26805325239992,0.00150885499827122,0.0388082678616884,-1.1830426019633,"P30","Ap1m1"
"Mapk14",-0.843699820059508,7.89507942759333,-3.07295348454231,0.00276702164972191,0.0515245652331011,-1.68709568942678,"P30","Mapk14"
"Pcdh15",-0.843327518446643,8.31185513686189,-3.43470961639891,0.000881461400055522,0.0325508324826397,-0.721193342859614,"P30","Pcdh15"
"2810001G20Rik",-0.841905276577631,7.55497069423811,-4.75125551657776,7.17611046353182e-06,0.00494106018904344,3.56800673747679,"P30","2810001G20Rik"
"Gm3294",-0.841110013292397,7.5507579477146,-4.30613772001298,4.04787684403449e-05,0.00794767763667627,1.99971069239097,"P30","Gm3294"
"Pithd1",-0.840583517803772,7.5692551674867,-4.68303863392718,9.41260674624528e-06,0.00494106018904344,3.32043170195612,"P30","Pithd1"
"Ddhd1",-0.840166756087248,8.06242294785524,-3.03199865042299,0.00313261036977655,0.0550381214849917,-1.78030673140902,"P30","Ddhd1"
"Arl15",-0.834496226965355,7.98108215645938,-4.6093071700406,1.25891730449147e-05,0.00494106018904344,2.992318100673,"P30","Arl15"
"Hnrnpf",-0.833809346115312,7.55629393312279,-4.99595239709785,2.6656510204428e-06,0.00494106018904344,4.46957044959215,"P30","Hnrnpf"
