"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Time_point","SYMBOL"
"Rxfp1",-0.597466634356334,7.43592483905639,-6.23770593757326,1.67275771961074e-09,1.25691015051551e-05,11.2084469253333,"P30","Rxfp1"
"Ttll5",-0.554841078351392,7.67631238058276,-4.32741026526817,2.11520877726339e-05,0.0011601225366684,2.5034665060992,"P30","Ttll5"
"Mto1",-0.479677376532758,7.56308606410813,-5.2367682637815,3.25576396425715e-07,6.27277190446877e-05,6.2872064926696,"P30","Mto1"
"AC149090.1",-0.463951674323313,9.58463750293282,-5.07526561129853,7.14326758636718e-07,0.000105244142439143,5.41768210342308,"P30","AC149090.1"
"Rragb",-0.457387200265002,7.70349143727945,-4.27997783646548,2.58508850075469e-05,0.00133961068928764,2.32001163523328,"P30","Rragb"
"Slc35f1",-0.456670656564214,7.77910141561956,-4.07817275998999,5.9517542636767e-05,0.00240438072781004,1.57568120054423,"P30","Slc35f1"
"Nfia",-0.456586555620983,7.63200789308488,-3.67222421418309,0.000288960650258153,0.00718957061602569,0.207844129299394,"P30","Nfia"
"Il6st",-0.4434604371098,7.54174864686043,-4.91388662767808,1.5371024044993e-06,0.000177689037960119,4.88837325239203,"P30","Il6st"
"Runx1t1",-0.441092746871217,7.96820242881331,-3.94890012728899,9.98493363107128e-05,0.00344159593137017,1.10052085211055,"P30","Runx1t1"
"Map9",0.437180723447979,7.97689240728424,4.18700306513424,3.8110825720548e-05,0.00176768360780369,1.94926851985323,"P30","Map9"
"Gria4",-0.436608731691026,8.81854481832623,-3.62079686751398,0.000349682007039826,0.00837579355472282,0.0182319842455501,"P30","Gria4"
"Zfand6",-0.435543703115066,7.63684512589963,-4.34718740788051,1.94448337187969e-05,0.00107432706296353,2.58655213407221,"P30","Zfand6"
"Zmat4",-0.434138883819241,7.97037898116971,-3.73655633215358,0.000226940793323191,0.00604692596110092,0.399444509634087,"P30","Zmat4"
"Jakmip3",-0.430554740245865,7.62842369199099,-3.63842431382355,0.000327631182831592,0.00796705730678505,0.0982397404946767,"P30","Jakmip3"
"Gde1",-0.428391792885209,7.69659471005214,-4.02388618604246,7.40804691425407e-05,0.00284000329151556,1.39667060969071,"P30","Gde1"
"Gmeb1",-0.428199230783348,7.5341564558469,-4.1765577997532,3.97927529527835e-05,0.00179610271798768,1.96082036532958,"P30","Gmeb1"
"Ttc33",-0.425993105689397,7.42428128532106,-4.98938552711279,1.0765394810886e-06,0.000145615871372054,5.24512327395679,"P30","Ttc33"
"Gm12063",-0.42284835072899,7.3541655619454,-5.57750230910372,5.84047801963134e-08,2.74611354535551e-05,7.95024083691046,"P30","Gm12063"
"Myh10",0.419505052866215,8.20228188999912,3.959023356302,9.59304233071354e-05,0.00332175668539086,1.12448417217114,"P30","Myh10"
"Tmem63b",-0.414971479201343,8.24125225211926,-3.5292955762724,0.000488374943188404,0.0104251401224934,-0.261663419480299,"P30","Tmem63b"
"Selenos",-0.414682990515614,7.62121633896326,-3.83774637799294,0.000154151163909802,0.00466853553975449,0.7586157231276,"P30","Selenos"
"Araf",-0.413916371677105,7.90060247306444,-3.57673522534967,0.000411058758579271,0.00930329973483326,-0.101373034670262,"P30","Araf"
"Capns1",-0.413865460595296,7.63906605475962,-3.90654662904641,0.000117954097865692,0.00388150437867776,0.993445560424723,"P30","Capns1"
"Rab6b",0.413498500601881,8.7262345929428,3.96756009336169,9.2739604534371e-05,0.00324114134172681,1.13805012893333,"P30","Rab6b"
"Egfem1",-0.410865720601152,7.63431954000384,-4.30957915110453,2.28135805274021e-05,0.00123324636030863,2.44644560759675,"P30","Egfem1"
"Phf6",-0.408856321309043,7.75811622158393,-3.53376242671675,0.00048055107601398,0.010316745100483,-0.230255284069609,"P30","Phf6"
"Bex2",-0.408830153430394,8.11501906777973,-3.31830105268847,0.00102799504186797,0.0172418632691873,-0.880616216231825,"P30","Bex2"
"Dync1li1",-0.407404885371419,7.81027099535011,-3.68056643441866,0.000280100758686705,0.00701559033590634,0.231782098707415,"P30","Dync1li1"
"Ppp3cc",-0.40661460449023,7.52004822427255,-4.40367711838068,1.52646963631997e-05,0.000929909089576251,2.8210877120286,"P30","Ppp3cc"
"Tyro3",0.406561195788973,8.20994886457788,3.22188389857725,0.00142697031080303,0.0214874848003487,-1.15313945377783,"P30","Tyro3"
"Ptpru",-0.404767941653343,7.52057472064527,-4.17777580113222,3.95930388103938e-05,0.00179610271798768,1.9657209079162,"P30","Ptpru"
"Ppp1r7",-0.403344627026096,7.71809959919203,-3.52188726895535,0.000501614749099903,0.0105577961477218,-0.26760587478717,"P30","Ppp1r7"
"Vbp1",-0.403292101066745,7.47562029870997,-4.24116176389594,3.04234189939555e-05,0.00154460520486879,2.20181606419725,"P30","Vbp1"
"Htr2c",-0.401122534611896,7.29691324105358,-5.37275764953162,1.65601820875743e-07,3.60355190841758e-05,6.99229413205877,"P30","Htr2c"
"Il1rapl2",-0.397746854473604,7.41774999587512,-5.36445032334516,1.72648214936163e-07,3.60355190841758e-05,6.92954364038626,"P30","Il1rapl2"
"Rbm7",-0.397349808835436,7.79564811090082,-3.54099258022123,0.000468135814861568,0.0100935639296743,-0.208214748618322,"P30","Rbm7"
"Tceal3",-0.397307189128494,7.78229999220066,-3.56169206222523,0.000434234953116845,0.00960886607490271,-0.143501661027811,"P30","Tceal3"
"Pigc",-0.396241245307404,7.59921081653904,-3.62207667788896,0.000348035191087926,0.00837579355472282,0.0422448775520534,"P30","Pigc"
"Rcan2",-0.39501085690675,7.64529778452252,-3.31084709293529,0.00105467916189868,0.0175423952747558,-0.914265731885014,"P30","Rcan2"
"Grik1",-0.392774053140543,7.4149753472412,-4.4864102175551,1.06615380962217e-05,0.000721718894189281,3.14991504011676,"P30","Grik1"
"Kcng1",-0.392028656645265,7.40884297218479,-4.94297788286271,1.34066017339771e-06,0.000159917956683402,5.04586020853318,"P30","Kcng1"
"Cntnap4",-0.391785847763382,7.45970977837262,-4.26342785376569,2.7713778405959e-05,0.00142631048590668,2.28525481481055,"P30","Cntnap4"
"Sh3d19",-0.389096731863648,7.56357895644683,-3.69762406618654,0.000262775269978767,0.00673888525126434,0.285264478757436,"P30","Sh3d19"
"Slc25a28",-0.387496176007409,7.52329148006675,-4.54365468620566,8.29171423315141e-06,0.000616870700474255,3.3721763253402,"P30","Slc25a28"
"Samd5",-0.387084625656197,7.8609171290025,-3.34394675896412,0.000940910673065455,0.0162903290262991,-0.80316295300223,"P30","Samd5"
