"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Timepoint","DEG_Test"
"Rps6ka3",-0.0105684893086782,7.91432457323203,-0.119424584067484,0.905004074316698,0.962423386931475,-5.85493779360759,"P30","WT cells from WT vs WT cells from HET"
"Inpp5j",-0.0105582820816039,7.74731013674979,-0.111984865291709,0.910896389839972,0.965169556164544,-5.91610079594793,"P30","WT cells from WT vs WT cells from HET"
"Actl6a",0.010530511669459,7.74983199365625,0.110465416978302,0.912100420894902,0.965169556164544,-5.91538918962989,"P30","WT cells from WT vs WT cells from HET"
"Rtl8b",0.0105237174494865,7.56446457442877,0.146451065911879,0.883645413043418,0.954226296901066,-5.98850279323067,"P30","WT cells from WT vs WT cells from HET"
"Ctsa",-0.0104788997139069,7.79951257144607,-0.107128190723483,0.9147455908468,0.966378240035288,-5.89654070625325,"P30","WT cells from WT vs WT cells from HET"
"Polr2l",-0.0104588750362176,7.57813643191427,-0.140838987341732,0.888074109704203,0.955994659537399,-5.98411465453474,"P30","WT cells from WT vs WT cells from HET"
"Sel1l3",0.0104270868127099,8.0812143723961,0.110707841279118,0.911908306995946,0.965169556164544,-5.80709760638969,"P30","WT cells from WT vs WT cells from HET"
"Cerk",-0.0104221712427579,7.74559218271773,-0.0947172855455733,0.924590877551261,0.969981957488984,-5.91795983255479,"P30","WT cells from WT vs WT cells from HET"
"N4bp1",0.0104157604991899,7.82488130408923,0.128109034486703,0.898132581385487,0.960311333313434,-5.88610662293244,"P30","WT cells from WT vs WT cells from HET"
"Wdr26",0.0104067462113147,7.95753639500091,0.102749341245567,0.91821781170246,0.96760316034597,-5.84223771665837,"P30","WT cells from WT vs WT cells from HET"
"Scai",-0.0104033530565442,8.36530707990699,-0.105933610984866,0.915692676985265,0.96676826114868,-5.75273733280193,"P30","WT cells from WT vs WT cells from HET"
"Clcn2",0.0103479606263219,7.78593199836162,0.127011532881789,0.899000557295772,0.960510025965303,-5.90006496224545,"P30","WT cells from WT vs WT cells from HET"
"Rrp7a",0.0103347020527806,7.52223999091758,0.140076686257621,0.88867594329831,0.955994659537399,-6.00986142912378,"P30","WT cells from WT vs WT cells from HET"
"Pacs2",0.0103140882526906,7.65042126891802,0.0950363979367695,0.924337581109431,0.969981957488984,-5.95709304545639,"P30","WT cells from WT vs WT cells from HET"
"Gnl3",0.0102975838093027,8.12606786181165,0.104022976173108,0.917207714835272,0.967521407087696,-5.79636484985231,"P30","WT cells from WT vs WT cells from HET"
"Zbtb17",-0.0102815942868304,7.59565591509232,-0.127984607780241,0.89823098001684,0.960311333313434,-5.97726600022711,"P30","WT cells from WT vs WT cells from HET"
"Fkbp8",0.0102791107776721,8.17939298756465,0.094686242911864,0.92461551814735,0.969981957488984,-5.7850381724276,"P30","WT cells from WT vs WT cells from HET"
"Skil",-0.0101774430177723,7.84021711896064,-0.0980006537470522,0.921985065406144,0.969382664928901,-5.88355189023733,"P30","WT cells from WT vs WT cells from HET"
"Srsf5",-0.0101282879119431,9.33142994072868,-0.119034935310707,0.90531255178343,0.962423386931475,-5.74896345114495,"P30","WT cells from WT vs WT cells from HET"
"Tmem263",0.0101155365627177,7.57179587408946,0.128166487251846,0.898087147349721,0.960311333313434,-5.98858394605715,"P30","WT cells from WT vs WT cells from HET"
"Tsc2",0.0101121082949485,7.83603192169247,0.114167497518428,0.909167203176293,0.964271644691645,-5.88313369560708,"P30","WT cells from WT vs WT cells from HET"
"Sem1",0.0101094604763787,7.82877532890468,0.101299983055972,0.919367432668981,0.968364733191954,-5.88599002917197,"P30","WT cells from WT vs WT cells from HET"
"Rprml",-0.0101037578987775,8.10360162066938,-0.107814207436467,0.914201758248352,0.966075004081545,-5.80149164960493,"P30","WT cells from WT vs WT cells from HET"
"Clic4",0.0100932465991548,7.3954673491485,0.113687349581835,0.909547562782643,0.964271644691645,-6.08938296255075,"P30","WT cells from WT vs WT cells from HET"
"Atp9a",0.0100852516026926,8.16340260326263,0.0988618053944094,0.921301759074788,0.968815434700029,-5.7882335720086,"P30","WT cells from WT vs WT cells from HET"
"Tssc4",-0.0100837070748794,7.76824392913697,-0.105792845251634,0.915804286747847,0.96676826114868,-5.90870842451704,"P30","WT cells from WT vs WT cells from HET"
"Cdk12",-0.0100793807228996,8.16545735516223,-0.0965304177169967,0.923151801177892,0.969676693014444,-5.78794050179829,"P30","WT cells from WT vs WT cells from HET"
"Dzip3",-0.0100623309797587,8.59858337622593,-0.103217946494803,0.917846153840454,0.96760316034597,-5.7255777686682,"P30","WT cells from WT vs WT cells from HET"
"Susd4",0.0100154176751133,8.13392912663625,0.102417708694371,0.918480845307653,0.967742596288304,-5.79491050683627,"P30","WT cells from WT vs WT cells from HET"
"Sf3b5",-0.00999086812204464,7.57958154913971,-0.115663973535768,0.907981871735318,0.963698067842649,-5.98729237551314,"P30","WT cells from WT vs WT cells from HET"
"Borcs8",-0.00997683729845544,7.52950371643777,-0.140383679699207,0.888433565460114,0.955994659537399,-6.00933906662668,"P30","WT cells from WT vs WT cells from HET"
