Samples,Female,,Male,
,Total_Mecp2,Shared_BC,Total_Mecp2,Shared_BC
E18,3409,572,8251,893
P30,1657,350,1970,335
P60,1287,144,1986,254
P120,0,0,24,0
P150,2934,451,0,0
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Genotype,Mecp2_MUT,Mecp2_WT,,
MUTANT,184,0,,
WT,0,175,,
