"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Timepoint","DEG_Test"
"Slc9a9",-0.479354283622513,7.65316219570056,-4.42199244969974,1.36243220623603e-05,0.0314926994648253,2.71255955174801,"P30","MUT cells from HET vs WT cells from HET"
"Plxdc2",-0.46860988496666,7.92406440620013,-3.61455914833297,0.000351909111674552,0.165463265445478,-0.0789915001365094,"P30","MUT cells from HET vs WT cells from HET"
"Kdm2b",-0.435382767725301,7.6114250627085,-4.50184677986844,9.6029737654318e-06,0.0314926994648253,3.03131899144326,"P30","MUT cells from HET vs WT cells from HET"
"Ssh2",-0.422086304537864,8.18996759425164,-3.61943094731935,0.00034561978035023,0.165463265445478,-0.128574324397039,"P30","MUT cells from HET vs WT cells from HET"
"Ppil2",-0.418094536343451,8.04110292218657,-3.66105690066133,0.000296029547375901,0.165463265445478,0.0261293678425361,"P30","MUT cells from HET vs WT cells from HET"
"AI480526",-0.405632691576573,8.19691653956841,-3.44903352832034,0.000641916575094152,0.202607158474707,-0.622635932447654,"P30","MUT cells from HET vs WT cells from HET"
"Taok2",-0.397827768101469,7.93656273550428,-3.32701168465263,0.00098538540712916,0.227825476910132,-0.904675456741203,"P30","MUT cells from HET vs WT cells from HET"
"Dlgap3",-0.389116535620129,7.95184089633845,-4.09601072829606,5.39260593540599e-05,0.0811371489041186,1.42967230876798,"P30","MUT cells from HET vs WT cells from HET"
"E130307A14Rik",-0.388409660189525,7.66921725978596,-4.38736992184119,1.58308638688582e-05,0.0314926994648253,2.57894055587556,"P30","MUT cells from HET vs WT cells from HET"
"Prkcsh",-0.385894734949334,7.74770241921656,-3.64067869731079,0.000319404867900626,0.165463265445478,0.0438820955492494,"P30","MUT cells from HET vs WT cells from HET"
"Igf1r",-0.385115762693617,7.93418403318307,-3.63433784017438,0.000327025457558578,0.165463265445478,-0.0256747374604371,"P30","MUT cells from HET vs WT cells from HET"
"Zfp280c",-0.384520437401858,7.71624035520709,-3.43755683037249,0.000668672558565783,0.202607158474707,-0.550798001499371,"P30","MUT cells from HET vs WT cells from HET"
"Scp2",-0.384041130040896,7.59631938311435,-4.37436861404738,1.67447557967966e-05,0.0314926994648253,2.56912777754112,"P30","MUT cells from HET vs WT cells from HET"
"Fkbp8",-0.383187805376513,8.06330134412041,-3.51767026296129,0.000501678485027948,0.198638275940277,-0.393728330739994,"P30","MUT cells from HET vs WT cells from HET"
