"","SYMBOL","logFC","P.Value","adj.P.Val","celltype","sex","timepoint","region","method"
"48","TOLLIP",-0.573577636675672,8.12232755788486e-09,7.28656605603539e-07,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"49","STX1B",-0.574542173726075,8.14791731505555e-09,7.28656605603539e-07,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"50","CDK5R1",-0.594454863089012,1.01415592904826e-08,8.85853411512849e-07,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"51","MGAT4C",-0.633046379815482,1.75892403123842e-08,1.50148151393898e-06,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"52","COL24A1",0.594636438042553,1.89591531903665e-08,1.58245731962259e-06,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"53","SYNGR1",-0.552032214833076,2.397343106563e-08,1.95748276266318e-06,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"54","IGSF11",0.539165479689007,2.59545713155582e-08,2.07415680555822e-06,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"55","PSD",-0.550739690572354,2.98224361544296e-08,2.33360562908412e-06,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"56","FEM1B",-0.592138152787874,3.31416686846792e-08,2.54041035876847e-06,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"57","IGSF10",0.534500629532514,3.51267908711544e-08,2.63872453024112e-06,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"58","DYNLL2",-0.552220691851207,4.43687534886958e-08,3.26762819810866e-06,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"59","AGAP3",-0.532224180469599,5.52841142308645e-08,3.99321409713706e-06,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"60","PTP4A2",-0.53873333296392,5.79942011251155e-08,4.10992866841385e-06,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"61","LINC00461",0.542224129780236,6.14520649949024e-08,4.27433252075654e-06,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"62","MNAT1",0.566050205318402,7.08704212347874e-08,4.78155964105472e-06,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"63","OGFRL1",-0.545364138367815,7.12905590785581e-08,4.78155964105472e-06,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"64","KBTBD11",-0.521991832829785,7.37316580691276e-08,4.85852820539725e-06,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"65","CES4A",0.539758397908625,7.80726934989813e-08,5.05587994452024e-06,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"66","ZYG11B",-0.571474011944501,8.49512674156387e-08,5.40808407479897e-06,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"67","MLIP",0.539133085442341,8.87532700067039e-08,5.55595470241966e-06,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"68","NFIX",-0.548018009513081,9.71889878483911e-08,5.98429243210749e-06,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"69","ANXA6",-0.521350279934732,1.09245804497332e-07,6.61818131761259e-06,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"70","CEND1",-0.572812474141963,1.17896132655012e-07,7.02885514686069e-06,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"71","MAPK8IP3",-0.528977223553183,1.49727645184949e-07,8.78714117679168e-06,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"72","EGR3",-0.539199146954822,1.57807851637538e-07,9.11886601154756e-06,"L2_3_IT","females","P30","CORT","limmaVoomCC"
