"","SYMBOL","logFC","P.Value","adj.P.Val","celltype","sex","timepoint","region","method"
"52","AGAP3",-0.53222418,5.52841e-08,3.99321e-06,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"53","PTP4A2",-0.538733333,5.79942e-08,4.10993e-06,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"54","LINC00461",0.54222413,6.14521e-08,4.27433e-06,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"55","MNAT1",0.566050205,7.08704e-08,4.78156e-06,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"56","OGFRL1",-0.545364138,7.12906e-08,4.78156e-06,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"57","KBTBD11",-0.521991833,7.37317e-08,4.85853e-06,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"58","CES4A",0.539758398,7.80727e-08,5.05588e-06,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"59","ZYG11B",-0.571474012,8.49513e-08,5.40808e-06,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"60","MLIP",0.539133085,8.87533e-08,5.55595e-06,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"61","NFIX",-0.54801801,9.7189e-08,5.98429e-06,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"62","ANXA6",-0.52135028,1.09246e-07,6.61818e-06,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"63","CEND1",-0.572812474,1.17896e-07,7.02886e-06,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"64","MAPK8IP3",-0.528977224,1.49728e-07,8.78714e-06,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"65","EGR3",-0.539199147,1.57808e-07,9.11887e-06,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"66","CLCN4",-0.516020778,1.7335e-07,9.73002e-06,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"67","TGOLN2",-0.52414871,1.73565e-07,9.73002e-06,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"68","PLEKHB2",-0.514344366,2.16014e-07,1.19316e-05,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"69","CMIP",-0.522132972,2.64977e-07,1.44239e-05,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"70","KIAA0513",-0.503655762,3.29756e-07,1.73913e-05,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
