"SYMBOL","FC","logFC","P.Value","adj.P.Val","AveExpr","Sex","DEG_method","Cell_Type","Metadata","Time_point","Tissue"
"MT-ND4L",1.683336026,0.751323195,5.8244e-09,6.07679e-07,9.369848108,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"KCNA2",-1.518765332,-0.602898972,5.99377e-09,6.08449e-07,7.877041928,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"MOSMO",-1.49137921,-0.576647136,6.47415e-09,6.39919e-07,7.908062041,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"SIRPA",-1.523841749,-0.607713087,7.38753e-09,7.11476e-07,8.269554918,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"C16orf72",-1.485282172,-0.570737039,8.09816e-09,7.28657e-07,7.998024403,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"TOLLIP",-1.488209503,-0.573577637,8.12233e-09,7.28657e-07,8.140636977,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"STX1B",-1.489204802,-0.574542174,8.14792e-09,7.28657e-07,8.042271582,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"CDK5R1",-1.509901946,-0.594454863,1.01416e-08,8.85853e-07,8.221278708,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"MGAT4C",-1.550836268,-0.63304638,1.75892e-08,1.50148e-06,8.169559412,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"COL24A1",1.510091991,0.594636438,1.89592e-08,1.58246e-06,7.842639935,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
