"SYMBOL","FC","logFC","P.Value","adj.P.Val","AveExpr","Sex","DEG_method","Cell_Type","Metadata","Time_point","Tissue"
"PPP2R1A",-1.279555536,-0.355642765,0.000479931,0.00488515,8.151160589,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"CAMK2B",-1.383354014,-0.468170404,0.000483971,0.004912956,8.934753025,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"TRIM44",-1.308676326,-0.388108321,0.000488958,0.004950204,8.390644816,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"CCND2",-1.286958814,-0.363965884,0.000498085,0.005029047,8.150826884,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"MGAT4A",-1.266869923,-0.341268403,0.000504084,0.005075981,7.929310717,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"AES",-1.278327,-0.35425693,0.000512373,0.005143532,8.031924924,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"FAXC",-1.264135381,-0.338150975,0.000516173,0.005143532,7.862034814,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"RIC3",1.266768212,0.34115257,0.000517258,0.005143532,8.0534623,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"OXR1",-1.357570153,-0.441026752,0.000517468,0.005143532,8.515571884,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"TUBA4A",-1.27339753,-0.348682871,0.00051764,0.005143532,8.119678415,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"XIAP",-1.269636283,-0.344415263,0.000533992,0.005292013,7.769499635,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"SCHIP1",1.273339757,0.348617416,0.000537087,0.005308678,8.103619424,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"TM9SF3",-1.264075706,-0.33808287,0.000539457,0.005316351,7.977610754,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"MYO5A",-1.371024949,-0.455254824,0.000540694,0.005316351,8.805940475,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"PNMA8A",-1.2647405,-0.338841402,0.000542677,0.005321922,7.802846194,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"HCN1",-1.273916399,-0.349270604,0.000555843,0.005434812,8.041465308,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"NAP1L2",-1.277708669,-0.353558924,0.000558047,0.005434812,8.140824668,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"SYNCRIP",-1.267246426,-0.341697095,0.00055853,0.005434812,7.847372687,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"GNAI1",-1.258812954,-0.33206393,0.00056504,0.005483951,7.854448803,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"ANKRD11",-1.265858145,-0.340115742,0.000568766,0.005505894,7.97372745,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"HRH2",1.268003463,0.342558686,0.000571482,0.005517961,8.06688619,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"SRSF11",1.370961234,0.455187777,0.000576788,0.00555196,9.590509188,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"FKBP8",-1.309801341,-0.389348013,0.00057796,0.00555196,8.356455287,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"CREG2",-1.413950671,-0.499731789,0.000579763,0.005555074,9.045221733,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"CBX6",-1.2617783,-0.335458445,0.000594173,0.005678659,7.817637919,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"PRRT1",-1.257921675,-0.331042094,0.000595951,0.0056812,7.787625671,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"ANKRD10",1.268856973,0.343529456,0.000599766,0.00570309,8.078901159,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"CSMD1",1.340583098,0.42286065,0.000606462,0.005746797,9.118128391,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"PUM2",-1.267016513,-0.341435327,0.000607422,0.005746797,8.050806803,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"UBQLN1",-1.26215686,-0.335891218,0.000613344,0.005788244,8.101153655,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"CCPG1",1.329555925,0.410944462,0.000622631,0.005861161,9.13581788,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"CREBZF",1.26435232,0.338398536,0.000631791,0.005932519,8.078510457,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"ZBTB44",-1.267928133,-0.342472974,0.000641996,0.006013314,7.852215676,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"C16orf45",-1.278105831,-0.3540073,0.000663458,0.006192486,8.221681775,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"YY1",-1.25894694,-0.33221748,0.000664423,0.006192486,7.907348666,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"TRIM37",-1.274693526,-0.350150422,0.000672874,0.006255236,8.221188194,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"PTPRF",-1.251797972,-0.324001744,0.000675667,0.006255236,7.825169402,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"VSNL1",-1.492489218,-0.577720509,0.000676152,0.006255236,9.865151611,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"CDIP1",-1.257916596,-0.33103627,0.000681443,0.006288698,7.847313693,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"IRS2",-1.254813268,-0.327472689,0.000695542,0.006403077,7.729643772,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"PRKAR2B",-1.26460892,-0.338691301,0.000705558,0.006479405,8.108917892,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"KHDRBS3",-1.278709086,-0.35468808,0.000707681,0.006483046,8.129965246,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"CLVS2",-1.277145084,-0.352922425,0.000714637,0.006530841,8.157685949,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"EPC1",1.275589943,0.351164628,0.00072644,0.006608796,8.285846853,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"TMEM205",1.264461476,0.338523083,0.000726686,0.006608796,8.123656507,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"PDE4B",1.257558017,0.33062496,0.000751973,0.00681607,7.800868065,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"FAM81A",-1.253776863,-0.326280612,0.000754911,0.00681607,7.683982626,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"EGR1",-1.280303716,-0.356486089,0.000754921,0.00681607,7.946652825,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"AGBL4",1.260735545,0.334265684,0.000762008,0.006863556,8.101883442,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"SPTAN1",-1.384166141,-0.46901712,0.000770468,0.006916008,8.99322152,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"ATP6AP1",-1.258363221,-0.33154841,0.000771514,0.006916008,7.883567081,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"GNB1",-1.295425675,-0.373426243,0.000776147,0.006940976,8.32374186,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"TNRC6C",-1.265555196,-0.33977043,0.000784929,0.007002833,7.887709142,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"PURB",-1.255297079,-0.328028833,0.000787898,0.007012664,7.903648515,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"RHOB",-1.245589944,-0.316829202,0.000815512,0.007241286,7.81555888,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"SLC38A1",-1.282393785,-0.358839338,0.000819129,0.007256249,8.129534563,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"ARF1",-1.295999038,-0.374064647,0.000834729,0.007377039,8.382774317,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"CLOCK",-1.262459482,-0.336237086,0.000841097,0.007415866,7.998935323,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"HS6ST3",-1.28235924,-0.358800475,0.000847147,0.007451723,8.333726255,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"EIF3A",-1.25098128,-0.323060201,0.000869852,0.007633564,7.862607987,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"THRAP3",1.258699964,0.33193443,0.000881,0.007713373,8.142066344,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"TMEM248",-1.24992582,-0.321842477,0.000889468,0.00775558,7.694980109,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"PTEN",-1.25897516,-0.332249818,0.000889951,0.00775558,7.947185186,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"KIF5A",-1.266838621,-0.341232755,0.000897762,0.007802381,8.163858317,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"XIST",1.401348419,0.4868157,0.000899476,0.007802381,10.49395995,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"ST13",-1.263047052,-0.336908385,0.000918024,0.007944926,8.062817654,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"RPL3",-1.344120832,-0.426662837,0.000924981,0.007986731,8.563500405,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"SCRN1",-1.25723892,-0.33025884,0.000935514,0.008048735,8.162738645,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"NBN",1.251439764,0.323588851,0.000936448,0.008048735,8.00766656,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"HPCAL1",-1.320240448,-0.400800704,0.000938975,0.008052036,8.307386651,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"PNKD",-1.254097579,-0.326649606,0.000947692,0.008108268,7.866334057,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"DTWD1",1.299782022,0.378269699,0.000951059,0.008118587,8.492332845,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"CDC37",-1.254661934,-0.327298685,0.000959908,0.008175547,8.248828228,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"PRPF19",-1.248455407,-0.320144291,0.000976218,0.008288844,7.75890103,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"TRIP11",-1.259207894,-0.33251649,0.000977625,0.008288844,7.744930733,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"TSPYL4",-1.273512868,-0.348813537,0.000987438,0.008353193,8.194323789,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"TMEM30A",-1.335209968,-0.417066631,0.000997127,0.0084162,8.613823515,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"ELAVL3",-1.260842008,-0.334387508,0.001004984,0.008463497,7.93749035,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"CDK5R2",-1.244744385,-0.315849507,0.001007241,0.008463527,7.727933338,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"ADAR",-1.251435503,-0.323583938,0.001013636,0.008498252,8.027826994,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"ZNF506",1.25421583,0.326785634,0.001019015,0.008524323,7.932103977,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"SPRYD3",-1.246396167,-0.317762701,0.001032735,0.008619892,7.851962541,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"SLC25A27",1.257777119,0.330876296,0.001035653,0.008625086,8.213500545,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"MADD",-1.245714547,-0.316973515,0.001042424,0.008662268,7.882092437,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"NDUFS1",-1.293189338,-0.370933518,0.001052636,0.008717247,8.415438026,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"INPP5F",-1.286113962,-0.363018485,0.001053682,0.008717247,8.223645315,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"LY6H",1.287587844,0.364670862,0.001057636,0.008730724,8.308666694,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"RETREG2",-1.240870622,-0.311352702,0.001061877,0.008746511,7.909253893,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"THRA",-1.254951991,-0.327632174,0.001079633,0.008873306,8.053616068,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"NFASC",-1.255646021,-0.328429811,0.001091889,0.008954439,7.976040085,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"FTX",1.329234123,0.410595234,0.001099288,0.008995483,9.144595583,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"GRIN2A",-1.368590057,-0.452690371,0.001104299,0.009016842,9.048762523,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"HLF",-1.288211666,-0.365369662,0.001109468,0.009039399,8.332212888,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"COL4A3BP",-1.248713219,-0.320442184,0.001119352,0.00910019,8.05335363,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"PPP4R2",-1.247562369,-0.319111942,0.001129148,0.009159998,8.074319355,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"MIAT",1.385268539,0.470165675,0.001136325,0.009198356,9.718100992,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"MED13L",-1.254012938,-0.326552233,0.001142267,0.009226573,7.774378128,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"SACS",-1.333812406,-0.415555773,0.001147411,0.009229879,8.610922661,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"VAPB",-1.246730829,-0.318150019,0.001147591,0.009229879,7.866663731,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"CX3CL1",-1.245612218,-0.316855001,0.001155309,0.009272092,7.776741743,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"NWD2",1.246191705,0.317526019,0.001163702,0.009319541,7.738675652,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"APPBP2",-1.246432493,-0.317804749,0.001179385,0.009425043,7.843760281,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"SLC22A17",-1.32988277,-0.411299077,0.001192754,0.009503275,8.58519871,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"DYRK1A",-1.248514745,-0.32021286,0.001194235,0.009503275,7.951035863,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"PGK1",-1.259473706,-0.332821003,0.001205509,0.009565486,8.185257174,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"MTPN",-1.265666519,-0.33989733,0.001207496,0.009565486,8.272714266,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"MARCH6",-1.326402828,-0.407518988,0.001209693,0.009565486,8.673505021,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"ARL8B",-1.260156372,-0.333602768,0.001230878,0.009699657,8.217972516,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"HDAC9",1.24869001,0.320415369,0.001231825,0.009699657,7.999261691,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"LMO3",-1.388713056,-0.473748532,0.001234979,0.009704142,9.230749045,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"DCP2",-1.246054083,-0.317366688,0.001245182,0.009758902,7.860096533,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"MMP17",-1.259096902,-0.332389319,0.001247144,0.009758902,7.701659441,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"RFPL1S",-1.242369362,-0.313094157,0.00126045,0.009842518,7.731166672,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"JKAMP",1.244627009,0.315713459,0.001263222,0.009843701,7.900134617,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"PPP2CB",-1.242687344,-0.313463364,0.001278795,0.009944419,7.806414238,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"LRRC4B",-1.247723939,-0.31929877,0.001305682,0.010132522,7.696552595,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"PNMA3",-1.252588677,-0.324912743,0.001339978,0.010377232,7.883382507,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"DDX6",-1.276293739,-0.351960404,0.001347347,0.010412833,8.343780665,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"PLXNA4",-1.255319583,-0.328054696,0.001360095,0.010489767,7.877603355,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"UHMK1",-1.244590549,-0.315671196,0.001374103,0.010555816,8.044389796,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"TARBP1",1.267200969,0.341645344,0.00137428,0.010555816,8.267378564,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"ATP13A3",-1.251859677,-0.324072857,0.001386452,0.010627582,8.018671686,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"CCDC66",1.252119473,0.324372226,0.001410269,0.010772809,8.122914233,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"RBPJ",-1.249658704,-0.321534132,0.001411135,0.010772809,7.911000094,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"CEBPD",1.242726435,0.313508747,0.001416636,0.010792867,7.860061924,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"SLC6A15",-1.242217338,-0.312917609,0.001435281,0.010912783,7.704211799,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"PLEC",-1.249658501,-0.321533898,0.001468973,0.011125744,7.836099834,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"NREP",1.282908615,0.359418407,0.001469214,0.011125744,8.300028056,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"DMD",-1.2565666,-0.329487138,0.001472178,0.011125758,8.018552989,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"KIDINS220",-1.299569337,-0.378033609,0.001487224,0.011205142,8.490638875,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"EDIL3",-1.269921845,-0.344739711,0.001488649,0.011205142,8.087132059,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"PPP1R12B",-1.243861679,-0.314826063,0.001496884,0.011244591,7.937601739,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"TAX1BP1",-1.309759235,-0.389301634,0.001504951,0.011271466,8.566728469,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"FASTKD1",1.243782518,0.314734245,0.001506463,0.011271466,7.984105016,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"BAG4",-1.236741443,-0.306543918,0.001515242,0.011314608,7.787280249,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"ATF7IP2",1.239266088,0.309485988,0.001524364,0.01136014,7.728487904,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"MTMR9",-1.239750577,-0.310049897,0.001533935,0.011408828,7.856567963,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"ATP13A2",-1.236053381,-0.30574105,0.001552813,0.011504444,7.723357094,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"SCOC",-1.292272534,-0.369910359,0.001558489,0.011504444,8.430114912,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"RC3H2",-1.238790957,-0.308932756,0.001560169,0.011504444,7.831304219,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"SV2A",-1.279601805,-0.355694932,0.001561304,0.011504444,8.354996367,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"FAM168B",-1.240456563,-0.310871217,0.001562206,0.011504444,7.93875725,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"ITGAV",-1.251030818,-0.323117329,0.001565168,0.011504444,7.685593079,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"PLEKHM3",-1.238573355,-0.308679315,0.001569392,0.011512964,7.722313047,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"WDR17",1.271806522,0.346879212,0.001590318,0.011643731,8.488866841,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"NFIB",-1.256762744,-0.329712318,0.00160995,0.011760073,8.161610795,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"MRFAP1",-1.235161181,-0.304699317,0.00161247,0.011760073,7.960981865,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"UBE2W",-1.235451779,-0.305038702,0.001631678,0.011872025,8.068831854,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"TMEM170B",-1.235802356,-0.305448029,0.001634142,0.011872025,7.752035799,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"ILDR2",1.245208908,0.316387803,0.001654419,0.011996132,7.936489392,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"PCDH10",-1.255563667,-0.328335187,0.001664808,0.012048206,8.052187932,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"NDRG3",-1.242148869,-0.312838088,0.001674815,0.012097314,8.051277435,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"PPIG",-1.25818753,-0.331346969,0.001682603,0.012130242,8.2959734,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
