,SYMBOL,L2_3_IT_F_P30_CORT_1,L5_F_P30_CORT_1,L6_F_P30_CORT_1,Pvalb_F_P30_CORT_1,Vip_F_P30_CORT_1,Sst_F_P30_CORT_1,Sncg_F_P30_CORT_1,Lamp5_F_P30_CORT_1,L6_F_P60_CORT_1,Sncg_F_P60_CORT_1,Pvalb_F_P150_CORT_1,Vip_F_P150_CORT_1
0,Plp1,-1.094727945,-1.000575819,0.199004356,-0.430463731,1.357564305,0.232913745,-0.011822263,-0.324389237,1.127807556,0,0,0
1,Tenm1,-1.036816309,-0.090063357,0.005723718,0.157960846,-0.030673272,0.333079685,-0.400979624,0.396123114,-0.184486852,-0.504538686,0.126902737,0.250023812
2,Atp2b2,1.007760953,0.846291099,0.376965432,0.71913429,0.107793269,0.583364034,0.372758949,0.542112538,-0.059239023,-0.304675703,-0.051859185,-0.043178023
3,Atp2b1,0.999311056,0.838784003,0.989992824,0.626000049,0.172600712,0.583015696,0.59471897,0.437520868,-0.926524447,0.523444965,0.224647276,-0.178779479
4,Syne1,0.940833878,0.866797719,-0.408270309,0.527097435,0.15237053,0.582675747,0.318642231,0.49065034,0.064008688,-0.182209469,0.038988795,0.073012962
5,Gm42418,0.93788121,0.669402667,0.868400016,0.840112714,0.984000083,1.079960691,0.913542973,0.900414615,0.467860128,0.144042018,0.180513072,0.278106415
6,Arid5b,-0.915685235,-0.390124455,0,-0.176765383,0,0,0,0.038888939,0,0,0,0
7,Slc24a2,0.443407156,1.083164027,1.149706437,0.619809,0.569038101,0.372531438,-0.434545193,0.154474677,0.14311263,0.087344173,-0.190076119,-0.039882555
8,Ndrg4,0.553163132,0.968022703,-0.144808536,0.909014673,0.154714392,0.631447192,0.5443718,0.586418104,-0.208431862,0.044189873,0.130270174,0.015160844
9,Cadps,0.50793984,0.935124438,0.175384993,0.555676341,0.398587063,0.349067337,0.89175518,0.427712005,-0.279150878,-0.666829312,-0.135140295,-0.011907226
10,Mical2,0.840217093,0.92537632,-0.255327139,0.063155697,-0.058973412,0.233424771,0,0.305839053,-0.116777869,0,-0.119904952,0
11,Kalrn,0.823024906,0.899760775,0.331336369,0.132526802,-0.105455526,0.543394272,0.278886928,0.1226829,-0.85505085,-0.07324659,0.014432381,-0.155850995
12,Aph1a,0,-0.896047053,0,-0.161322384,0,0,0,0,0,-0.10498285,0,0
13,Pcdh9,0.593371527,0.745615484,1.690181294,0.37206708,0.966241348,0.598801355,0.051846432,0.321770476,-0.556802835,0.466583958,0.165052132,0.089719758
14,Rsrp1,0.704164536,0.827826221,1.487113939,0.667754058,0.907366384,0.677797673,0.468444552,0.566896239,-0.755792868,-0.2045923,0.02865304,0.225340723
15,Xist,0.476197673,0.485638139,1.359205821,0.426420289,0.68967077,0.608931448,0.427171184,0.729194052,-0.744054095,-0.051827496,0.1603577,-0.112764089
16,Ptprd,0.397870899,0.610122425,1.333554025,0.117574005,0.877072925,0.13000577,-0.012514882,0.161515696,-0.819936064,0.312387334,0.236409164,0.116128151
17,Malat1,0.694144656,0.607497966,1.331656232,0.701865001,0.919378654,0.657832971,0.748672289,0.48786208,-0.346397765,-0.328345327,0.057607241,0.123705041
18,Son,0.726688914,0.704208708,1.194862737,0.723660223,0.885492612,0.693378819,0.520504196,0.569298943,-0.276092798,-0.136884749,0.097167403,-0.012007983
19,AY036118,0.25908333,0.459694869,-0.711184251,0.556398486,0.721093226,0.773690469,0.794774634,0.280851643,1.795616275,-0.494948098,-0.015617469,0.175666857
20,Meg3,0.662563038,0.471557309,-0.579175377,0.606868478,-1.361696186,0.178432462,0.398137738,0.594878934,-1.481357868,-0.454097069,-0.015759459,0.569286934
21,Snhg11,0.713972269,0.523183047,-0.17279648,0.745201058,-0.958053476,0.265197043,0.653727744,0.767794115,-1.432177006,-0.381218761,-0.101760849,0.663424164
22,Arpp21,0.594594787,0.781857747,0.405499198,0,-0.019532412,0,0.979085112,0.152339981,-1.301882807,0.493801999,0,0.021409288
23,Ptgds,0,0,0,0,0,0,0,0,1.248160148,0,0,0
24,Gria2,0.876469267,0.74114953,0.550457011,0.572113645,-0.219636389,0.827386219,0.965171742,0.649883226,-1.058250523,-0.003949629,-0.006595803,0.059431807
25,Npy,0,0,0,0,0,0.26345728,1.266762777,1.038490224,0,0,0,0
26,Mir124a-1hg,0.530565742,0.760927269,0.08638331,0.817726799,-0.157240695,0.447320084,0.467833958,0.929195206,-0.595372229,-0.606162183,-0.230313683,0.106724606
27,Tcf4,0.649845604,0.589995189,0.47564597,0.510269161,0.350318837,0.368441872,0.219163622,0.911540534,0.117496519,-0.157685715,-0.41197445,-0.308207673
28,Kit,0,0,0,0,0.278726416,0,0.006668188,0.862651872,0,0,0,0
29,Slc6a1,0,0,0,0.626129642,-0.073826135,0.358071855,0.580994672,0.856870631,0,-0.442163278,-0.136325502,0.164768664
30,Adarb2,0,0,0,0,-0.535885166,0,0.493879696,0.844972529,0,-0.387456885,0,0.070228273
31,Ahi1,0.788188967,0.773955117,0.651223062,0.238877218,-0.199844349,0.634365539,0.173685823,0.476542405,-0.874389559,-0.234821037,0.468835391,0.435115732
32,Atp1b1,0.738658889,0.599816694,-0.047336827,1.021316459,-0.137106537,0.742655577,0.618641517,0.512230003,-0.116106024,-0.157271867,-0.057776291,0.283782198
33,Atp1a3,0.512563637,0.782120179,-0.030744948,0.970471982,-0.023482821,0.821361377,0.595624342,0.6889244,-0.348175155,0.071955608,-0.004583258,0.241230845
34,Kcnc1,-0.584452922,0,0,0.935815785,0.137858878,0.383109404,0.617344159,0.398841726,0,-0.129370318,-0.305108134,0.126927569
35,Pcsk1n,0.457547403,0.105622077,-0.198647657,0.894465534,-0.011851217,0.876497177,0.882220405,0.521665098,0.026824491,-0.112086013,0.026415049,0.281555361
36,Sparcl1,-0.376445467,-0.566021769,-0.430220989,0.892941646,0.12422509,0.308798964,0,0.14764975,0.126459315,0.296053074,-0.149880455,-0.083985706
37,Camk2d,0.007426158,-0.340160485,0,0.258979104,0.0672872,0.442633509,1.320864178,0.208312082,0.429434583,0.281462262,0.126085887,0.391252286
38,Col19a1,0,0,0,0.03077279,0,0.249641073,0.224007575,0,0,-1.120392712,-0.114417961,0
39,Ank3,0.745356346,0.894879479,1.085280111,0.664141027,1.182428106,0.605847403,0.611332835,0.564723923,-0.36572446,-0.199044373,-0.015891563,-0.039963822
40,Syt11,0.467146996,0.476411563,0.107234906,0.555075262,0.887218892,0.762736027,-0.193201547,0.301523885,0.09998114,-0.088980367,-0.04011341,0.02644246
41,Ttll7,0.135019608,0.438561269,0.26038988,0.538952806,0.884747536,0.492391484,0.091758811,-0.200633379,0.410352481,-0.41788154,-0.06087558,0.225810886
42,Sept7,0.045930487,0.812507474,0.818584717,0.079830514,0.883956287,0.274217419,-0.092026357,-0.00534765,0.330653978,-0.042354975,-0.044795998,0.078465128
