,SYMBOL,L2_3_IT_M_P30_CORT_1,L4_M_P30_CORT_1,Vip_M_P30_CORT_1,Lamp5_M_P30_CORT_1,Astro_M_P30_CORT_1,L2_3_IT_M_P60_CORT_1,L4_M_P60_CORT_1,L6_M_P60_CORT_1,Sst_M_P60_CORT_1,Sncg_M_P60_CORT_1,Astro_M_P60_CORT_1,L2_3_IT_M_P120_CORT_1,L4_M_P120_CORT_1,L5_M_P120_CORT_1,L6_M_P120_CORT_1,Pvalb_M_P120_CORT_1,Vip_M_P120_CORT_1,Sst_M_P120_CORT_1,Sncg_M_P120_CORT_1,Lamp5_M_P120_CORT_1,Peri_M_P120_CORT_1,Astro_M_P120_CORT_1
23,Lrp1b,0.999984574,0.999976766,0.999871619,0.999903355,0.998168778,0.839503463,0.997835604,0.99979478,0.999605559,0.983857175,0.733906024,0.054621373,0.999086279,0.908729914,0.999386881,0.995005219,0.011878224,0.640427188,0.231123017,0.108707162,0.289941031,0.142982225
24,Arc,0.010965917,8.84E-06,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
25,Mid1,5.49E-05,0.000833799,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
26,Cck,0.999984574,0.999976766,0.999871619,0.999903355,0.998168778,2.47E-06,0.000846786,0.99979478,0.999605559,0.94057476,1,1,1,1,1,1,1,1,0.083861334,1,1,1
27,Cx3cl1,0.999984574,0.999976766,0.999871619,0.999903355,1,1.26E-05,0.025939823,0.99979478,0.611856914,0.765027433,1,0.59082898,0.999086279,0.999910655,0.999386881,0.995005219,0.077740601,0.691181289,0.266762855,0.216421957,0.86627615,0.829796168
28,Gm42418,0.999984574,0.999976766,0.999871619,0.999903355,0.998168778,0.00042253,0.19015706,0.99979478,0.665262494,0.983857175,0.698626238,0.999898555,0.999086279,0.999910655,0.999386881,0.995005219,0.721179015,0.885302822,0.22998661,0.556238808,0.567883835,0.899963307
29,Enc1,0.999984574,0.999976766,1,1,1,0.004803071,0.993993646,0.99979478,1,0.975768924,1,0.999898555,0.999086279,0.999910655,0.999386881,1,1,1,0.7246238,0.962852502,0.813440846,1
30,Adam23,0.999984574,0.999976766,0.999871619,0.999903355,1,0.002416694,0.790584855,0.99979478,0.999605559,0.94057476,0.927194963,0.999898555,0.999086279,0.999910655,0.999386881,0.995005219,1,1,1,0.983851099,1,1
31,Rhobtb2,0.999984574,0.999976766,1,0.999903355,1,0.000524688,0.353254991,1,0.995597817,1,1,1,1,1,1,1,1,1,1,1,1,1
32,Myh10,0.999984574,0.999976766,1,0.999903355,1,0.002522611,0.919003936,0.99979478,0.999605559,0.999274178,1,0.999898555,0.999086279,0.999910655,0.999386881,0.995005219,0.828311477,0.986042127,0.972120473,0.962852502,0.462344966,1
33,Hspa8,0.999984574,0.999976766,0.999871619,0.999903355,0.998168778,0.019872811,0.611651791,0.99979478,0.843998579,0.983857175,0.620311531,0.999898555,0.999086279,0.999910655,0.999386881,0.995005219,0.995951687,0.999346344,0.901118975,0.980437952,0.555448558,0.835119647
34,Junb,0.999984574,0.004632615,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
35,Rpl8,0.999984574,0.999976766,1,0.999903355,1,0.935878522,0.997835604,0.99979478,0.999605559,0.956787488,1,0.000547237,0.213207478,0.008420271,0.062988862,0.008617727,2.30E-08,5.89E-06,4.81E-08,2.26E-06,0.03559731,0.034901095
36,Actb,0.999984574,0.999976766,0.999871619,0.999903355,0.998168778,0.165391684,0.636178912,0.99979478,0.999605559,0.94057476,0.993854676,0.272564841,0.999086279,0.62232832,0.999386881,0.019618824,0.00274986,0.001165819,0.00246096,9.19E-05,0.098129382,0.252615075
37,Ttc3,0.999984574,0.999976766,0.999871619,0.999903355,0.998168778,0.416439204,0.873287746,0.99979478,0.999605559,0.94057476,0.396226855,0.223912631,0.999086279,0.937378465,0.999386881,0.995005219,0.005802607,0.009595177,0.124536689,0.001269174,0.491962398,0.372065201
38,Atp1b1,0.999984574,0.999976766,0.999871619,0.999903355,0.998168778,0.682046969,0.993993646,0.99979478,0.462550985,0.971338356,0.446154018,0.42173913,0.999086279,0.999910655,0.999386881,0.995005219,0.228563801,0.528052086,0.065830074,0.002475117,0.42531639,0.840441572
39,Uchl1,0.999984574,0.999976766,0.999871619,0.999903355,1,0.435923591,0.993993646,0.99979478,0.999605559,0.983857175,1,0.272564841,0.999086279,0.908729914,0.999386881,0.966641393,0.00274986,0.053214483,0.031628663,0.004285137,0.0250039,0.674223455
40,Stmn3,0.999984574,0.999976766,0.999871619,0.999903355,1,0.216160681,0.446801287,0.99979478,0.657747759,0.983857175,0.352241913,0.471065488,0.999086279,0.999910655,0.999386881,0.995005219,0.018003153,0.190867651,0.119903436,0.03771059,0.0250039,0.829796168
41,Hsp90aa1,0.999984574,0.999976766,0.999871619,0.999903355,0.998168778,0.065557305,0.919003936,0.99979478,0.880436644,0.927772078,0.637433334,0.999898555,0.999086279,0.999910655,0.999386881,0.995005219,0.260646859,0.885302822,0.171183158,0.576440181,0.098129382,0.968407333
42,Cacng3,0.999984574,0.999976766,1,0.999903355,1,0.435923591,0.997835604,0.99979478,0.999605559,0.94057476,1,0.92172943,0.999086279,0.999910655,0.999386881,0.995005219,0.747923935,0.779606854,0.527624486,0.689858359,0.098129382,0.989010646
43,Gprasp2,0.999984574,0.999976766,0.999871619,0.999903355,1,0.918901694,0.993993646,0.99979478,0.882889047,0.94057476,1,0.275547398,0.699105008,0.45907536,0.999386881,0.582670618,0.03803823,0.146099488,0.364187995,0.017028263,0.098129382,0.252615075
44,Rtn3,0.999984574,0.999976766,0.999871619,0.999903355,0.998168778,0.120569263,0.636178912,0.99979478,0.29894247,0.975768924,0.92519559,0.658183293,0.999086279,0.999910655,0.999386881,0.995005219,0.048628812,0.528052086,0.165604042,0.291826763,0.098227142,0.861326599
45,Ckb,0.999984574,0.999976766,0.999871619,0.999903355,0.998168778,0.099638146,0.919003936,0.99979478,0.999605559,0.975768924,0.969232137,0.5324527,0.999086279,0.999910655,0.999386881,0.077376549,0.146345711,0.034212234,0.14569037,0.0492542,0.527472817,0.110230545
46,Atp5g3,0.999984574,0.999976766,0.999871619,0.999903355,0.998168778,0.762368993,0.993993646,0.99979478,0.999605559,0.983857175,0.694786087,1,1,1,1,0.001638177,1,0.000525643,0.003741421,4.38E-05,1,1
47,Slc25a4,0.999984574,0.999976766,0.999871619,0.999903355,0.998168778,0.388148887,0.993993646,0.99979478,0.657747759,0.983857175,1,0.078886276,0.814451337,0.999910655,0.999386881,0.019618824,0.005628941,0.001743896,0.023687339,0.002751126,0.978809372,0.039467177
48,Rbm39,0.999984574,0.999976766,0.999871619,0.999903355,0.998168778,0.719080657,0.997835604,0.99979478,0.999605559,0.873208044,0.604881094,0.024102687,0.999086279,0.533801459,0.999386881,0.966641393,0.001268098,0.014882956,0.001391228,0.038510968,0.642476048,0.761941321
49,Camk2a,0.999984574,0.999976766,0.999871619,0.999903355,0.998168778,0.528449168,0.790584855,0.99979478,0.376804167,0.021477638,0.312888297,0.999898555,0.999086279,0.999910655,0.999386881,0.995005219,0.844403555,0.999346344,0.119903436,0.897553486,0.700577582,0.968407333
50,Matk,0.999984574,0.999976766,0.999871619,0.999903355,1,0.822541779,0.997835604,0.99979478,0.997575552,0.021477638,1,0.191747299,0.999086279,0.999910655,0.999386881,0.966641393,0.353162682,0.324635838,0.076792707,0.42471221,0.28314625,0.849645122
51,H3f3b,0.999984574,0.999976766,0.999871619,0.999903355,0.998168778,0.238430826,0.713341315,0.99979478,0.523832931,0.014873897,0.437783908,0.764247563,0.999086279,0.999910655,0.999386881,0.995005219,0.345127566,0.678178068,0.14569037,0.061200987,0.372108834,0.761941321
52,Plxna4,0.999984574,0.999976766,1,0.999903355,1,0.942174546,0.997835604,0.99979478,0.999605559,0.030151485,1,0.999898555,1,0.999910655,1,0.995005219,1,1,0.871751513,1,1,1
53,Baiap2,0.999984574,0.999976766,0.999871619,0.999903355,1,0.984230513,0.997835604,0.99979478,1,0.064959956,1,0.999898555,0.999086279,0.999910655,0.999386881,0.995005219,0.909850174,0.927177618,0.968084469,0.882245127,0.449821181,0.968407333
54,Pitpnm2,0.999984574,0.999976766,1,0.999903355,1,0.792756121,0.993993646,0.99979478,1,0.062320011,1,0.907189426,0.999086279,0.999910655,0.999386881,1,1,1,0.418905624,1,0.978809372,1
55,Sst,1,1,1,1,1,1,1,1,0.001794711,1,1,1,1,1,1,1,1,0.002270167,1,1,1,1
