Cell Type,Sex,Time Point
L2_3_IT,Female,P30
L5,Female,P30
L6,Female,P30
Pvalb,Female,P30
Vip,Female,P30
Sst,Female,P30
Sncg,Female,P30
Lamp5,Female,P30
L6,Female,P60
Sncg,Female,P60
Pvalb,Female,P150
Vip,Female,P150
