"","SYMBOL","FC_mouse","logFC_mouse","P.Value_mouse","adj.P.Val_mouse","AveExpr_mouse","Sex_mouse","DEG_method_mouse","Cell_Type_mouse","Metadata_mouse","Time_point_mouse","Tissue_mouse","broad_class_mouse","FC_human","logFC_human","P.Value_human","adj.P.Val_human","AveExpr_human","Sex_human","DEG_method_human","Cell_Type_human","Metadata_human","Time_point_human","Tissue_human","broad_class_human"
"11","AHI1",1.72690529610735,0.788188967300771,0.0118160242912232,0.0464414098600552,9.94699652165624,"females","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_F_P30_CORT","P30","CORT","Glutamatergic",-1.543515168,-0.62621966,4.92305e-09,3.05886e-06,9.512124382,"female","LimmaVoomCC","Vip","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT","GABAergic"
"12","AHI1",1.72690529610735,0.788188967300771,0.0118160242912232,0.0464414098600552,9.94699652165624,"females","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_F_P30_CORT","P30","CORT","Glutamatergic",-1.438269081,-0.52433361,2.73849e-05,0.004724403,8.999489079,"female","LimmaVoomCC","Lamp5","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT","GABAergic"
"13","AKT3",-1.61702592717844,-0.693342810977238,0.00138873484681167,0.0268098512450363,7.80344636246745,"females","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_F_P30_CORT","P30","CORT","Glutamatergic",-1.285419699,-0.362239487,0.00173068,0.0123685,8.482562789,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT","Glutamatergic"
"14","ALDOA",1.41436112164261,0.50015052317887,0.00112449466331969,0.0279874227315123,8.70011197369749,"females","LimmaVoomCC","Pvalb","M_MUT_and_WT_F_P30_CORT","P30","CORT","GABAergic",-1.326201616,-0.407300118,0.000166109,0.00568124,8.27036202,"female","LimmaVoomCC","Vip","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT","GABAergic"
"15","ALDOA",1.41436112164261,0.50015052317887,0.00112449466331969,0.0279874227315123,8.70011197369749,"females","LimmaVoomCC","Pvalb","M_MUT_and_WT_F_P30_CORT","P30","CORT","GABAergic",-1.489579605,-0.574905225,3.12796e-08,4.15839e-06,8.083339737,"female","LimmaVoomCC","Pvalb","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT","GABAergic"
"16","ANK2",2.16664404959903,1.11546215755765,7.84448594846353e-06,0.00245308282016952,10.8516040983884,"females","LimmaVoomCC","L6","M_MUT_and_WT_F_P30_CORT","P30","CORT","Glutamatergic",-1.275872436,-0.351484093,0.001837018,0.02964676,9.049166224,"female","LimmaVoomCC","Vip","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT","GABAergic"
"17","ANK2",2.16664404959903,1.11546215755765,7.84448594846353e-06,0.00245308282016952,10.8516040983884,"females","LimmaVoomCC","L6","M_MUT_and_WT_F_P30_CORT","P30","CORT","Glutamatergic",-1.404646323,-0.490206919,0.000214364,0.026255835,9.444173061,"female","LimmaVoomCC","Sncg","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT","GABAergic"
"18","ANK2",1.57245401122563,0.653017823942767,1.19984378758749e-05,0.00139359633995347,10.4138172095678,"females","LimmaVoomCC","Pvalb","M_MUT_and_WT_F_P30_CORT","P30","CORT","GABAergic",-1.275872436,-0.351484093,0.001837018,0.02964676,9.049166224,"female","LimmaVoomCC","Vip","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT","GABAergic"
"19","ANK2",1.57245401122563,0.653017823942767,1.19984378758749e-05,0.00139359633995347,10.4138172095678,"females","LimmaVoomCC","Pvalb","M_MUT_and_WT_F_P30_CORT","P30","CORT","GABAergic",-1.404646323,-0.490206919,0.000214364,0.026255835,9.444173061,"female","LimmaVoomCC","Sncg","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT","GABAergic"
"20","ANK3",2.2695843480547,1.18242810636743,2.87981559532073e-05,0.037868972545014,10.5393749255563,"females","LimmaVoomCC","Vip","M_MUT_and_WT_F_P30_CORT","P30","CORT","GABAergic",-1.259114324,-0.332409281,0.000396005,0.008302449,10.56474768,"female","LimmaVoomCC","Oligo","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT","Non-neuronal"
"21","ANK3",2.2695843480547,1.18242810636743,2.87981559532073e-05,0.037868972545014,10.5393749255563,"females","LimmaVoomCC","Vip","M_MUT_and_WT_F_P30_CORT","P30","CORT","GABAergic",-1.427998927,-0.513994896,7.22113e-05,0.014949844,9.505520906,"female","LimmaVoomCC","Sncg","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT","GABAergic"
"22","ANK3",1.58462451560966,0.664141027340626,1.06125935197953e-05,0.00128004204915685,9.96365618488143,"females","LimmaVoomCC","Pvalb","M_MUT_and_WT_F_P30_CORT","P30","CORT","GABAergic",-1.259114324,-0.332409281,0.000396005,0.008302449,10.56474768,"female","LimmaVoomCC","Oligo","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT","Non-neuronal"
