"","GO.ID","Term","Annotated","Significant","Expected","Fisher"
"1","GO:0003735","structural constituent of ribosome",156,28,5.95,"6.4e-12"
"2","GO:1904315","transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential",42,9,1.6,"2.3e-05"
"3","GO:0022851","GABA-gated chloride ion channel activity",12,5,0.46,"5.0e-05"
