"","GO.ID","Term","Annotated","Significant","Expected","Fisher"
"1","GO:0003735","structural constituent of ribosome",157,18,2.27,"1.2e-11"
"2","GO:0005344","oxygen carrier activity",7,3,0.1,"0.00010"
"3","GO:1990948","ubiquitin ligase inhibitor activity",9,3,0.13,"0.00024"
"4","GO:0048027","mRNA 5'-UTR binding",28,4,0.41,"0.00066"
"5","GO:0016595","glutamate binding",13,3,0.19,"0.00077"
