"gene_name","module","color","kME_green","kME_turquoise","kME_blue","kME_grey","kME_magenta","kME_brown","kME_yellow","kME_black","kME_pink","kME_red"
"Xkr4","green","green",0.142991652364051,0.160861565947013,0.0888643681527659,0.149006005297115,0.089017692441564,0.0715863038404187,0.119685485132867,0.0860385076880403,0.100286784723043,0.191080264102063
"Mrpl15","turquoise","turquoise",0.0538277768620676,0.144869792434226,0.0618910451687329,0.0959641010463464,0.0598613056030515,0.069282509740457,0.0549692541906204,0.108392216511969,0.0660172950064213,0.0785421931126351
"Tcea1","turquoise","turquoise",0.0579017077754358,0.1830554163015,0.0669606983475515,0.0648437903005175,0.0353719708539665,0.0356711976562666,0.118734054637009,0.110459012671064,0.06063790646224,0.0891394031646375
"Atp6v1h","turquoise","turquoise",0.0948584139134675,0.210711078777149,0.103546486438981,0.187004352072312,0.108115642681754,0.15042487153888,0.127850624947207,0.183670979405848,0.129853120710352,0.159280051416914
"Rb1cc1","turquoise","turquoise",0.0913401627728677,0.313583805449388,0.115878510510821,0.249485661537906,0.129930570199338,0.232278345816802,0.0701537391568568,0.276292885327118,0.132635836512132,0.157536407456713
"4732440D04Rik","turquoise","turquoise",0.0562877379000548,0.168375410455129,0.0709675373202394,0.112381150161955,0.0595498538220727,0.0889955607127948,0.0705958631729827,0.131552184793089,0.085642709932278,0.0960651571234261
"St18","blue","blue",-0.274215642517521,-0.232000788455193,0.0418348669937196,-0.283256941191478,-0.238576019521665,-0.291638102833505,-0.174821702931795,-0.284329727309522,-0.244893147183485,-0.305511744580333
"Pcmtd1","turquoise","turquoise",0.049021646694505,0.26776754099918,0.0935601768070319,0.198559441117224,0.100140363985308,0.193740789113235,0.0914288105466955,0.253779602344593,0.141716329283735,0.11620731705319
"Sntg1","grey","grey",0.260123689491529,0.237293623570061,0.0929987200589083,0.229649107680611,0.0724917394455727,0.167277164826826,0.150143764269121,0.184753670808167,0.207130796340834,0.259055975145509
"3110035E14Rik","grey","grey",0.0215425374583997,0.152365280345652,0.151610938075405,0.230585286843517,0.301146781001213,0.248395560498079,0.0767657645417335,0.234931727020568,0.0100725985738256,0.0653915201293905
"Vcpip1","grey","grey",0.0466850902643577,0.112327972186821,0.0927168011882233,0.114438429607411,0.0583202373838041,0.0838724651052078,0.0994674086314038,0.0920933193332718,0.0631794678426264,0.0903978146657716
"Sgk3","grey","grey",-0.0340785938393255,0.110297732414178,0.0620380571449876,0.135671670290999,0.0641141532202216,0.151898685927212,-0.0136519670578301,0.153629908106445,0.0708675077709813,0.0207656734406423
"Cops5","grey","grey",0.0662778225843484,0.127723190090498,0.0563605729871534,0.121620203238566,0.0840183896983926,0.0994623687503745,0.0924288490669711,0.113221032774656,0.100298894394338,0.110388241864087
"Cspp1","grey","grey",0.123788388219014,0.235653544917842,0.0840182968248593,0.257786425709017,0.149615629793415,0.229765376490084,0.049181178401559,0.238976479704444,0.16407637822814,0.160327216944821
"Arfgef1","grey","grey",0.0702797116332768,0.14084515143822,0.079606262660804,0.17101000298931,0.0977798600135904,0.148782015467258,0.0622724184661547,0.147536995276994,0.0992965996639358,0.107393962903362
"Prex2","grey","grey",0.00880496030724233,0.00181355419945924,0.0772426682464494,-0.0203693415327168,0.0549911733547009,-0.0246262549243507,0.012146928727537,-0.0103926501118531,0.0247764043856421,-0.0133598771664179
"A830018L16Rik","magenta","magenta",0.170120991775562,0.292787170910449,0.0693824032407244,0.2282121975896,0.387769450485841,0.176186069518026,0.126490051847644,0.244708780044266,0.153508189565773,0.229611948364648
"Sulf1","magenta","magenta",-0.0143017861512191,0.0415918442258953,0.0456538668600163,0.0788234960040687,0.194275824056065,0.0962529657745854,0.0398498798317415,0.0882167965476163,0.0186955065643629,0.0419656939371948
"Ncoa2","grey","grey",0.0520456651877633,0.121824284821213,0.0749909216212688,0.143495414606199,0.0717299838406487,0.124275561245474,0.0320685654771131,0.124956120405165,0.0930884974788469,0.0789752451618004
"Lactb2","grey","grey",0.0702327561352218,0.14815497783975,0.0822182409530768,0.127987119871806,0.0973729705542724,0.0713428461935627,0.0563912170990696,0.100959370487398,0.0620695722814346,0.0981798136586993
"Kcnb2","brown","brown",0.0774117201542091,0.143489225373269,0.0515581791073835,0.196929736023823,0.0327012987682507,0.230795270252418,0.0605634269267966,0.205786097084661,0.143732215617111,0.099973349141037
"Terf1","turquoise","turquoise",0.0747360788423441,0.177026371582825,0.0530170047787359,0.141110202645267,0.0603836661880093,0.137104571355741,0.077937769677022,0.169021106310031,0.121270869199248,0.11403670151387
"Rpl7","yellow","yellow",0.0265995555947909,0.0419158986181388,0.0442373218612282,0.0365245592111181,0.0249124905751608,0.0230065473701526,0.150745212008726,0.0269962851307354,0.0415446212458116,0.0725118993926995
"Stau2","grey","grey",0.125035639349254,0.196115903675767,0.0716918737565513,0.177413565122926,0.11117865450886,0.137228235680237,0.0991585208295929,0.168598712419468,0.130047645643034,0.160208155258882
"Ube2w","grey","grey",0.0886508494764054,0.175055258534442,0.0745771746884878,0.171880250164956,0.115648475691441,0.144101577033178,0.137115637577967,0.161666655857921,0.134116200397384,0.159620863341836
"Eloc","yellow","yellow",0.0599279251647768,0.112620072255933,0.0686686844866445,0.101065825948327,0.0484213676276489,0.0747735348572173,0.173578872228972,0.0882646415307788,0.067592006106796,0.116498515378135
"Jph1","grey","grey",-0.0441700514702566,0.166233807850464,0.0480550597293396,0.130755109423813,0.0724063638642259,0.169075002131906,0.0295332708992252,0.220353207030879,0.0977026345844388,0.0430475937527451
"Gdap1","grey","grey",0.189267661937552,0.246182557380669,0.0847542513218097,0.27042021444726,0.199742796754493,0.220588056446351,0.15426528788958,0.233024209813045,0.210200173473488,0.254800035439885
"Crispld1","grey","grey",0.0771796553850611,0.0679889298887806,0.0240755108474946,0.0729108178915161,0.00723874366509673,0.046088000921261,0.0867444530669771,0.0374736194204627,0.0844793371062458,0.0811449983832543
"Tmem14a","grey","grey",0.0124336741261673,0.0714194108274122,0.0571419948699473,0.0779977261765705,0.0271455552474394,0.0812968125389645,0.119890882595585,0.0830077629899178,0.0460461046833159,0.0600340420624147
"Kcnq5","brown","brown",0.108266443289898,0.341758921406877,0.0881160029697266,0.294810504399942,0.125653410196692,0.345228477794149,0.142203899457944,0.398233841645775,0.179548291713069,0.154705285309702
"Rims1","brown","brown",0.149849598531402,0.331796101545699,0.105774556425569,0.303641921603676,0.185637955187795,0.304336559826121,0.130188922775422,0.339697731327859,0.153993347749623,0.197436667809959
"Ogfrl1","turquoise","turquoise",0.0858882101503277,0.200921340414791,0.0806838106115824,0.147056331394536,0.176973282081199,0.122751338088809,0.158857513211994,0.175010995538611,0.0796797657406894,0.137207205230833
"Smap1","turquoise","turquoise",0.0709381369766477,0.300665757901151,0.0937173858185252,0.16694683135306,0.161156056379969,0.149838189189839,0.141264788022802,0.248717586230746,0.0991432509352326,0.134974442234178
"Fam135a","turquoise","turquoise",0.074160703320754,0.172518016298844,0.0710414891142216,0.123816092225616,0.0442051698831621,0.0925763811452784,0.0579049834465527,0.133573431545003,0.0772736184780762,0.0971033138473959
"Col19a1","green","green",0.182592447106847,0.155096336669096,0.0676999016007244,0.0952421766462292,-0.0444433854089172,-0.0339420496297879,0.134930258364307,0.00186946536837669,0.0612830995530414,0.215053733893026
"Lmbrd1","grey","grey",0.0726516327815578,0.178754013478062,0.100602199918352,0.150762909990862,0.0835986745296204,0.119827982697337,0.127522991762119,0.147976693874641,0.0754523356784628,0.118307224683306
"Adgrb3","brown","brown",0.190654996039039,0.342441446913193,0.117428951897779,0.441492230024871,0.258323423586814,0.445173968430982,0.112171702410724,0.380245922678053,0.283715559992575,0.325949768318647
"Phf3","turquoise","turquoise",0.0730621097296579,0.30482915552334,0.0873548345606057,0.180889313884701,0.120371423203375,0.166594087648897,0.0892938663684029,0.263175061828315,0.141682576986369,0.131993163224746
"Ptp4a1","blue","blue",-0.00688258934305511,0.0659543815727271,0.0722894123489144,0.0512210179952992,0.00982343871872857,0.0374009236960854,0.0263387960625572,0.04912314684584,0.00716934845167076,0.0110951662954407
"Khdrbs2","black","black",0.089285612623949,0.283340676846355,0.0791192612281968,0.270702174800159,0.249335574580803,0.297334229327024,0.0507775567969406,0.380706905173921,0.17148059992938,0.134611159068673
"Rab23","grey","grey",0.0466798898907567,0.116677216615833,0.0569523635208422,0.113506694156812,0.0628347231180333,0.101507285330145,0.0324027944639241,0.115112819651232,0.0772133858859714,0.0733265846070024
"Zfp451","grey","grey",0.0762856732341184,0.203365635664924,0.103804486627116,0.21667273326831,0.0966007049804597,0.199104601524287,0.0668282842087171,0.215792913934192,0.136400560551207,0.122263470127115
"Bend6","turquoise","turquoise",0.110150657536147,0.229892017840758,0.0708189791476385,0.126056414532279,0.0797499240054759,0.0689034829293907,0.13333992179921,0.139545707010285,0.0822552380647236,0.151349131646508
"Dst","blue","blue",0.036397289788316,0.1091157401541,0.183931498639132,0.194625066594732,0.0493887249779381,0.155831038512449,0.00735152249581874,0.0839186874894431,0.00118972615019548,0.0631411466506709
"Arhgef4","grey","grey",0.0783720093095141,0.178934735107495,0.0832388513377907,0.178515949208546,0.101897805457428,0.157690144195465,0.113621686978046,0.176528156243083,0.108013803415127,0.139367807596509
"Fam168b","grey","grey",0.0581547626092523,0.126449722854645,0.0817950148492769,0.11433526766376,0.0512471171968233,0.092194169854497,0.133458927403612,0.107149853015714,0.0700555429775177,0.106268148284413
"Plekhb2","grey","grey",0.111237179662367,0.10155165490383,0.0687012116128106,0.128452202002941,0.0700034696301473,0.0885250456845752,0.132492984950058,0.0817580258471158,0.0880803623738105,0.142432045244187
"Uggt1","grey","grey",0.0603061410931872,0.136317591800986,0.0764355196961545,0.143895724889808,0.0747263818317409,0.113056778560643,0.0493953564467325,0.12394721609135,0.0707782359254988,0.0858816841959971
"Kansl3","grey","grey",0.0889767633602836,0.108224628358894,0.0693477169545431,0.13935101832569,0.101708009555402,0.0917928197014242,0.0432016695562028,0.0896321710825841,0.0824524833712273,0.108813686671498
"Lman2l","turquoise","turquoise",0.0377386001759559,0.166448307563717,0.0475723882634021,0.12790150979836,0.125447946668673,0.125424811356655,0.038550191733129,0.17306679207914,0.138966126504165,0.104380640304566
"Cnnm3","grey","grey",0.0426629531851309,0.0512969994088994,0.0286368543675869,0.0765400590406456,0.0531723048622471,0.069974057198196,-0.0010103464949879,0.0618464947028426,0.0455001720128795,0.0344600033907184
"Cox5b","turquoise","turquoise",0.0852169298686134,0.307712172799785,0.100733445523462,0.0741980204787291,0.0708433312410744,0.0198565257789659,0.237190674990516,0.167539691401445,0.0671250159763995,0.140367868080616
"Actr1b","brown","brown",0.0945282989525472,0.222643545813478,0.0981842850043241,0.253961832327188,0.12199689241508,0.251394273386654,0.0912793743416694,0.2490944919028,0.12738353951903,0.144943116403365
"Gm33533","pink","pink",0.0664416903405429,0.0826424253586055,0.0167546809265656,0.112256044426979,0.12856671675025,0.109116005340373,0.0482116355357223,0.101389868859353,0.148278031118614,0.110131837333455
"Tmem131","grey","grey",0.0576992432901845,0.128788412541306,0.0479509499910337,0.139567294854959,0.0695538253522737,0.136494149120454,0.0612197715348498,0.142190512080362,0.104861800273206,0.0963261183467296
"Inpp4a","brown","brown",0.0795556457698951,0.226381557381586,0.0908092677053965,0.24035323958111,0.160519728958027,0.240902977425496,0.102795581833737,0.256515832683182,0.140783640053158,0.151806131285349
"Unc50","turquoise","turquoise",0.0266930849852428,0.122664763049271,0.0629318727123082,0.0489336891159674,0.0231359668774313,0.0265090386590503,0.0936531854044738,0.0763567367540456,0.0432491941608113,0.0569706673839663
"Mgat4a","grey","grey",0.029883320294361,0.0637349501409089,0.00981639818493732,0.104862547638227,0.0500792879536603,0.111530861585185,0.0016247327913147,0.0996967878944148,0.065614979232326,0.0382901021981486
"2010300C02Rik","brown","brown",-0.0274217379278926,0.227543490117054,0.0517592514189708,0.256600360528205,0.113493573834239,0.355529648393726,0.114507432898457,0.366891941621614,0.228704262188299,0.117025559923282
"Tsga10","grey","grey",0.0450768404301319,0.15601862687871,0.0564464286827149,0.15235842710024,0.0942456125807065,0.13859994071766,0.0386562521467737,0.160312471605025,0.142786184345208,0.110244591227128
"Mrpl30","yellow","yellow",0.0697524069397707,0.110623583296957,0.061123573967275,0.103120119508449,0.0609227317169632,0.075817846020741,0.151748539756498,0.0880096781092583,0.0875619704003783,0.1224823288721
"Txndc9","grey","grey",0.0388505295605098,0.098685289308418,0.0636094656964357,0.105727557029695,0.0532478863843207,0.0900704717759981,0.0758413289440658,0.0930842754541778,0.080074648873692,0.0836745820395107
"Eif5b","turquoise","turquoise",0.0449853625115504,0.153044903772315,0.0591321907193589,0.108689280904278,0.0702405602807574,0.0932451918794512,0.0637652698024949,0.131554854474826,0.0670277285785487,0.0731714415071806
"Rev1","turquoise","turquoise",0.0832471086473793,0.229878497139174,0.0608992210715716,0.165140673736085,0.119389420416894,0.15011970596874,0.0517316065098156,0.210071576729419,0.121313332581514,0.121387577147243
"Lonrf2","grey","grey",0.0963252389636667,0.150179579535604,0.0761286962989566,0.154292959513445,0.0828804550440014,0.12800475835159,0.144058905774342,0.143543928937867,0.114200899440006,0.152336070192417
"Chst10","grey","grey",0.0924860016471308,0.140533007521681,0.059927670732258,0.129973352852488,0.088367763099216,0.107163813720374,0.0845615771980614,0.126562055927228,0.0825663769313503,0.113370601451556
"Npas2","brown","brown",0.0351252666254352,0.180071937668583,0.0689670468551852,0.20269199965218,0.115762644430482,0.232389489849483,0.071460636115213,0.23788471656029,0.0938555309814889,0.0899498841007125
"Rpl31","turquoise","turquoise",0.0426902187388799,0.12896850212294,0.050767989132729,0.0774347481455142,0.0681614625272536,0.0633948422635855,0.126745268391959,0.100823737379907,0.0756691398804773,0.0890330777650077
