"module","group","color","odds_ratio","pval","fdr","Significance","Jaccard","size_intersection"
"blue","Astro","blue",7.30475320180962,7.73322469023192e-14,1.29255326965305e-12,"***",0.036986301369863,27
"blue","Sst","blue",0,1,1," ",0,0
"blue","Non-neuronal","blue",5.13894871093044,1.2154720445288e-06,1.29282026554427e-05,"***",0.0213371266002845,15
"blue","Sncg","blue",0,1,1," ",0,0
"blue","Peri","blue",103.179295648413,6.33229631671951e-96,3.70439334528091e-94,"***",0.122448979591837,78
"blue","Endo","blue",7.82011747406828,0.145776575773825,0.710660806897395," ",0.00162866449511401,1
"blue","Oligo","blue",168.353434079787,4.91828014149579e-236,5.75438776555008e-234,"***",0.273972602739726,180
"magenta","Pvalb","magenta",0,1,1," ",0,0
"magenta","L5","magenta",0,1,1," ",0,0
"magenta","L2_3_IT","magenta",0,1,1," ",0,0
"magenta","Lamp5","magenta",0,1,1," ",0,0
"magenta","Vip","magenta",0,1,1," ",0,0
"magenta","L4","magenta",0,1,1," ",0,0
"magenta","Astro","magenta",0,1,1," ",0,0
"magenta","Sst","magenta",0,1,1," ",0,0
"magenta","Non-neuronal","magenta",0,1,1," ",0,0
"magenta","Sncg","magenta",0,1,1," ",0,0
"magenta","Peri","magenta",0,1,1," ",0,0
"magenta","Endo","magenta",0,1,1," ",0,0
"magenta","Oligo","magenta",0,1,1," ",0,0
"brown","Pvalb","brown",0,1,1," ",0,0
"brown","L5","brown",38.7483568584723,0.0497083909988969,0.32310454149283," ",0.00201612903225806,1
"brown","L2_3_IT","brown",9999,6.14019498203979e-12,7.98225347665173e-11,"***",0.0141414141414141,7
"brown","Lamp5","brown",3.23608874538266,0.138509326552951,0.70459092203023," ",0.00385356454720617,2
"brown","Vip","brown",0,1,1," ",0,0
"brown","L4","brown",32.5606924950366,4.03550852157887e-06,3.9346208085394e-05,"***",0.00998003992015968,5
"brown","Astro","brown",0.805689897497457,0.719309534141867,1," ",0.00469483568075117,3
"brown","Sst","brown",0,1,1," ",0,0
"brown","Non-neuronal","brown",0.360676380231419,0.936759360003924,1," ",0.00166112956810631,1
"brown","Sncg","brown",0,1,1," ",0,0
"brown","Peri","brown",0,1,1," ",0,0
"brown","Endo","brown",0,1,1," ",0,0
"brown","Oligo","brown",0,1,1," ",0,0
"yellow","Pvalb","yellow",0,1,1," ",0,0
"yellow","L5","yellow",0,1,1," ",0,0
"yellow","L2_3_IT","yellow",0,1,1," ",0,0
"yellow","Lamp5","yellow",0,1,1," ",0,0
"yellow","Vip","yellow",1.9211321783249,0.416490239060951,1," ",0.00209643605870021,1
"yellow","L4","yellow",0,1,1," ",0,0
"yellow","Astro","yellow",1.80718767863163,0.126441641323525,0.672439637947836," ",0.0100671140939597,6
"yellow","Sst","yellow",0,1,1," ",0,0
"yellow","Non-neuronal","yellow",0.795751051432093,0.716878988596227,1," ",0.0035650623885918,2
"yellow","Sncg","yellow",1.14143599324804,0.589492168948741,1," ",0.00203252032520325,1
"yellow","Peri","yellow",0,1,1," ",0,0
"yellow","Endo","yellow",0,1,1," ",0,0
"yellow","Oligo","yellow",0,1,1," ",0,0
"black","Pvalb","black",0,1,1," ",0,0
"black","L5","black",0,1,1," ",0,0
"black","L2_3_IT","black",0,1,1," ",0,0
"black","Lamp5","black",0,1,1," ",0,0
"black","Vip","black",0,1,1," ",0,0
"black","L4","black",0,1,1," ",0,0
"black","Astro","black",1.15567714217188,0.582262271847019,1," ",0.00381679389312977,1
"black","Sst","black",0,1,1," ",0,0
"black","Non-neuronal","black",0,1,1," ",0,0
"black","Sncg","black",4.58506415029565,0.201499138829904,0.906746124734566," ",0.0065359477124183,1
"black","Peri","black",0,1,1," ",0,0
"black","Endo","black",0,1,1," ",0,0
"black","Oligo","black",0,1,1," ",0,0
"pink","Pvalb","pink",0,1,1," ",0,0
"pink","L5","pink",0,1,1," ",0,0
"pink","L2_3_IT","pink",0,1,1," ",0,0
"pink","Lamp5","pink",12.4227183309476,0.0813086074761956,0.475655353735744," ",0.0112359550561798,1
"pink","Vip","pink",14.1208565327629,0.0722695847744731,0.445028495716492," ",0.0116279069767442,1
"pink","L4","pink",0,1,1," ",0,0
"pink","Astro","pink",2.11513650156717,0.381810168973079,1," ",0.00476190476190476,1
"pink","Sst","pink",0,1,1," ",0,0
"pink","Non-neuronal","pink",0,1,1," ",0,0
"pink","Sncg","pink",8.39035486539643,0.116605789189929,0.649660825486747," ",0.0099009900990099,1
"pink","Peri","pink",0,1,1," ",0,0
"pink","Endo","pink",0,1,1," ",0,0
"pink","Oligo","pink",0,1,1," ",0,0
"red","Pvalb","red",0,1,1," ",0,0
"red","L5","red",0,1,1," ",0,0
"red","L2_3_IT","red",0,1,1," ",0,0
"red","Lamp5","red",14.2679369673858,0.0102205938025221,0.0703417338173579,"",0.0142857142857143,2
"red","Vip","red",25.9166740699242,0.000324914044682196,0.00292422640213976,"**",0.0220588235294118,3
"red","L4","red",0,1,1," ",0,0
"red","Astro","red",1.15567714217188,0.582262271847019,1," ",0.00381679389312977,1
"red","Sst","red",50.6796141712351,9.89014221906048e-09,1.15714663963008e-07,"***",0.0437956204379562,6
"red","Non-neuronal","red",0,1,1," ",0,0
"red","Sncg","red",14.7952557541851,0.00145124263556778,0.0106122117725894,"*",0.0198675496688742,3
"red","Peri","red",0,1,1," ",0,0
"red","Endo","red",0,1,1," ",0,0
"red","Oligo","red",0,1,1," ",0,0
