"","GO.ID","Term","Annotated","Significant","Expected","Fisher"
"1","GO:0044729","hemi-methylated DNA-binding",1,1,0,"0.00057"
"2","GO:0010385","double-stranded methylated DNA binding",5,1,0,"0.00286"
"3","GO:0004983","neuropeptide Y receptor activity",5,1,0,"0.00286"
