"","GO.ID","Term","Annotated","Significant","Expected","Fisher"
"1","GO:0003735","structural constituent of ribosome",149,28,6.45,"3.9e-11"
"2","GO:0001671","ATPase activator activity",24,8,1.04,"4.7e-06"
"3","GO:0050998","nitric-oxide synthase binding",20,6,0.87,"0.00015"
