"","GO.ID","Term","Annotated","Significant","Expected","Fisher"
"1","GO:0006412","translation",563,168,95.41,"1.1e-09"
"2","GO:0002181","cytoplasmic translation",90,37,15.25,"5.0e-08"
"3","GO:0048488","synaptic vesicle endocytosis",64,26,10.85,"6.2e-06"
