"","logFC","logCPM","F","PValue","FDR"
"Csmd1",0.416561955959155,10.606158571985,29.2183027471105,7.17799557380698e-08,2.05972582990391e-05
"Gfod1",0.80911006055125,9.05320568804818,29.5387510353061,8.162615409293e-08,2.30386474593111e-05
"Eno1",0.709760706978674,9.37253353745142,28.6439897968503,9.61757587646842e-08,2.67073877201866e-05
"Hecw2",0.782373752650516,9.31216437017528,28.5743718536833,9.96495791579533e-08,2.72328064184521e-05
"Rreb1",-0.893009857278215,9.09950889890291,28.0837094693473,1.27976193077303e-07,3.44275955658113e-05
"Calm1",0.500977818125661,10.1907064144755,27.9558511264698,1.36601651036333e-07,3.61826250137315e-05
"Gm1976",0.805080714655798,9.03230248679964,29.9735488974992,1.9099640307464e-07,4.98240162384254e-05
"Csdc2",0.855657679020257,8.97164062730427,32.2719188745975,2.04122203198541e-07,5.24533130219294e-05
"Frmd4a",0.619519677161001,9.49837154708234,26.6281167132903,2.69123653757721e-07,6.81397345109807e-05
"Erc2",0.564294890003679,9.7457203629825,26.3832191248756,3.050285546479e-07,7.48590758481235e-05
"Ntng1",-0.837251621044127,9.03469832850413,26.376404466618,3.0609361015853e-07,7.48590758481235e-05
"Inf2",0.880051864387369,8.9399458547135,33.7084143708122,3.11622768107406e-07,7.48590758481235e-05
"Calm2",0.601886563209068,9.69978892318944,26.3324454047871,3.13054159323046e-07,7.48590758481235e-05
"Nup93",0.730004516846499,9.19385460211452,26.262667533936,3.2443048331242e-07,7.57986296514904e-05
"Cpne9",0.79666867208261,9.13674221661359,26.254503220333,3.25788383238096e-07,7.57986296514904e-05
"Npnt",-0.839965825097118,9.0209822281978,25.9413217920584,3.82416815720544e-07,8.7787604216808e-05
"Ggt7",0.633225010719264,9.35366526055251,25.8223256230001,4.0643625773774e-07,9.20738559140878e-05
"Cox8a",0.630397176075562,9.50938642100915,25.7748247069093,4.16441936813651e-07,9.31153354041639e-05
"Ece2",0.881593856150322,8.86514327812738,50.4768049384492,4.51612888141944e-07,9.85851916388409e-05
"Camkk1",0.752221806712002,9.07096324064459,25.8021451157421,4.52356980860105e-07,9.85851916388409e-05
"Rgs6",0.553447301713011,9.80637479597386,25.2214352451307,5.5292645082216e-07,0.000118996683797564
"Tenm2",-0.623488317044046,9.59224034074042,25.0785102832518,5.94954261162537e-07,0.000123393879445281
"Coro6",-0.87949993540514,8.98960605940804,25.0698387115875,5.97604971009957e-07,0.000123393879445281
"Lpl",0.774385154066755,8.8225263395927,81.118122304009,5.98870181898469e-07,0.000123393879445281
"Ptprk",0.620329668781199,9.63900387502431,25.0554604103262,6.02026245768927e-07,0.000123393879445281
"Rbm39",0.369767126096864,10.367479955795,24.5777921663641,7.69152201799043e-07,0.000155387790304978
"Zfp955b",0.803825177656548,8.97502881703404,29.5771524648289,7.76171804973464e-07,0.000155387790304978
"Cntn6",0.859419289158857,8.88670927750351,39.687302833785,8.05990484519617e-07,0.000159502737608899
"1110008P14Rik",0.676501625726466,9.35592015227934,24.3862653908793,8.48593373835328e-07,0.000166025364969578
"Gm27243",0.865013711454943,8.88117916844966,40.101348381054,9.15884088397705e-07,0.000177177262358913
"Mast3",0.644422122780364,9.39670284991766,24.1406895883583,9.62621997763664e-07,0.000184149588172189
"Rbl1",-0.352194260989595,8.78517565240827,255.035832754528,1.04757881609951e-06,0.000197535406078105
"Slc30a3",0.682455662823538,9.29054115000317,23.961278295026,1.05554146246069e-06,0.000197535406078105
"Nrgn",0.502424504326504,10.0851942293606,23.4227513203696,1.39213857935417e-06,0.000257725267964954
"Bmper",-0.805944968157222,8.8318369402223,65.8516912261523,1.41645064120667e-06,0.00025943649669846
"Syt4",-0.614304364518254,9.37249943237858,23.2768136097531,1.50065138600004e-06,0.000269934194642635
"Gm26917",-0.583776351576685,10.7174297956555,23.2710309242057,1.50512183804919e-06,0.000269934194642635
"Sgsm1",0.653439702007748,9.27844754890879,23.0615795313281,1.67638160584672e-06,0.000297549093895495
"Col5a1",-0.819595444856224,8.9183089834561,30.2135425070968,1.74557514630148e-06,0.000306669054019108
"Mapk11",0.654975642590255,9.25795323761288,22.8930532381458,1.82828512104672e-06,0.000314843981088844
"2010300C02Rik",0.628229833271208,9.29348210939375,22.8926328300154,1.82868084503016e-06,0.000314843981088844
"Gm28285",0.757528172095978,8.9972130114066,25.4398461749478,1.99334464685387e-06,0.000339796185988941
"Plcb1",0.456957462051626,10.0261467250212,22.5369676040391,2.1962580422213e-06,0.000370715438362001
"Ak2",0.771956594127973,8.97533774927127,28.0870738595118,2.21933887111097e-06,0.000370974343144831
"Pdlim7",0.530189096516429,9.68147561701052,22.3723157878673,2.39071676120979e-06,0.00039557892675004
"Dgkb",0.652897099015849,9.42088696539379,22.3393436248,2.43168865632156e-06,0.00039557892675004
"Cadm2",0.355107315473502,10.7701907080865,22.3363343406447,2.43546298632191e-06,0.00039557892675004
"Sigmar1",0.67672277634332,9.13792562848601,22.2401042405238,2.55930992516906e-06,0.000411809710108745
"Dalrd3",0.673187334506428,9.15384168888946,22.0172124855614,2.87101045124006e-06,0.000457686916101853
"Fth1",0.540775758641671,9.76912819174305,21.9811232914666,2.92494995011582e-06,0.000462007920102239
"Rasgrp1",0.579577237022661,9.51738189905635,21.9309161355484,3.00168736940086e-06,0.000469818649445223
"Spred1",0.567421792935651,9.45488023684618,21.8576960364976,3.11723727644876e-06,0.000483508776474038
"Camk2d",-0.644262960013499,9.56051437268942,21.739863462919,3.31264476206325e-06,0.00050719933372249
"Numb",0.552734770213386,9.5843741523943,21.73038297311,3.32889148577809e-06,0.00050719933372249
"Nr4a2",-0.770310376021534,8.82426663532071,62.1718909152434,3.70945989171311e-06,0.000560226061014251
"Rtn4",0.512858444790103,9.67059254946268,21.4125425558248,3.92247411532665e-06,0.000587245537770251
"Il1rapl1",0.479952796900529,9.74715270712505,21.3412311500528,4.06963268957949e-06,0.000604024707038707
"Prex1",0.633686646154621,9.25557935095783,21.1545213452232,4.48173763875939e-06,0.000659504930995901
"Cep112",0.841357199196289,8.89707343066859,30.5613631974188,4.94791989664915e-06,0.000721935058140749
"Pcsk1",-0.72037732511266,9.03133675905648,20.938074966684,5.01224128092005e-06,0.000725174438097483
"Chrm2",-0.730402767228724,8.84861107767371,43.8384327187828,5.52170675431137e-06,0.000792226876574824
"Cyc1",0.686537822474864,9.04537767278013,23.0709782405602,5.64199623573425e-06,0.000801776930570365
"Dact2",0.698324238121963,8.98862296825384,25.7934923128392,5.68140707031333e-06,0.000801776930570365
"Dlgap2",0.406638500386441,10.2892043583762,20.6441726387129,5.83503214971796e-06,0.000816762183103204
"B230209E15Rik",0.612397684832933,9.24124921564479,20.3901444567731,6.65481251193862e-06,0.000923999250145542
"Camk1g",0.775450566130594,8.91656934860835,29.622771134439,6.8724986739298e-06,0.000946590477352395
"Clec18a",0.823434984200195,8.84648052797601,45.8529838159343,7.13010168238601e-06,0.000974277465600317
"Secisbp2l",0.622833882183591,9.22694812362397,20.1670955220381,7.469555842791e-06,0.00101262474760104
"Atp5g3",0.640616617773475,9.15915503081172,20.1438945609471,7.55986001144273e-06,0.00101686023294539
"Hmgn3",0.597761354549482,9.34111178477212,20.1022640403415,7.72465589811654e-06,0.00103065850353307
"Krt12",0.734141706200152,8.85891116389115,41.5312776828902,7.78216910375206e-06,0.00103065850353307
"Nptxr",0.546889896792164,9.63595404957746,20.0643067596326,7.87805526346664e-06,0.0010353929577947
"Dgkg",-0.69532636807493,9.01876111085909,20.8808464687331,8.22835647162556e-06,0.00107323949524225
"Arl5b",-0.723048308971792,8.97677049106637,24.0912898845846,8.72524696290132e-06,0.00112949305985167
"Ano3",0.553483802479917,9.4741463602634,19.8444679212388,8.82867856040901e-06,0.00113435342369076
"Gm26732",0.433039047605044,8.79786311227658,109.088644037691,9.02182734803814e-06,0.00115058371445313
"Arid5a",-0.524329304552733,8.79940607892655,127.708832430308,9.27957368717123e-06,0.0011747530895002
