"","GO.ID","Term","Annotated","Significant","Expected","Fisher"
"1","GO:0016595","glutamate binding",13,2,0.02,"0.00022"
"2","GO:0000979","RNA polymerase II core promoter sequence-specific DNA bindin...",18,2,0.03,"0.00043"
"3","GO:0008398","sterol 14-demethylase activity",1,1,0,"0.00172"
