"","GO.ID","Term","Annotated","Significant","Expected","Fisher"
"1","GO:0098978","glutamatergic synapse",487,98,36.82,"6.7e-19"
"2","GO:0014069","postsynaptic density",384,83,29.04,"2.0e-16"
"3","GO:0043025","neuronal cell body",648,112,49,"3.3e-13"
"4","GO:0030425","dendrite",666,128,50.36,"8.7e-13"
"5","GO:0030426","growth cone",199,46,15.05,"1.8e-09"
"6","GO:0030424","axon",652,132,49.3,"4.4e-09"
"7","GO:0043195","terminal bouton",74,21,5.6,"7.3e-08"
"8","GO:0005794","Golgi apparatus",1276,147,96.48,"3.1e-07"
"9","GO:0048471","perinuclear region of cytoplasm",595,79,44.99,"5.3e-07"
"10","GO:0005790","smooth endoplasmic reticulum",35,13,2.65,"7.5e-07"
"11","GO:0045202","synapse",1319,246,99.74,"2.8e-06"
"12","GO:0005886","plasma membrane",3590,382,271.46,"3.0e-06"
"13","GO:0043209","myelin sheath",197,34,14.9,"4.6e-06"
"14","GO:0008021","synaptic vesicle",224,43,16.94,"8.5e-06"
"15","GO:0043197","dendritic spine",195,41,14.74,"3.2e-05"
"16","GO:0098793","presynapse",530,109,40.08,"3.5e-05"
"17","GO:0098685","Schaffer collateral - CA1 synapse",108,21,8.17,"5.0e-05"
"18","GO:0032590","dendrite membrane",44,14,3.33,"7.9e-05"
"19","GO:0044306","neuron projection terminus",184,44,13.91,"7.9e-05"
"20","GO:0044327","dendritic spine head",16,7,1.21,"8.6e-05"
