"","GO.ID","Term","Annotated","Significant","Expected","Fisher"
"1","GO:0098978","glutamatergic synapse",309,67,22.59,"3.3e-16"
"2","GO:0030425","dendrite",660,127,48.25,"2.5e-14"
"3","GO:0043025","neuronal cell body",642,112,46.93,"1.1e-13"
"4","GO:0014069","postsynaptic density",315,64,23.03,"1.3e-11"
"5","GO:0030424","axon",648,133,47.37,"1.1e-10"
"6","GO:0045202","synapse",1187,226,86.77,"1.4e-09"
"7","GO:0030426","growth cone",190,44,13.89,"2.0e-09"
"8","GO:0043195","terminal bouton",73,21,5.34,"3.2e-08"
"9","GO:0005794","Golgi apparatus",1293,149,94.52,"3.2e-08"
"10","GO:0005886","plasma membrane",3619,382,264.56,"5.7e-08"
"11","GO:0048471","perinuclear region of cytoplasm",604,81,44.15,"6.1e-08"
"12","GO:0043209","myelin sheath",198,35,14.47,"8.7e-07"
"13","GO:0042734","presynaptic membrane",119,28,8.7,"2.2e-06"
"14","GO:0005790","smooth endoplasmic reticulum",34,12,2.49,"2.7e-06"
"15","GO:0060076","excitatory synapse",62,18,4.53,"1.2e-05"
"16","GO:0008021","synaptic vesicle",188,39,13.74,"1.7e-05"
"17","GO:0043204","perikaryon",120,23,8.77,"1.7e-05"
"18","GO:0030672","synaptic vesicle membrane",75,17,5.48,"2.2e-05"
"19","GO:0098685","Schaffer collateral - CA1 synapse",80,17,5.85,"5.3e-05"
"20","GO:0043197","dendritic spine",189,38,13.82,"5.4e-05"
