"","X","logFC","logCPM","F","PValue","FDR"
"1","Apoe",3.29532392545584,11.6791584439229,167.307029644439,6.60368628533804e-36,1.00243957811431e-31
"2","Sparcl1",2.70467154016198,11.506298343397,123.528452085478,2.244069249098e-27,1.70324856006538e-23
"3","Ednrb",2.27638262438281,11.3943724089864,116.346877795587,4.38581231347574e-25,2.21922103061872e-21
"4","Luzp2",2.4145751245256,11.5246154718051,98.770407226518,2.05264002512799e-22,7.78976889536072e-19
"6","Ptprz1",2.2415746237732,12.2718448303417,77.806201810767,3.96171449672423e-18,1.00231376767123e-14
"11","Slc1a3",1.82301828486263,11.6591105354883,56.0137891686161,1.39376689028788e-13,1.92339830859727e-10
"13","Cpe",1.56501120708854,11.5833024732075,50.2598249101176,2.30165921188807e-12,2.68762975665084e-09
"15","Ptn",1.41150853293241,11.8789031502422,49.177895172048,3.90781307559312e-12,3.95470683250024e-09
