"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Rap1gap",2.118265944599,0.108629022799949,19.1252539248024,4.12564605809375e-21,2.04508275099707e-17,33.3539098274622
"Cpsf2",2.118265944599,0.108629022799949,19.1252539248024,4.12564605809375e-21,2.04508275099707e-17,33.3539098274622
"Prrt2",1.82231343022319,0.0934519707806766,16.0072618658675,1.72842041913223e-18,3.42711200705538e-15,28.9243585718429
"Emc9",1.82231343022319,0.0934519707806766,16.0072618658675,1.72842041913223e-18,3.42711200705538e-15,28.9243585718429
"Tmem251",1.82231343022319,0.0934519707806766,16.0072618658675,1.72842041913223e-18,3.42711200705538e-15,28.9243585718429
"Sufu",2.45298051734174,0.152728157194509,10.8873478569623,3.00874799724219e-13,4.72566902642863e-10,19.0526926252143
"Nup54",1.93297715423428,0.118989753244774,10.7986521367434,3.81332985792103e-13,4.72566902642863e-10,18.8478289853426
"Appl2",1.93297715423428,0.118989753244774,10.7986521367434,3.81332985792103e-13,4.72566902642863e-10,18.8478289853426
"Vstm2a",1.97237587249496,0.128081765151084,8.99821815188269,5.83744317906283e-11,5.78724116772289e-08,14.4213989336583
"Sgcd",1.97237587249496,0.128081765151084,8.99821815188269,5.83744317906283e-11,5.78724116772289e-08,14.4213989336583
"Nudt2",1.75400631446963,0.131984189923713,7.18414302279819,1.37913446878514e-08,1.2429762839578e-05,9.47717517395631
"Ptpdc1",2.02213482348604,0.162856834709822,6.25057685607723,2.56973454614128e-07,0.000212302902420372,6.79075808487709
"Tmem200a",2.01826257689423,0.165041178941096,6.02391161186803,5.25748320379678e-07,0.000400943757557241,6.13053495627916
"Smchd1",1.69024519849072,0.17148648422866,5.35244223536747,4.38221249690792e-06,0.00310323247816751,4.17129611372269
"Nrbp2",1.97501836555256,0.19896854650118,5.20896931716128,6.88113198804875e-06,0.00454796950196769,3.75407459316233
"Clcn6",1.88044295527572,0.179941359479888,5.16507872182241,7.89769912413485e-06,0.00489361181979206,3.62667445093726
"Cntfr",1.72234248659937,0.149845836414625,5.12635524663569,8.91760796774992e-06,0.00520053914072193,3.5143791887231
"Supt3",2.15656406884349,0.224882133240757,5.09337334730706,9.8886596928784e-06,0.00523796732720238,3.41881865063928
"Pold4",1.72155623079914,0.150289365327576,5.0885732363233,1.003846875296e-05,0.00523796732720238,3.4049177750732
"Pard6a",1.63509871180848,0.17997055910285,4.68321268426966,3.54577867423304e-05,0.0079321510338433,2.23892957186549
