"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Dzip3",0.0852986380629182,0.167630864233999,3.21093221192626,0.00132660491460415,0.0385296094053043,-2.59660133510773
"Cdh20",0.0159661348197501,0.00573365695461359,3.21026874554175,0.00132966825392638,0.0385536751541814,-2.59872582777532
"Otud4",-0.0409749649716048,0.0398057799683302,-3.20605827233192,0.00134926139211958,0.0390561368067903,-2.61219801244664
"Map2",0.189078230240654,1.05672041314941,3.20095928454276,0.00137334569116741,0.0396866999397322,-2.62848953284909
"Zfp512",0.0773985664459522,0.141595943556605,3.1979422579382,0.00138778226411898,0.0400083535195516,-2.63811689387311
"Atp6v0e2",0.12739975745351,0.382126640893883,3.19766529658166,0.00138911452342983,0.0400083535195516,-2.63900022607672
"Pacs2",0.0359431361991445,0.0284646470700506,3.19569667048408,0.00139861819208638,0.0402149350831237,-2.64527670212661
"Eme2",0.0193377322084968,0.00899688476196117,3.19439082822462,0.00140495526961041,0.0403299306344738,-2.64943792766325
"Pygb",0.055409570688653,0.0697796761144997,3.19370565523983,0.00140829090358412,0.040358529349889,-2.65162063578258
"Hnrnpk",-0.191208570253285,1.14155599429996,-3.19276607682553,0.00141287693607052,0.0403807841461399,-2.6546130256998
"Lhx2",-0.0598911561686997,0.079997540887939,-3.19246061476916,0.00141437084386126,0.0403807841461399,-2.65558567862115
"Cltc",0.138300831503036,0.465492404136448,3.19208261220714,0.00141622153822039,0.0403807841461399,-2.65678918656196
"Nap1l2",0.0786422195661129,0.132755919998451,3.19163212175646,0.0014184300482588,0.0403807841461399,-2.6582233001271
"Ift88",0.0441738362959344,0.0464240407278567,3.18652890314152,0.00144367106609337,0.0410316527714049,-2.67445502935711
"Canx",0.153029372563923,0.607432563425965,3.18291711214644,0.00146178486221944,0.0414117360585773,-2.68592732774963
"Adra1a",0.0129867279348341,0.00420299164926664,3.18290522066564,0.00146184484463677,0.0414117360585773,-2.68596507775756
"Cmtm3",-0.0373262320146182,0.0300503471395112,-3.17958023248471,0.00147870586612421,0.0418207108235654,-2.69651486955832
"Kcnn2",0.0321094414269613,0.0264684963420545,3.17873596577543,0.00148301558238663,0.0418739522542293,-2.6991918750152
"Pla2g4e",0.0146333108908273,0.00526919699099722,3.17438539317276,0.00150540797119365,0.042436761959204,-2.71297544297697
"Kcnd3",0.0220080315625797,0.0117379383160494,3.17347122464191,0.00151015262487764,0.0425010653905204,-2.71586933333585
"Dnmt3a",0.0733320291094671,0.121663439506758,3.16779151511659,0.00153994109693066,0.0432688335574068,-2.7338303676573
"Pcbp2",-0.105913427494835,0.260858298573374,-3.16306470931203,0.00156514348409334,0.0439054559147615,-2.748753531183
"Pcdh1",0.0374159270412353,0.0310891551000816,3.16250295303734,0.00156816377746934,0.0439187686508135,-2.75052559249072
"Ddx39b",-0.143586881518754,0.529728406975469,-3.16175981442615,0.00157216752307013,0.0439595366418249,-2.75286934197978
"Blmh",0.0887847721662975,0.1790822645723,3.15933548715579,0.00158529440229559,0.0442548527967693,-2.7605114894192
"Gm266",0.0133678151700816,0.00368898453330041,3.15752472377876,0.00159516480549821,0.0444390615288182,-2.76621569658806
"Emilin2",0.00820705786939069,0.00142191724273814,3.15718098820964,0.00159704487293458,0.0444390615288182,-2.76729815236564
"Rap1gap",0.036432491512877,0.0296164225496587,3.15449231628065,0.00161182114526579,0.0447780006411037,-2.77576097523012
"Tmem163",0.0429940800558452,0.0420726163052305,3.15356740585132,0.00161693324653236,0.0448478012366178,-2.77867054529821
"Commd4",-0.0807074691075758,0.148545099558675,-3.15206511874004,0.00162526840226059,0.0450066299772066,-2.78339460338286
"Syt1",0.145395220342799,0.537136395918302,3.15032324041831,0.00163498238883478,0.0452030707887463,-2.78886926124457
"Zfpm2",0.0464634639359289,0.051374371278094,3.14974074647473,0.00163824270465481,0.0452207410251277,-2.79069934368117
"Gm26765",0.00766440854194488,0.00142004497922185,3.14882083099714,0.00164340381379949,0.0452907389707168,-2.79358885073018
"Madd",0.0526440772625218,0.066106530180195,3.14750939119963,0.00165078741312701,0.0454216657914947,-2.79770670116385
"Zfp597",0.0525622174389163,0.0626852214513792,3.14608337342621,0.00165885074060553,0.0455708486893735,-2.80218237682316
"Tax1bp3",-0.0685912764675937,0.104784620357995,-3.14542024448479,0.00166261269323691,0.0456015805782561,-2.80426297257016
"Armcx3",0.0827133736981355,0.157381736417258,3.14462518736443,0.00166713342677539,0.0456213496704148,-2.80675692150185
"Apbb1",0.100624066114523,0.234139551307526,3.14436377769496,0.00166862228391095,0.0456213496704148,-2.80757677838234
"Wif1",0.0131332825115556,0.00385262870548832,3.1412319068594,0.00168655522023453,0.0460386877523515,-2.81739394684875
"Klc2",0.0535625949967407,0.0665839932992936,3.13707945395599,0.00171060538363535,0.0466214282440396,-2.83039517469555
"Nrep",-0.201451801228634,1.63675826356472,-3.13510935015735,0.00172212581164758,0.0468613793415521,-2.83655751595214
"Tpi1",0.123443987309131,0.371264504047423,3.13397090459025,0.00172881550417297,0.0469693308314837,-2.84011672890539
"Rpl28",-0.202506906574391,2.08051141848703,-3.13260997621023,0.0017368439013367,0.0471132562670767,-2.84436981410507
"Gm38399",0.00703736497737239,0.00130053464295508,3.12894033480927,0.00175866305223236,0.0476302275935836,-2.85582874883975
"Adgra1",0.0353938855528797,0.029595672818226,3.12793642319287,0.00176467591683642,0.0477181644471191,-2.85896125811176
"Ngdn",-0.0435579771758245,0.0417497260148973,-3.12516416220301,0.00178137850243306,0.0480944318059078,-2.8676063427461
"Aplp2",0.104072502068248,0.262733416558585,3.12358811372242,0.00179093870905471,0.0482769915759559,-2.87251771783892
"Atp5a1",0.164004355776353,0.757958363143214,3.12094001845633,0.00180710814229424,0.0486368637610925,-2.88076429907236
"Camk4",0.0668963651057926,0.102926594570104,3.11691117318788,0.00183196603803484,0.0492290935952913,-2.89329735788837
