"","GO.ID","Term","Annotated","Significant","Expected","Fisher"
"1","GO:0006958","complement activation, classical pathway",6,2,0.03,"0.00032"
"2","GO:0098883","synapse pruning",6,2,0.03,"0.00032"
"3","GO:0097105","presynaptic membrane assembly",7,2,0.03,"0.00044"
