"","GO.ID","Term","Annotated","Significant","Expected","Fisher"
"1","GO:0005577","fibrinogen complex",1,1,0,"0.00085"
"2","GO:0098688","parallel fiber to Purkinje cell synapse",26,1,0.02,"0.02198"
"3","GO:0005604","basement membrane",33,1,0.03,"0.02782"
"4","GO:0070062","extracellular exosome",35,1,0.03,"0.02949"
"5","GO:0043230","extracellular organelle",40,1,0.03,"0.03364"
"6","GO:1903561","extracellular vesicle",40,1,0.03,"0.03364"
"7","GO:0005793","endoplasmic reticulum-Golgi intermediate compartment",44,1,0.04,"0.03695"
"8","GO:0060076","excitatory synapse",66,1,0.06,"0.05500"
"9","GO:0062023","collagen-containing extracellular matrix",90,1,0.08,"0.07436"
"10","GO:0016324","apical plasma membrane",102,1,0.09,"0.08392"
"11","GO:0098590","plasma membrane region",616,2,0.53,"0.09058"
"12","GO:0031012","extracellular matrix",118,1,0.1,"0.09653"
"13","GO:0030312","external encapsulating structure",118,1,0.1,"0.09653"
"14","GO:0043231","intracellular membrane-bounded organelle",4899,6,4.18,"0.11384"
"15","GO:0042734","presynaptic membrane",144,1,0.12,"0.11672"
"16","GO:0045177","apical part of cell",149,1,0.13,"0.12056"
"17","GO:0043227","membrane-bounded organelle",5144,6,4.39,"0.15258"
"18","GO:0016607","nuclear speck",195,1,0.17,"0.15523"
"19","GO:0005783","endoplasmic reticulum",855,2,0.73,"0.15885"
"20","GO:0005654","nucleoplasm",1741,3,1.48,"0.16532"
