"","GO.ID","Term","Annotated","Significant","Expected","Fisher"
"1","GO:0008150","biological_process",6981,2,2,"1"
"2","GO:0000002","mitochondrial genome maintenance",12,0,0,"1"
"3","GO:0000003","reproduction",464,0,0.13,"1"
