"","X","logFC","logCPM","F","PValue","FDR"
"3","AC149090.1",-2.74955239394042,10.8413765691704,33.7602396638201,1.56397454834285e-08,7.14892766047518e-05
"8","Calm1",-2.36386455627791,10.7648018878973,24.120123903773,1.47618384694379e-06,0.00253036363664253
"12","Snrnp70",-2.16317017051726,10.8213222697434,21.8058160421852,4.52263120854237e-06,0.00492201047227054
"43","Rbm39",-1.86487683130525,10.8431492323485,16.3378147716674,6.71112389926432e-05,0.0214022423327004
