"","X","logFC","logCPM","F","PValue","FDR"
"1","Oaz1",-3.0801190992866,10.4793986334285,212.47181561975,6.58572338758766e-40,1.07208991026539e-35
"2","Rpl8",-2.8944475184496,10.4724502789094,186.338066378021,6.18048345532462e-38,5.03060450846148e-34
"3","Calm1",-2.30105043144662,10.7934087177346,125.07395517225,1.07104009376862e-27,5.81182056215312e-24
"4","Actg1",-2.25027129259574,10.7342095576924,121.215589322632,6.25291230774188e-27,2.24069235058337e-23
"5","Atp5g3",-2.77365362996567,10.4231047790173,164.589453946888,6.88215600031751e-27,2.24069235058337e-23
"6","Hnrnpa2b1",-2.08575235023891,10.7420508170138,114.495805884633,1.36913061382678e-25,3.71467954374769e-22
"7","Syt1",-1.63354335999585,12.0477076828943,112.073592964758,4.18237564327843e-25,9.72641329956137e-22
"8","Ly6h",-2.36868565107167,10.4293989608775,123.174630090534,9.59926971608821e-24,1.9533313963525e-20
"9","Actb",-2.0224009756735,10.7767372472889,104.043787174715,1.72275553977858e-23,3.11608193689505e-20
"10","AC149090.1",-1.83448996330447,11.0368703197793,100.11661019577,1.0715137304772e-22,1.74431720184383e-19
"11","Tmem59l",-2.34887911782132,10.4456936823665,114.522334646065,1.15819294869886e-21,1.61054734927046e-18
"13","Ntng1",-2.25763863213612,10.4309444315875,93.0181257966866,2.96219665560366e-21,3.70935379665939e-18
"14","Sncb",-2.13952109948352,10.4962599562327,91.5472863061986,6.1759177703328e-21,7.18126895594626e-18
"15","G3bp2",-1.9989180624834,10.5185999808098,90.5897732633839,9.26493580272575e-21,1.00549259955048e-17
"16","Pdlim7",-2.02700393289509,10.5071684300806,87.6102330149833,3.76649739754957e-20,3.83217569591934e-17
"17","Slc25a4",-1.9695746339476,10.4865512747939,88.0828422146522,9.31584089685559e-20,8.92073964470072e-17
"19","Uchl1",-1.79032095897444,10.6148261677877,80.3635229663536,1.15930685348834e-18,9.93281908838774e-16
"21","Pgrmc1",-2.0012563446277,10.4196863911529,89.1776738973374,7.2191975806043e-18,5.59625321022178e-15
