"","X","logFC","logCPM","F","PValue","FDR"
"1","Syt1",-1.64608880609154,11.6874978635448,396.913897740328,1.47184708836067e-81,2.49890198661875e-77
"2","Oaz1",-3.01441702701987,10.0482103860438,385.460544094764,3.57854717495901e-71,3.0378286968227e-67
"3","Rpl8",-2.64265261215791,10.0598601473633,334.008584928715,7.29399028889071e-67,4.12791223749288e-63
"4","Hnrnpa2b1",-2.16345843711581,10.2946431385404,269.755075659102,2.19359693870026e-57,9.31072220631327e-54
"5","AC149090.1",-1.9206111145946,10.8830262435102,257.497955105751,5.44918143271217e-55,1.85032404729174e-51
"6","Ly6h",-2.28438996128176,10.0247909936347,237.819594831143,3.49370776551994e-50,9.88602840716625e-47
"7","Actg1",-2.09980203571786,10.3945259116929,221.46919080574,7.0294781073438e-48,1.70494970437833e-44
"8","Col6a1",-2.47254870417589,9.94857571041018,219.171465683464,2.01381655184802e-47,4.27382217715945e-44
"9","Calm1",-2.09961581587651,10.6580818441247,218.714223241073,2.48332634154245e-47,4.6846571807453e-44
"10","Pgrmc1",-2.4078270615412,9.98096150526037,248.996240716532,3.0061911706496e-47,5.1039113695289e-44
"11","Plk2",-2.14515904941781,10.2547616382066,214.949816369375,1.39637610307886e-46,2.15524304346117e-43
"12","Atp5g3",-2.77187720315825,9.95586186688025,299.470285831619,5.1067422330448e-46,7.22518913605289e-43
"13","Pdlim7",-2.01779948982444,10.2002162884682,200.428892132043,1.11983727313497e-43,1.46250747871427e-40
"14","AC124490.1",-2.37306648914457,9.86659104283893,318.215840617759,3.39837245885121e-43,4.12125482902684e-40
"15","Slc25a4",-2.16022936933744,10.0351419386046,186.144229886474,5.91588391236107e-40,6.69599180427108e-37
"16","Atp6v0c",-1.78349871306413,10.5958647763451,181.459328256562,7.41793714616623e-40,7.87135855422564e-37
"17","Cpne7",-1.91562670685,9.97548878140873,180.448968244058,1.18764077964828e-39,1.18610383275697e-36
"18","Tmeff2",-2.07146686770061,10.0244910855312,179.117660008695,2.20878908147078e-39,2.08337894584505e-36
"19","Rpl27a",-2.30007976071177,9.90377393409713,252.059168928682,4.57029272139664e-39,4.08391735915116e-36
"20","Pea15a",-2.01032074436106,10.1534646836733,157.214539782344,6.31368220377819e-35,5.3596848227873e-32
"21","Hap1",-1.87389958227783,10.1551349782055,156.201859142251,1.01709387133799e-34,8.22296178456018e-32
"22","Map1b",-1.35543845284604,10.9855689976292,151.1667571416,1.09236780573297e-33,8.43010027533377e-31
"23","Ctxn1",-2.12482453147609,10.0221073145956,170.886498783867,1.23520789280541e-33,9.11798243654361e-31
"24","Camk2d",-1.6893723764685,10.2401654806987,149.218367057084,2.74131896561115e-33,1.93925472492276e-30
"25","Nnat",-2.1340023891427,10.1131805225864,147.726355018337,5.54870936776436e-33,3.76823950583613e-30
"26","Dpyd",-1.75970760560212,9.93662354157434,169.472361168013,1.86279273339692e-32,1.21640365490819e-29
"27","Ube2b",-1.66859046191907,10.1844802046629,141.960049383929,8.50506482305918e-32,5.16438166324214e-29
"28","Mtif2",-2.22343301902089,9.9097578993179,206.074086124469,8.51706246735658e-32,5.16438166324214e-29
"29","Lmo3",-1.86669097917366,9.94878948214862,148.630030678189,1.24752661448416e-31,7.30362305541798e-29
"30","Rbm39",-1.22690225471152,10.667016851069,133.890645297062,3.92600717680667e-30,2.22185832826079e-27
"31","Snrnp70",-1.32113879675236,10.5843490452934,130.262546619704,2.2093764256038e-29,1.21002557915811e-26
"32","1700020I14Rik",-1.72378738619982,10.1010712443805,130.004244289403,2.49883396678762e-29,1.32578759650375e-26
"33","Sncb",-1.80441568283124,10.1116632896059,129.5705172279,3.07278402704604e-29,1.58090082458144e-26
"34","Ptchd4",-1.98971560619325,9.88988203133395,164.839612531921,6.61341924677815e-29,3.30243035211175e-26
"35","Lrp1b",-1.61714764999105,10.5373687022584,127.726283508683,7.40541929572459e-29,3.59226310865177e-26
"36","Klhl7",-1.75871477547208,9.98822565395203,139.305116707131,6.38442020341377e-28,3.01096350593219e-25
"38","Grcc10",-1.962146941826,9.90176414659155,171.222668606167,6.78240206867371e-27,3.00612312741933e-24
"39","Dgkg",-1.83654640585196,9.9520445129531,145.823969429143,6.90533643358191e-27,3.00612312741933e-24
"40","Chd3os",-2.22477698707501,9.89474625963246,190.866090588054,7.56787641810054e-27,3.21218514566278e-24
"41","Mblac2",-1.62195549437001,10.0459160719804,117.4176211448,1.02589026222244e-26,4.24818655414943e-24
"43","Ntng1",-1.65050773631065,9.94499765445381,112.714109188504,9.81239540600317e-26,3.87429881867725e-23
"44","Grm7",-1.4985808286468,10.2160315691111,112.36556609812,1.16020772419259e-25,4.4768197139413e-23
"45","St6galnac5",-1.51610084361361,9.98116503662609,111.8417560421,1.65905886400344e-25,6.25944475401118e-23
"46","Srek1",-1.30744132659454,10.3471929256023,108.084192686471,9.10597378374722e-25,3.36089615001001e-22
"48","Ptma",-1.92030472955424,9.84582816703777,193.308640547972,3.1716647436749e-24,1.1182031493427e-21
"49","Arnt",-1.62347434569241,9.99034177429525,118.659312790939,3.22723255494123e-24,1.1182031493427e-21
"50","Ndufb5",-1.8734385411004,9.86343550555589,170.133880217852,3.9661924246962e-24,1.34676029972984e-21
"51","Tmem59",-1.88126927680444,9.90216448545177,146.052578106536,4.54694564959467e-24,1.51368712232977e-21
"52","Fam212b",1.47585590770248,10.2059785988916,103.930477918675,6.74945734701908e-24,2.20369782380173e-21
"53","Cst3",-2.09808273693824,9.94231046899652,139.073089107017,1.68028409988264e-23,5.38261574486935e-21
"54","Ddx50",-1.50490477944168,10.0813131690771,101.988231002267,1.72454758600297e-23,5.42210535465898e-21
"56","Actb",-1.41105946525525,10.4559975290433,101.620231352663,2.06021416333838e-23,6.2461278687784e-21
"57","Ndufs7",-1.81244090600479,9.86931226526159,162.939319429872,3.33790115064103e-23,9.88727667032834e-21
"58","Olfm1",-1.29452255662231,10.4706502413055,100.597621149326,3.37767726987303e-23,9.88727667032834e-21
"60","Ndufb9",-1.87617409046179,9.85436017958516,173.820497505371,1.25114450602136e-22,3.54032190387177e-20
"61","Rps16",-1.39856616033817,10.1499342276126,97.6345853492815,1.41700562718265e-22,3.94392156365688e-20
"62","Uchl1",-1.34695129555003,10.295857566894,96.8272245226301,2.09519158619662e-22,5.73744560491067e-20
"63","Usp11",-1.47370031058211,10.0262423650369,99.9748820589686,2.2244524816966e-22,5.99472289432459e-20
"66","Hint1",-1.74843828908703,9.86883381862894,154.092897093383,4.80911474799697e-22,1.23710833623474e-19
"67","Trps1",-1.53023782481532,10.0405339560933,94.9860296836717,5.11494986483611e-22,1.29614356425653e-19
"68","Prrc2c",-1.1625608089077,10.4419358724779,93.9836480233076,8.31812437712935e-22,2.07683993639562e-19
"69","Trim35",-1.70962290733139,9.91983719154818,123.703552930625,9.98450261663764e-22,2.45676645543875e-19
"70","Mecr",-1.89764446196002,9.86234948925286,169.533159571619,1.93562931664931e-21,4.694730648296e-19
"71","Kif3a",-1.47026758243512,10.0236769806492,95.0299813008599,2.35292825601289e-21,5.62648111698405e-19
"72","Tiam1",-1.3855882046901,10.004652218322,90.9665175528032,3.60046325633339e-21,8.4900923841706e-19
"75","Pcdh17",-1.53424293758392,9.92784672667229,101.811455143883,9.53152989705652e-21,2.15768419456301e-18
"77","Snhg20",-1.93674759103418,9.89216124655313,141.33984071602,1.39343397734463e-20,3.07243143731911e-18
"78","Trim9",-1.17570315479414,10.3989855989623,86.7274596093,2.83235099410175e-20,6.16508399716148e-18
"79","Ckb",-1.29414292275844,10.5030903681047,85.7691875072223,4.51786998073609e-20,9.70941728265029e-18
"80","Ddx5",-1.0053900143598,10.5698990179266,84.2900842483478,9.29281687035388e-20,1.97216806031085e-17
"82","Sptbn4",-1.32705662687319,10.0635346503059,83.2153221221821,1.5699989851794e-19,3.25066375248485e-17
"83","Rfx3",-1.32878054006752,10.1864775384759,83.1721919657461,1.60340006867217e-19,3.27982245372483e-17
"86","Atp1b1",-1.14160824803922,10.4787548573776,81.8746464091755,3.02129260765697e-19,5.96459370846512e-17
"88","Vdac2",-1.63938280357531,9.8855030910373,120.562170045526,4.59661257560793e-19,8.85227215497628e-17
"89","Cstf3",-1.31986792144785,10.0858321414806,80.9963297012953,4.64043009655371e-19,8.85227215497628e-17
"90","Mif",-1.60414867642033,9.90240042555554,108.74261333212,5.43321728533894e-19,1.02494625633872e-16
"93","Opa1",-1.53854068962562,9.93041605909249,102.387668160808,8.19879280396199e-19,1.49676456156631e-16
"94","Cbarp",-1.37941065017736,9.99226926989346,86.7288834476253,1.09831838695519e-18,1.98374995465162e-16
"95","Gprasp2",-1.25820035718227,10.2065037795371,78.9540916150602,1.25964928584518e-18,2.25119216579783e-16
"97","Rtn1",-1.11225829585022,10.4973898248526,78.2358712472463,1.79016098641105e-18,3.13333538425636e-16
"101","Ttc3",-0.806616044175732,11.0329829614656,76.8979112742915,3.44679910059009e-18,5.79403516136818e-16
"103","Ankrd12",-1.25475428127504,10.1492103089046,76.6273356297028,3.93533880417337e-18,6.48681380750053e-16
"104","Dync1i1",-1.38968077962365,9.98238192206611,84.8790569516015,4.63350832398345e-18,7.4947508544343e-16
"105","Rapgef6",-1.25732252203728,10.0448265094782,76.293310558989,4.63510919846626e-18,7.4947508544343e-16
"106","Prkcg",-1.2670916802773,10.2371506616272,75.7082606262146,6.17429499429795e-18,9.88935664275383e-16
"107","Col4a2",-1.38884040831724,9.94149752455793,87.5578159442883,6.33333196501219e-18,1.00492813179418e-15
"108","Specc1",-1.31089691073485,10.0059099328525,78.2206021812719,9.9035670615424e-18,1.55687742195247e-15
"113","2900055J20Rik",-1.09059339687549,10.6551547246954,72.7243374785772,2.66921450944967e-17,4.01043574702978e-15
"114","Chgb",-1.39342960659311,10.2552467565702,72.6274272549549,2.79931328268551e-17,4.16901236082759e-15
"118","Dusp11",-1.28894467284371,10.0310909690531,74.8266334312711,4.64630711151358e-17,6.68516967282013e-15
"119","Zbtb20",-1.45360588729634,10.0941429607775,71.5696406743265,4.7067821621593e-17,6.71527290328913e-15
"120","Rogdi",-1.22840216629546,10.0572093831972,72.8447743738392,5.74462733061329e-17,8.12769023492937e-15
"121","Kmt2e",-1.22855199318108,10.1517208206226,70.8543406099695,6.68977152937414e-17,9.38668934096811e-15
"123","Syngr3",-1.57021749699896,9.92286798344864,97.7064901137034,8.79811725928284e-17,1.21442629941548e-14
"125","Rab3c",-1.26516358660639,10.1272352430653,69.4997805683592,1.30237918445707e-16,1.76894350349698e-14
"128","Ccdc30",-1.53742725302036,9.88635061487487,104.74287739064,2.02823945063931e-16,2.69026948382455e-14
"131","Arfgap1",-1.3151700364254,9.97536863035981,75.6752548618067,6.49169735869811e-16,8.41343799663943e-14
"132","Bex2",-1.55706453728901,9.88499814720164,99.5698260168838,7.60338420130544e-16,9.7795649219518e-14
"133","Auts2",-1.11840368918435,10.2910426455253,65.7401523149598,8.29951230311526e-16,1.05946706678414e-13
"134","Ndufs3",-1.75762689616326,9.86551909059167,119.080731802443,1.20390445110257e-15,1.52536490827011e-13
"135","Oxct1",-1.39280635798956,9.9454235384493,76.8606812736789,1.37048329104876e-15,1.72356039373524e-13
"137","Cx3cl1",-1.08935609079554,10.4072493637473,64.5865209484497,1.46635785060785e-15,1.81721340055621e-13
"138","Tial1",-1.20113641740107,10.0329871703116,66.7370814541918,1.63235806304273e-15,2.00827356480721e-13
"139","2310035C23Rik",-1.29134093278548,9.98104431527653,71.9297688751086,1.80278175427151e-15,2.20198767079293e-13
"141","Syt5",-1.35149766120375,9.98617639731062,71.0654389503504,2.13839173357349e-15,2.56703795232245e-13
"146","Tax1bp1",-1.38471218012118,9.91682278559685,82.1643432321682,3.89257592891973e-15,4.52658589871228e-13
"150","Stxbp5l",-1.15123989294874,10.0420176682797,61.4333833279499,6.96323201765753e-15,7.88145021305263e-13
"151","Matk",-1.01101068622777,10.289811548153,60.9895934403206,8.67259556043323e-15,9.75121373675731e-13
"152","Add2",-0.953420012543105,10.4584671187247,60.9499349658692,8.8444373417212e-15,9.87900376235148e-13
"153","Epha6",-1.1725355876149,10.0041587679218,60.8893252088028,9.11367231975003e-15,1.0113197950635e-12
"155","Mdh2",-1.56655156313443,9.91896069743843,84.8070105857213,1.10475799252265e-14,1.21010201271287e-12
"156","Tor1aip2",-1.29491277980448,9.96066287448198,71.1475051598296,1.34407470496982e-14,1.46280130390882e-12
"158","Negr1",-1.0514503209244,10.2513131109084,60.0252073194422,1.39773359695678e-14,1.50194436766659e-12
"159","Rps7",-1.12233080840274,10.1159674053192,59.9791663717869,1.42995832158619e-14,1.52690769710002e-12
"160","Rpl9-ps6",-1.05776111876462,10.2126863383938,59.9172165386707,1.47449503974922e-14,1.56462354905389e-12
"162","Cadm1",-1.11700979857054,10.0327156839077,58.9541065917903,2.37572458977015e-14,2.48981802994553e-12
"163","Cntn5",-1.13724337305401,10.2759240505409,58.5444074962835,2.91044228787303e-14,3.03150240266922e-12
"165","Srrm2",-0.844924367164764,10.5925334354334,58.0265834837667,3.76205576267123e-14,3.87104137809892e-12
"166","Ptprt",-1.20127953936522,9.97102662755437,60.2430608712611,4.02957293516845e-14,4.12133068031867e-12
"169","Fubp1",-0.977027540118281,10.3098665296322,56.9115968673347,6.53994065300741e-14,6.57012499448283e-12
"170","Slc22a17",-0.970355744084149,10.3309817108868,56.8572052341584,6.71883016720926e-14,6.71013521052229e-12
