Cluster,DESeq2 (tot),Limma (tot),EdgeR (tot),DESeq2 Only,Limma Only,EdgeR Only,DESeq2 & Limma,DESeq2 & EdgeR,Limma & EdgeR,All Methods
L2_3_IT,357,1159,1618,64,61,476,3,47,852,243
L6,94,396,1132,2,7,697,0,46,343,46
Sst,24,363,373,2,94,99,0,5,252,17
L5,230,965,1531,11,59,569,0,56,743,163
L4,68,183,375,9,6,170,0,28,146,31
Pvalb,11,26,77,0,4,50,0,5,16,6
Sncg,1,2,16,0,1,14,0,1,1,0
Non-neuronal,2,7,68,0,1,61,0,1,5,1
Oligo,2,5,53,2,0,48,0,0,5,0
Vip,1,23,58,0,7,41,0,1,16,0
Lamp5,3,11,17,0,4,10,0,0,4,3
Astro,1,1,18,1,0,17,0,0,1,0
Peri,0,0,0,0,0,0,0,0,0,0
Endo,0,14,0,0,14,0,0,0,0,0
,,,,,,,,,,
