Cluster,Gene,logFC,logCPM,F,PValue,FDR
L2_3_IT,Fos,-3.169343392,9.068814891,340.0713431,1.20E-70,5.17E-67
L2_3_IT,Btg2,-2.782745129,9.043551104,282.1565713,1.29E-59,4.44E-56
L2_3_IT,Gm47283,-2.429584588,9.017094873,263.5877785,2.65E-52,7.59E-49
L2_3_IT,Dusp1,-2.440888684,8.945077861,241.9822898,1.72E-47,4.24E-44
L2_3_IT,Junb,-2.289609441,9.518617655,181.9217207,7.19E-40,1.55E-36
L2_3_IT,Npas4,-2.315519317,9.195606091,177.4213689,5.80E-39,1.11E-35
L2_3_IT,Egr1,-1.610938393,9.670614948,153.4168185,4.32E-34,7.43E-31
L2_3_IT,Dusp6,-1.617939641,9.123164803,107.708388,1.17E-24,1.68E-21
L2_3_IT,Nr4a1,-1.560467309,9.160532775,102.4840205,1.44E-23,1.91E-20
L2_3_IT,mt-Co1,1.53510573,9.080921283,63.00800477,1.04E-14,9.92E-12
L2_3_IT,Ctxn1,0.783762876,9.652853051,47.69428995,6.52E-12,5.11E-09
L2_3_IT,Prkcg,0.991563494,9.290378469,45.76251964,1.71E-11,1.18E-08
L2_3_IT,Gapdh,0.765977303,9.799680384,44.48672082,3.24E-11,2.15E-08
L2_3_IT,H3f3b,0.858352142,9.356199209,42.0271936,1.11E-10,6.84E-08
L2_3_IT,Malat1,0.311706452,15.9742578,41.09425608,1.78E-10,1.02E-07
L2_3_IT,Mdh1,0.856680483,9.269096604,38.41552014,6.83E-10,3.46E-07
L2_3_IT,Chn1,0.544907736,10.25673517,36.74216221,1.59E-09,7.59E-07
L2_3_IT,Arhgef9,0.613442731,9.69451565,33.19979281,9.50E-09,3.64E-06
L2_3_IT,Selenow,0.717235665,9.464261541,32.14681238,1.62E-08,5.71E-06
L2_3_IT,Baiap2,0.566158693,9.782659961,29.75144728,5.47E-08,1.62E-05
L2_3_IT,Eno1,0.709760707,9.372533537,28.6439898,9.62E-08,2.67E-05
L2_3_IT,Hecw2,0.782373753,9.31216437,28.57437185,9.96E-08,2.72E-05
L2_3_IT,Frmd4a,0.619519677,9.498371547,26.62811671,2.69E-07,6.81E-05
L2_3_IT,Erc2,0.56429489,9.745720363,26.38321912,3.05E-07,7.49E-05
