"","GO.ID","Term","Annotated","Significant","Expected","Fisher"
"1","GO:0005615","extracellular space",289,63,29.69,"3.2e-09"
"2","GO:0043197","dendritic spine",163,37,16.75,"2.3e-06"
"3","GO:0016342","catenin complex",19,10,1.95,"4.8e-06"
