"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Nptn",1.47641694138429e-10,0.167878857316026,1,1,2.56379801871382e-06
"Gprasp1",1.48985584916686e-10,0.164263498635817,1,1,2.58713468207826e-06
"App",1.81445305309352e-10,0.164144652039281,1,1,3.1507977266969e-06
"Hsp90ab1",1.86583091681381e-10,0.203482422107744,1,1,3.24001538704718e-06
"Atp1a3",1.93258768729947e-10,0.160848010998507,1,1,3.35593851899552e-06
"Rps7",2.06051195715335e-10,0.169735999295865,1,1,3.57807901359679e-06
"Syn2",2.09067346682565e-10,0.168814672502936,1,1,3.63045447514275e-06
"Dock4",2.10935285184739e-10,0.170409233293335,1,1,3.66289122723299e-06
"Col6a1",3.25384966248246e-10,0.167620259580157,1,1,5.65030993890078e-06
"Snhg20",3.61896550823522e-10,0.170669349939778,1,1,6.28433360505046e-06
"Sept7",4.13895153284447e-10,0.165250995887822,1,1,7.18728933678442e-06
"Sptan1",4.78005909081125e-10,0.161510206287438,1,1,8.30057261119374e-06
"Ptprs",4.89930695938003e-10,0.160247102990862,1,1,8.50764653496343e-06
"Rps5",5.46157529223307e-10,0.165207922508454,1,1,9.48402549496272e-06
"Ank2",5.86456663785022e-10,0.152124367326388,1,1,1.01838199666269e-05
"Mbp",7.65547553558006e-10,0.175742211896599,1,1,1.32937332675348e-05
"Mecr",8.25363731591393e-10,0.167334539037092,1,1,1.43324411990845e-05
"Syp",8.94185362074708e-10,0.155541680683739,1,1,1.55275288124273e-05
"Arglu1",9.67195837524279e-10,0.159827891758805,1,1,1.67953557186091e-05
"Enc1",1.18061229877529e-09,0.160735622718761,1,1,2.05013325682329e-05
"Mblac2",1.38653117938008e-09,0.164414143856633,1,1,2.40771139299351e-05
"Akap11",1.52310522258076e-09,0.160876252267666,1,1,2.64487221901148e-05
"Gria1",1.59466991023767e-09,0.159143683084148,1,1,2.76914429912772e-05
"Itm2c",1.71520321150513e-09,0.158013085634285,1,1,2.97845037677865e-05
"Pcdh7",1.81146611217346e-09,0.16054591859165,1,1,3.14561090378921e-05
"Pde1a",1.82137418375359e-09,0.156311026209862,1,1,3.16281627008811e-05
"Tcf25",2.00707294902296e-09,0.153790759872389,1,1,3.48528217597837e-05
"Thra",2.08706952183992e-09,0.160147390163585,1,1,3.62419622467502e-05
"Mapt",2.0982459462474e-09,0.151740861175277,1,1,3.6436040856586e-05
"Pitpnm2",2.16842812958662e-09,0.159998245107484,1,1,3.76547544702717e-05
"Syt5",2.21033319685886e-09,0.161282327975536,1,1,3.83824359634542e-05
"Lingo2",2.34635263062901e-09,0.161605689126213,1,1,4.07444134308728e-05
"Grcc10",2.69342015488499e-09,0.161875752941749,1,1,4.67712409895779e-05
"Cadm1",2.75494116033831e-09,0.160529814298598,1,1,4.78395532492747e-05
"Snhg11",2.96914264155088e-09,0.177762981145792,1,1,5.1559161970531e-05
"Cntn5",3.290146950292e-09,0.157931076670515,1,1,5.71334017918205e-05
"Tmsb4x",3.51526888456256e-09,0.157010325393869,1,1,6.10426441804289e-05
"Mycbp2",3.5370368932123e-09,0.147450116195174,1,1,6.14206456506316e-05
"Igsf8",3.71841765722424e-09,0.159437989579355,1,1,6.45703226176989e-05
"Uba52",3.99891199578002e-09,0.157353046950848,1,1,6.94411068067201e-05
"Ftl1",4.18627326302958e-09,0.156292355765596,1,1,7.26946352125086e-05
"Slc25a3",4.5274092778781e-09,0.157160897952149,1,1,7.86184621103532e-05
"Nsf",6.05126722832912e-09,0.15086297909101,1,1,0.000105080255419935
"Syngr3",7.14619649046207e-09,0.157319455342648,1,1,0.000124093702056874
"Rplp1",7.30074674066536e-09,0.154686341803033,1,1,0.000126777467151654
"Trim35",7.40572644116686e-09,0.157178269871133,1,1,0.000128600439650862
"Camk2a",7.97052603990583e-09,0.165214335510266,1,1,0.000138408184682965
"Chgb",8.17023082876709e-09,0.15472770458361,1,1,0.000141876058341541
"Sv2b",8.68982121079765e-09,0.147065761569234,1,1,0.000150898745325501
"Ogt",8.78432774709852e-09,0.140991525571746,1,1,0.000152539851328366
"Ppia",8.81001198160819e-09,0.147070781849453,1,1,0.000152985858060626
"Ttc14",8.86992660887669e-09,0.146000387835911,1,1,0.000154026275563144
"C130073E24Rik",9.02591909075846e-09,0.156392592007248,1,1,0.000156735085011021
"Epha5",9.07780085706149e-09,0.153337832166324,1,1,0.000157636011882873
"Rpsa",9.62008789689263e-09,0.150343455689383,1,1,0.00016705282632954
"Ywhaq",9.72914175339779e-09,0.155964035863791,1,1,0.000168946546547753
"Calm2",1.02279587376019e-08,0.154880890203676,1,1,0.000177608503478458
"Cox4i1",1.1023560489306e-08,0.151982317261561,1,1,0.000191424127896799
"Ntrk2",1.10558497684113e-08,0.146428916345622,1,1,0.000191984831228463
"Alcam",1.11240087618494e-08,0.154500827022443,1,1,0.000193168412149515
"Rps24",1.16399633767709e-08,0.152683979740934,1,1,0.000202127964037627
"Rogdi",1.17125077682628e-08,0.153180430046996,1,1,0.000203387697395884
"Gabra2",1.19650692478412e-08,0.153319975537944,1,1,0.000207773427488763
"Tenm2",1.22094965987683e-08,0.151457862276584,1,1,0.000212017908437612
"Rps3a1",1.51266107927688e-08,0.150995811986585,1,1,0.00026267359641643
"Cpe",1.55805982109294e-08,0.148897500207085,1,1,0.000270557087932789
"Ptgds",1.64742195364626e-08,0.184189923246054,1,1,0.000286074822250672
"Atrx",1.67139616606083e-08,0.145186231905617,1,1,0.000290237944236462
"Gda",1.80126778804418e-08,0.151268954743282,1,1,0.000312790151393872
"Grik2",1.87067397246644e-08,0.151111515561853,1,1,0.000324842535318797
"Ywhaz",2.00142093814705e-08,0.148686111563118,1,1,0.000347546745909236
"Zwint",2.22018228346102e-08,0.146477772928681,1,1,0.000385534653523006
"Amph",2.76664515820499e-08,0.149756691512318,1,1,0.000480427931722297
"Lmo7",2.79053010091924e-08,0.149069838509195,1,1,0.000484575552024626
"Cstf3",2.82281411045267e-08,0.149929960482099,1,1,0.000490181670280106
"Adgrl3",3.25002437924121e-08,0.146209286348112,1,1,0.000564366733455237
"Ash1l",3.78574385878815e-08,0.144289134165761,1,1,0.000657394421078563
"Map2",3.86243958194729e-08,0.132228406989182,1,1,0.000670712633405147
"Nlgn1",4.2839894763687e-08,0.146144530764611,1,1,0.000743914772571425
"Kifc2",5.19642936876616e-08,0.145929349406994,1,1,0.000902359959886243
"Cbarp",5.51059034949655e-08,0.146687802627864,1,1,0.000956914014190075
"Ncdn",5.60229077489055e-08,0.145862253603862,1,1,0.000972837793059744
"Mtf2",5.60965276153681e-08,0.146779485873114,1,1,0.000974116202040868
"Pabpn1",6.12688148767067e-08,0.142334935343408,1,1,0.00106393297033401
"Ptma",6.29764722636469e-08,0.147434487018883,1,1,0.00109358644085823
"Ywhag",6.48834198620476e-08,0.137303013052483,1,1,0.00112670058590446
"Ociad1",6.76821457307629e-08,0.142787177565512,1,1,0.0011753004606147
"Adgrb2",6.85378003255984e-08,0.142989156083437,1,1,0.00119015890265402
"Pcyt2",7.1561881542763e-08,0.146312026069773,1,1,0.00124267207299008
"Csmd3",7.33953558602439e-08,0.139596780299219,1,1,0.00127451035451314
"Arl6ip1",8.33375820605968e-08,0.140236847250326,1,1,0.00144715711248226
"Blcap",8.74095099808225e-08,0.145567423885216,1,1,0.00151786614081698
"Wsb1",9.28847715050522e-08,0.143444311227471,1,1,0.00161294405718523
"Rrp1",1.3855051113219e-07,0.142596416437685,1,1,0.00240592962581047
"2310035C23Rik",1.39908400786912e-07,0.142376529635235,1,1,0.00242950937966473
"Gabrb1",1.48458978539668e-07,0.135201033033354,1,1,0.00257799016234133
"Cacna2d1",1.75603363394679e-07,0.139123423028932,1,1,0.0030493524053486
"Rps19",1.76536417670159e-07,0.139637373245764,1,1,0.00306555489284232
"Clcn3",1.77717851313383e-07,0.139468234133534,1,1,0.0030860704880569
"Nisch",1.89837248861205e-07,0.137875146987255,1,1,0.00329652382647482
"Mdh2",2.20029620780123e-07,0.140826311550081,1,1,0.00382081436484684
"Soga3",2.24940404965913e-07,0.139228533516089,1,1,0.00390609013223309
"Phip",2.37027809100654e-07,0.13838305734926,1,1,0.00411598790503286
