"","GO.ID","Term","Annotated","Significant","Expected","Fisher"
"1","GO:0000002","mitochondrial genome maintenance",12,0,0,"1"
"2","GO:0000003","reproduction",456,0,0,"1"
"3","GO:0000012","single strand break repair",5,0,0,"1"
"4","GO:0000018","regulation of DNA recombination",34,0,0,"1"
"5","GO:0000019","regulation of mitotic recombination",1,0,0,"1"
