"","GO.ID","Term","Annotated","Significant","Expected","Fisher"
"1","GO:0022627","cytosolic small ribosomal subunit",39,4,0.25,"9.9e-05"
"2","GO:0099025","anchored component of postsynaptic membrane",9,2,0.06,"0.0014"
"3","GO:0044224","juxtaparanode region of axon",10,2,0.06,"0.0017"
"4","GO:0031515","tRNA (m1A) methyltransferase complex",1,1,0.01,"0.0063"
"5","GO:0002141","stereocilia ankle link",2,1,0.01,"0.0127"
"6","GO:0002142","stereocilia ankle link complex",2,1,0.01,"0.0127"
"7","GO:1990257","piccolo-bassoon transport vesicle",2,1,0.01,"0.0127"
"8","GO:0002139","stereocilia coupling link",2,1,0.01,"0.0127"
"9","GO:0070369","beta-catenin-TCF7L2 complex",3,1,0.02,"0.0189"
"10","GO:0071664","catenin-TCF7L2 complex",3,1,0.02,"0.0189"
"11","GO:0098686","hippocampal mossy fiber to CA3 synapse",40,2,0.25,"0.0264"
"12","GO:0005791","rough endoplasmic reticulum",47,2,0.3,"0.0356"
"13","GO:0099030","anchored component of postsynaptic specialization membrane",6,1,0.04,"0.0375"
"14","GO:0099031","anchored component of postsynaptic density membrane",6,1,0.04,"0.0375"
"15","GO:0022625","cytosolic large ribosomal subunit",49,2,0.31,"0.0384"
"16","GO:1904115","axon cytoplasm",7,1,0.04,"0.0436"
"17","GO:1990907","beta-catenin-TCF complex",7,1,0.04,"0.0436"
"18","GO:0000805","X chromosome",7,1,0.04,"0.0436"
"19","GO:0090543","Flemming body",8,1,0.05,"0.0497"
"20","GO:0017119","Golgi transport complex",10,1,0.06,"0.0618"
