"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Time_point","SYMBOL"
"Wdr63",0.0654933344629818,7.75968716568682,1.00460623258957,0.315435857527337,0.752419482744682,-5.39631806655934,"P150","Wdr63"
"Gmppa2",0.0654316893380322,7.61643114894769,1.15871015032239,0.246972021569557,0.700431128085718,-5.34497468457331,"P150","Gmppa2"
"Kctd14",0.0654088675468714,7.64972820036139,1.2415650194106,0.214815617915445,0.670741711540965,-5.22606529834951,"P150","Kctd14"
"Sgcz2",0.0653852482889299,8.4008300398011,0.749430538307556,0.453851139780166,0.839539864341543,-5.33979425827789,"P150","Sgcz2"
"Zfr3",0.0653841650077247,8.61496121919958,0.793471540890798,0.427773741926849,0.82077997036946,-5.27618606467689,"P150","Zfr3"
"Ppib2",-0.0653809966807533,8.69116500513099,-0.790271813484578,0.429638394923823,0.821478362123939,-5.27081486129067,"P150","Ppib2"
"Ehbp12",-0.0653748788525759,7.7213990805806,-1.10831509686562,0.268108853573889,0.717226660751759,-5.31770264436548,"P150","Ehbp12"
"Nptx22",0.0653576535411569,7.58372136254511,1.368753517476,0.171518226136295,0.617252344177722,-5.12056192016881,"P150","Nptx22"
"Atg32",0.06535615397034,7.87886962868301,1.01266528672412,0.311572203930454,0.750265867064534,-5.31801121606501,"P150","Atg32"
"Plekhh12",0.0653490842137705,7.4115507745384,1.78420281164116,0.0748265392383161,0.482020978900961,-4.63560009431088,"P150","Plekhh12"
"Pam2",0.0653301891263833,8.66278978107861,0.765135029518696,0.444450675902153,0.832599096946165,-5.29015334018125,"P150","Pam2"
"Stau12",-0.0652380044981538,7.67814481111987,-1.16650897952574,0.243808523682594,0.698504337516517,-5.28671049364274,"P150","Stau12"
"Gabarapl12",0.0652232575694711,8.17821315157278,0.872763139692953,0.383093388199954,0.79918223968686,-5.30953942647997,"P150","Gabarapl12"
"Ephb62",0.065162701079184,7.66590970695074,1.16052367876548,0.246233827628581,0.699739257139377,-5.30467319487806,"P150","Ephb62"
"Nfxl12",0.0651590524232777,7.6447119164176,1.20177863440529,0.229858326152653,0.685586015326909,-5.27552684715449,"P150","Nfxl12"
"Cyld2",-0.0651317010331063,8.07547193635778,-0.825664771165468,0.409277386947153,0.811087344786032,-5.37781998188269,"P150","Cyld2"
"Vcan2",-0.0651185149905418,7.42617976401351,-1.54920111794748,0.121788247373819,0.557455329372256,-4.99334452529082,"P150","Vcan2"
"Gxylt12",0.0651117333205109,7.66151704432221,1.17545228991696,0.240216022664312,0.693653757818334,-5.29209078973814,"P150","Gxylt12"
"Ccdc90b2",-0.0650680341627279,7.65391596779469,-1.13007083348912,0.258835928083625,0.706983796308268,-5.34302325751844,"P150","Ccdc90b2"
"Asphd22",-0.0650411458251403,7.64675575278081,-1.16231919144094,0.245504495170837,0.699346732987352,-5.31314027124796,"P150","Asphd22"
"Scn3a2",-0.0650404199002352,8.06897676636099,-0.832176457564255,0.405594973632158,0.808751880614995,-5.37802502830663,"P150","Scn3a2"
"Ube2n2",0.065030883655135,7.79913619271337,1.05039948687385,0.293899298248353,0.736789073763581,-5.32830038926011,"P150","Ube2n2"
"Aurkaip12",0.0650302916433434,7.65234864063383,1.1618357953016,0.245700699859878,0.699346732987352,-5.3133157860826,"P150","Aurkaip12"
"Pwwp2a2",-0.0650301316457043,7.63763862043568,-1.14580372686697,0.252270437426752,0.703608243749558,-5.33803439238726,"P150","Pwwp2a2"
"Pnpla62",-0.0650156303012199,7.64997882285406,-1.22402964198303,0.221355501406536,0.677389242815854,-5.24328352635206,"P150","Pnpla62"
"Slc25a462",0.0650145020026489,7.80599192636044,1.01919351844197,0.308465475497219,0.748051145058516,-5.35480495916059,"P150","Slc25a462"
"Kpna12",0.0649414902952525,8.43834507772284,0.793237123265099,0.427910189159064,0.82077997036946,-5.30274585821896,"P150","Kpna12"
"Iqgap22",0.0649325444201434,7.57525974917017,1.31904496712339,0.187588167642805,0.638155950050681,-5.19082651342616,"P150","Iqgap22"
"Riok12",-0.0648925638550226,7.87151985856545,-0.923997934092807,0.35580782984409,0.784697517615432,-5.39692203274682,"P150","Riok12"
"Slc22a172",0.0648886225863006,9.09371598992754,0.824371943057332,0.410010856677033,0.811288902575513,-5.22584388217192,"P150","Slc22a172"
"Pisd2",0.0648487312499668,7.62967278310662,1.14793244066015,0.251391120218317,0.703548379691764,-5.34513027883668,"P150","Pisd2"
"Cep1642",-0.0648473830101732,7.87296889580074,-0.895483858538944,0.370838284590142,0.791338299591411,-5.42010122904904,"P150","Cep1642"
"Rsrc12",0.0648405032978854,7.8853367902641,0.830690578811562,0.406433499073701,0.808889733014969,-5.46626409436335,"P150","Rsrc12"
"Git12",0.0648399629641609,7.58437977924631,1.32656516918282,0.185087945079183,0.633570333859387,-5.17212446218662,"P150","Git12"
"Gucy1a12",0.0648316984486605,7.93910223907269,0.896664979641944,0.370207951401082,0.791338299591411,-5.38648452733293,"P150","Gucy1a12"
"Slc35a22",-0.0647853125161966,7.73188568476335,-1.07768476733033,0.281548076676906,0.727308368346625,-5.34273587548311,"P150","Slc35a22"
"Gm106002",0.0647822725884195,7.5250178130892,1.51354923724494,0.130594452994324,0.569124883341386,-4.96852204327082,"P150","Gm106002"
"Cpsf42",0.0647692281660373,7.5393969857833,1.30710503402367,0.191608995781656,0.644817144932281,-5.23134351276815,"P150","Cpsf42"
"Rad51ap22",-0.0647581741056547,7.90593077902586,-0.9788130450828,0.328012685532451,0.761878571523402,-5.33220559208014,"P150","Rad51ap22"
"Aldh5a12",-0.0647568146205693,7.67295726654359,-1.16847452678787,0.243015744446627,0.697659868912142,-5.28919751992276,"P150","Aldh5a12"
"Kmt2e2",0.0647488084701848,8.80074883755373,0.769743464206992,0.44171341703313,0.830951384230233,-5.2764146793509,"P150","Kmt2e2"
"Pnn2",-0.0647471726877598,8.52178108899878,-0.798600631209353,0.424794617839258,0.819979841190352,-5.28424730511944,"P150","Pnn2"
"Pdha12",0.0647361370723836,7.68556919400422,1.10345189020067,0.270212593953075,0.719664489691646,-5.35062990142775,"P150","Pdha12"
"Crhbp2",0.0647295551100351,7.49136562617384,1.25416205582946,0.210204432835607,0.665578680538567,-5.33356918817193,"P150","Crhbp2"
"Zdhhc82",0.0647071798668897,7.79068565440906,1.12622701783956,0.260457867076089,0.708522698078054,-5.25794561812914,"P150","Zdhhc82"
"Shisa52",0.0646887564696481,7.63474232410141,1.21713416003654,0.22396597933488,0.678829457470547,-5.26562796511101,"P150","Shisa52"
"Slc38a102",-0.0646633434955897,7.61132336417378,-1.20349391841536,0.229194693726763,0.684672516988445,-5.29193945663699,"P150","Slc38a102"
"Mpv172",0.0646396913539533,7.55150384680237,1.30958823489803,0.190767576514363,0.644311496081948,-5.21983196188649,"P150","Mpv172"
"Nus12",-0.0646245076238596,7.75165168025312,-1.03216412081386,0.302354000027349,0.741086007504876,-5.37405818659838,"P150","Nus12"
"Ilf32",0.0646019838836844,7.73975540945131,1.03697755247175,0.300106690663439,0.740732593334747,-5.37772320998613,"P150","Ilf32"
"Pllp2",0.0646019179983526,7.39154346386116,1.83433864629224,0.067030748672367,0.464662928726985,-4.56544674264657,"P150","Pllp2"
"Kcnh32",-0.0645683586925756,7.71734993072068,-1.1263785105446,0.260393810009865,0.708522698078054,-5.30310383673458,"P150","Kcnh32"
"Hax12",-0.0645480823379732,7.61025664761685,-1.21137087208198,0.226164698309037,0.682153186350993,-5.28665935116317,"P150","Hax12"
"Iqce2",-0.0645245657607747,7.65363526790637,-1.13379602316728,0.257270749963745,0.705782863097771,-5.34028661657156,"P150","Iqce2"
"Tsnax2",0.0645123073535494,8.25009809244988,0.790884380775789,0.429281053258751,0.821478362123939,-5.34678954408575,"P150","Tsnax2"
"Actr102",-0.0645117683672858,7.88484370716193,-0.855274155689591,0.392693904727154,0.804220499560806,-5.44518530935189,"P150","Actr102"
"Ccdc1272",0.0644895569876631,7.79089164699402,0.971998619190028,0.331389133506904,0.764606499980237,-5.40526320988385,"P150","Ccdc1272"
"Rpl52",-0.0644718880791784,7.84644399782539,-0.872234467423901,0.3833814721819,0.79918223968686,-5.45178740143253,"P150","Rpl52"
"Mgst32",-0.0644515743205547,7.74062858531931,-1.04403814003496,0.296830463304325,0.738937519166625,-5.37073759204004,"P150","Mgst32"
"Dpysl32",-0.0644459700343978,7.56614245518805,-1.28780031058747,0.198243780341128,0.652329233588829,-5.22867060425958,"P150","Dpysl32"
"Dcaf112",0.0644276124605012,7.81076730098894,0.978051242450236,0.328389033207679,0.761988120532772,-5.38949367070267,"P150","Dcaf112"
"Ccdc502",-0.0644016741780682,7.89674064684739,-0.77874515186556,0.436394705054989,0.825901445012241,-5.49673104997704,"P150","Ccdc502"
