"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Chn1",6.96391546116346e-12,-0.184304688730034,1,1,1.20357350915288e-07
"Arfgef3",7.21319976501043e-12,-0.182477133638603,1,1,1.24665731538675e-07
"Ddx5",7.3509661891739e-12,-0.173931463316847,1,1,1.27046748647492e-07
"Lamp5",8.23340811226697e-12,-0.186748785110354,1,1,1.4229799240431e-07
"Gabbr1",8.83027993149389e-12,-0.18366308150316,1,1,1.52613728056009e-07
"Shisa4",9.8719207081224e-12,-0.192632485158016,1,1,1.70616405598479e-07
"Fth1",1.00906064414455e-11,-0.179173718457949,1,1,1.74395951127502e-07
"Ddx24",1.07372455924597e-11,-0.184883422828759,1,1,1.85571815574481e-07
"Ntrk3",1.14195702742759e-11,-0.181194204580832,1,1,1.97364433050311e-07
"Unc13a",1.22356509638122e-11,-0.186193857096744,1,1,2.11468755607566e-07
"Rab6a",1.29390030076062e-11,-0.189594409889918,1,1,2.23624788980458e-07
"Ank3",1.46542291407683e-11,-0.170799219600532,1,1,2.53269042239899e-07
"Ttll7",1.54060593782477e-11,-0.186937027475433,1,1,2.66262924234255e-07
"Junb",1.58800958831144e-11,-0.198041518633872,1,1,2.74455697147865e-07
"Sun1",1.73148079359829e-11,-0.182297941946954,1,1,2.99251825557593e-07
"Pde10a",1.81499368980546e-11,-0.187323514575537,1,1,3.13685359409078e-07
"Phf20l1",1.81869103929272e-11,-0.172421859106505,1,1,3.1432437232096e-07
"Cpne9",2.19558366440006e-11,-0.194049440080208,1,1,3.79462724718262e-07
"Nos1ap",2.29680989783336e-11,-0.186009759180764,1,1,3.9695765464254e-07
"AY036118",2.55561862971789e-11,-0.255660412255353,1,1,4.41687567774143e-07
"2900097C17Rik",3.05691550515744e-11,-0.188181997323143,1,1,5.2832670675636e-07
"Zfp365",3.1204467769964e-11,-0.190608401343026,1,1,5.39306816468288e-07
"Mapk1",3.23946274299698e-11,-0.178875974198554,1,1,5.59876345872167e-07
"Tcf25",3.56075766961574e-11,-0.174583432133521,1,1,6.15405748039688e-07
"Arhgap20",3.63241704713264e-11,-0.182222228285846,1,1,6.27790638255934e-07
